group,child,parent
10003120_3,Social media,Social networks
10003120_3,Collaborative and social computing,"Collaborative and social computing theory, concepts and paradigms"
10003120_3,Social recommendation,Collaborative and social computing
10003120_3,Social engineering (social sciences),"Collaborative and social computing theory, concepts and paradigms"
10003120_3,Social tagging,Collaborative and social computing
10003120_3,Reputation systems,Collaborative and social computing
10003120_3,Ethnographic studies,Collaborative and social computing
10003120_3,Collaborative content creation,Collaborative and social computing
10003120_3,Open source software,Collaborative and social computing
10003120_3,Wikis,Collaborative and social computing
10003120_3,Empirical studies in collaborative and social computing,Collaborative and social computing
10003120_3,Computer supported cooperative work,Collaborative and social computing
10003120_3,Collaborative filtering,Collaborative and social computing
10003120_3,Social network analysis,Collaborative and social computing
10003120_3,Collaborative and social computing systems and tools,Collaborative and social computing
10003120_3,Blogs,Social media
10003120_3,Asynchronous editors,Collaborative and social computing systems and tools
10003120_3,Social tagging systems,Collaborative and social computing systems and tools
10003120_3,Collaborative and social computing design and evaluation methods,"Collaborative and social computing theory, concepts and paradigms"
10003120_3,Social navigation,Collaborative and social computing systems and tools
10003120_3,Collaborative and social computing devices,Collaborative and social computing systems and tools
10003120_3,Synchronous editors,Collaborative and social computing systems and tools
10003120_3,Social content sharing,Social media
10003456_2,Government technology policy,Computing / technology policy
10003456_2,Antitrust and competition,Commerce policy
10003456_2,Governmental regulations,Government technology policy
10003456_2,Patents,Intellectual property
10003456_2,Trademarks,Intellectual property
10003456_2,Copyrights,Intellectual property
10003456_2,Soft intellectual property,Intellectual property
10003456_2,Database protection laws,Intellectual property
10003456_2,Licensing,Intellectual property
10003456_2,Secondary liability,Intellectual property
10003456_2,Internet governance / domain names,Computing / technology policy
10003456_2,Broadband access,Network access control
10003456_2,Net neutrality,Network access control
10003456_2,Network access restrictions,Network access control
10003456_2,Import / export controls,Government technology policy
10003456_2,Taxation,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Censoring filters,Censorship
10003456_2,Hate speech,Censorship
10003456_2,Political speech,Censorship
10003456_2,Age-based restrictions,Censorship
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental surveillance,Surveillance
10003456_2,Corporate surveillance,Surveillance
10003456_2,Malware / spyware crime,Computer crime
10003456_2,Identity theft,Computer crime
10003456_2,Financial crime,Computer crime
10003456_2,Computer crime,Government technology policy
10003456_2,Remote medicine,Medical technologies
10003456_2,Personal health records,Medical records
10003456_2,Health information exchanges,Medical records
10003456_2,Medical records,Medical information policy
10003456_2,Patient privacy,Medical information policy
10003456_2,Privacy policies,Medical information policy
10003456_2,Medical information policy,Government technology policy
10003456_2,Transborder data flow,Government technology policy
10003456_2,Treaties,Government technology policy
10003456_2,Social engineering attacks,Computer crime
10003456_2,Software reverse engineering,Hardware reverse engineering
10003456_2,Hardware reverse engineering,Government technology policy
10003456_2,Commerce policy,Government technology policy
10003456_2,Consumer products policy,Government technology policy
10003456_2,Online auctions policy,Commerce policy
10003456_2,Governmental surveillance,Government technology policy
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental regulations,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Governmental surveillance,Surveillance
10003456_2,Patents,Intellectual property
10003456_2,Trademarks,Intellectual property
10003456_2,Copyrights,Intellectual property
10003456_2,Soft intellectual property,Intellectual property
10003456_2,Database protection laws,Intellectual property
10003456_2,Licensing,Intellectual property
10003456_2,Secondary liability,Intellectual property
10003456_2,Internet governance / domain names,Computing / technology policy
10003456_2,Broadband access,Network access control
10003456_2,Net neutrality,Network access control
10003456_2,Network access restrictions,Network access control
10003456_2,Import / export controls,Government technology policy
10003456_2,Taxation,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Censoring filters,Censorship
10003456_2,Hate speech,Censorship
10003456_2,Political speech,Censorship
10003456_2,Age-based restrictions,Censorship
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental surveillance,Surveillance
10003456_2,Corporate surveillance,Surveillance
10003456_2,Malware / spyware crime,Computer crime
10003456_2,Identity theft,Computer crime
10003456_2,Financial crime,Computer crime
10003456_2,Computer crime,Government technology policy
10003456_2,Remote medicine,Medical technologies
10003456_2,Personal health records,Medical records
10003456_2,Health information exchanges,Medical records
10003456_2,Medical records,Medical information policy
10003456_2,Patient privacy,Medical information policy
10003456_2,Privacy policies,Medical information policy
10003456_2,Medical information policy,Government technology policy
10003456_2,Transborder data flow,Government technology policy
10003456_2,Treaties,Government technology policy
10003456_2,Social engineering attacks,Computer crime
10003456_2,Software reverse engineering,Hardware reverse engineering
10003456_2,Hardware reverse engineering,Government technology policy
10003456_2,Commerce policy,Government technology policy
10003456_2,Consumer products policy,Government technology policy
10003456_2,Online auctions policy,Commerce policy
10003456_2,Governmental surveillance,Government technology policy
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental regulations,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Governmental surveillance,Surveillance
10003456_2,Patents,Intellectual property
10003456_2,Trademarks,Intellectual property
10003456_2,Copyrights,Intellectual property
10003456_2,Soft intellectual property,Intellectual property
10003456_2,Database protection laws,Intellectual property
10003456_2,Licensing,Intellectual property
10003456_2,Secondary liability,Intellectual property
10003456_2,Internet governance / domain names,Computing / technology policy
10003456_2,Broadband access,Network access control
10003456_2,Net neutrality,Network access control
10003456_2,Network access restrictions,Network access control
10003456_2,Import / export controls,Government technology policy
10003456_2,Taxation,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Censoring filters,Censorship
10003456_2,Hate speech,Censorship
10003456_2,Political speech,Censorship
10003456_2,Age-based restrictions,Censorship
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental surveillance,Surveillance
10003456_2,Corporate surveillance,Surveillance
10003456_2,Malware / spyware crime,Computer crime
10003456_2,Identity theft,Computer crime
10003456_2,Financial crime,Computer crime
10003456_2,Computer crime,Government technology policy
10003456_2,Remote medicine,Medical technologies
10003456_2,Personal health records,Medical records
10003456_2,Health information exchanges,Medical records
10003456_2,Medical records,Medical information policy
10003456_2,Patient privacy,Medical information policy
10003456_2,Privacy policies,Medical information policy
10003456_2,Medical information policy,Government technology policy
10003456_2,Transborder data flow,Government technology policy
10003456_2,Treaties,Government technology policy
10003456_2,Social engineering attacks,Computer crime
10003456_2,Software reverse engineering,Hardware reverse engineering
10003456_2,Hardware reverse engineering,Government technology policy
10003456_2,Commerce policy,Government technology policy
10003456_2,Consumer products policy,Government technology policy
10003456_2,Online auctions policy,Commerce policy
10003456_2,Governmental surveillance,Government technology policy
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental regulations,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Governmental surveillance,Surveillance
10003456_2,Patents,Intellectual property
10003456_2,Trademarks,Intellectual property
10003456_2,Copyrights,Intellectual property
10003456_2,Soft intellectual property,Intellectual property
10003456_2,Database protection laws,Intellectual property
10003456_2,Licensing,Intellectual property
10003456_2,Secondary liability,Intellectual property
10003456_2,Internet governance / domain names,Computing / technology policy
10003456_2,Broadband access,Network access control
10003456_2,Net neutrality,Network access control
10003456_2,Network access restrictions,Network access control
10003456_2,Import / export controls,Government technology policy
10003456_2,Taxation,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Censoring filters,Censorship
10003456_2,Hate speech,Censorship
10003456_2,Political speech,Censorship
10003456_2,Age-based restrictions,Censorship
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental surveillance,Surveillance
10003456_2,Corporate surveillance,Surveillance
10003456_2,Malware / spyware crime,Computer crime
10003456_2,Identity theft,Computer crime
10003456_2,Financial crime,Computer crime
10003456_2,Computer crime,Government technology policy
10003456_2,Remote medicine,Medical technologies
10003456_2,Personal health records,Medical records
10003456_2,Health information exchanges,Medical records
10003456_2,Medical records,Medical information policy
10003456_2,Patient privacy,Medical information policy
10003456_2,Privacy policies,Medical information policy
10003456_2,Medical information policy,Government technology policy
10003456_2,Transborder data flow,Government technology policy
10003456_2,Treaties,Government technology policy
10003456_2,Social engineering attacks,Computer crime
10003456_2,Software reverse engineering,Hardware reverse engineering
10003456_2,Hardware reverse engineering,Government technology policy
10003456_2,Commerce policy,Government technology policy
10003456_2,Consumer products policy,Government technology policy
10003456_2,Online auctions policy,Commerce policy
10003456_2,Governmental surveillance,Government technology policy
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental regulations,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Governmental surveillance,Surveillance
10003456_2,Patents,Intellectual property
10003456_2,Trademarks,Intellectual property
10003456_2,Copyrights,Intellectual property
10003456_2,Soft intellectual property,Intellectual property
10003456_2,Database protection laws,Intellectual property
10003456_2,Licensing,Intellectual property
10003456_2,Secondary liability,Intellectual property
10003456_2,Internet governance / domain names,Computing / technology policy
10003456_2,Broadband access,Network access control
10003456_2,Net neutrality,Network access control
10003456_2,Network access restrictions,Network access control
10003456_2,Import / export controls,Government technology policy
10003456_2,Taxation,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Censoring filters,Censorship
10003456_2,Hate speech,Censorship
10003456_2,Political speech,Censorship
10003456_2,Age-based restrictions,Censorship
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental surveillance,Surveillance
10003456_2,Corporate surveillance,Surveillance
10003456_2,Malware / spyware crime,Computer crime
10003456_2,Identity theft,Computer crime
10003456_2,Financial crime,Computer crime
10003456_2,Computer crime,Government technology policy
10003456_2,Remote medicine,Medical technologies
10003456_2,Personal health records,Medical records
10003456_2,Health information exchanges,Medical records
10003456_2,Medical records,Medical information policy
10003456_2,Patient privacy,Medical information policy
10003456_2,Privacy policies,Medical information policy
10003456_2,Medical information policy,Government technology policy
10003456_2,Transborder data flow,Government technology policy
10003456_2,Treaties,Government technology policy
10003456_2,Social engineering attacks,Computer crime
10003456_2,Software reverse engineering,Hardware reverse engineering
10003456_2,Hardware reverse engineering,Government technology policy
10003456_2,Commerce policy,Government technology policy
10003456_2,Consumer products policy,Government technology policy
10003456_2,Online auctions policy,Commerce policy
10003456_2,Governmental surveillance,Government technology policy
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental regulations,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Governmental surveillance,Surveillance
10003456_2,Patents,Intellectual property
10003456_2,Trademarks,Intellectual property
10003456_2,Copyrights,Intellectual property
10003456_2,Soft intellectual property,Intellectual property
10003456_2,Database protection laws,Intellectual property
10003456_2,Licensing,Intellectual property
10003456_2,Secondary liability,Intellectual property
10003456_2,Internet governance / domain names,Computing / technology policy
10003456_2,Broadband access,Network access control
10003456_2,Net neutrality,Network access control
10003456_2,Network access restrictions,Network access control
10003456_2,Import / export controls,Government technology policy
10003456_2,Taxation,Government technology policy
10003456_2,Technology and censorship,Censorship
10003456_2,Censoring filters,Censorship
10003456_2,Hate speech,Censorship
10003456_2,Political speech,Censorship
10003456_2,Age-based restrictions,Censorship
10003456_2,Technology and censorship,Government technology policy
10003456_2,Governmental surveillance,Surveillance
10003456_2,Corporate surveillance,Surveillance
10003456_2,Malware / spyware crime,Computer crime
10003456_2,Identity theft,Computer crime
10003456_2,Financial crime,Computer crime
10003456_2,Computer crime,Government technology policy
10003456_2,Remote medicine,Medical technologies
10003456_2,Personal health records,Medical records
10003456_2,Health information exchanges,Medical records
10003456_2,Medical records,Medical information policy
10003456_2,Patient privacy,Medical information policy
10003456_2,Privacy policies,Medical information policy
10003456_2,Medical information policy,Government technology policy
10003456_2,Transborder data flow,Government technology policy
10003456_2,Treaties,Government technology policy
10003456_2,Social engineering attacks,Computer crime
10003456_2,Software reverse engineering,Hardware reverse engineering
10003456_2,Hardware reverse engineering,Government technology policy
10003456_2,Commerce policy,Government technology policy
10003456_2,Consumer products policy,Government technology policy
10003456_2,Online auctions policy,Commerce policy
10010147_3,Computer vision,Artificial intelligence
10010147_3,Computer vision representations,Computer vision
10010147_3,Object recognition,Computer vision
10010147_3,Image representations,Computer vision representations
10010147_3,Appearance and texture representations,Image representations
10010147_3,Image segmentation,Computer vision
10010147_3,Object detection,Computer vision
10010147_3,Scene understanding,Computer vision
10010147_3,Tracking,Computer vision
10010147_3,Image and video acquisition,Computer vision
10010147_3,Vision for robotics,Computer vision
10010147_3,Scene anomaly detection,Computer vision
10010147_3,3D imaging,Computer vision
10010147_3,Visual content-based indexing and retrieval,Computer vision
10010147_3,Visual inspection,Computer vision
10010147_3,Interest point and salient region detections,Computer vision
10010147_3,Shape representations,Computer vision
10010147_3,Activity recognition and understanding,Computer vision
10010147_3,Planning with abstraction and generalization,Planning and scheduling
10010147_3,Planning and scheduling,Artificial intelligence
10010147_3,Planning under uncertainty,Planning and scheduling
10010147_3,Planning for deterministic actions,Planning and scheduling
10010147_3,Hierarchical representations,Planning and scheduling
10010147_3,Motion path planning,Planning and scheduling
10010147_3,Multi-agent planning,Multi-agent systems
10010147_3,Distributed artificial intelligence,Multi-agent systems
10010147_3,Multi-agent systems,Artificial intelligence
10010147_3,Intelligent agents,Multi-agent systems
10010147_3,Cooperation and coordination,Multi-agent systems
10010147_3,Mobile agents,Multi-agent systems
10010147_3,Natural language processing,Artificial intelligence
10010147_3,Natural language generation,Natural language processing
10010147_3,Phonology / morphology,Natural language processing
10010147_3,Lexical semantics,Natural language processing
10010147_3,"Discourse, dialogue and pragmatics",Natural language processing
10010147_3,Information extraction,Natural language processing
10010147_3,Language resources,Natural language processing
10010147_3,Theory of mind,Cognitive science
10010147_3,Cognitive science,Artificial intelligence
10010147_3,Epipolar geometry,Computer vision
10010147_3,Camera calibration,Computer vision
10010147_3,Motion capture,Computer vision
10010147_3,Video segmentation,Computer vision
10010147_3,Reconstruction,Computer vision
10010147_3,Image segmentation,Computer vision
10010147_3,Shape inference,Computer vision
10010147_3,Image and video acquisition,Computer vision
10010147_3,Hyperspectral imaging,Computer vision
10010147_3,Continuous space search,Search methodologies
10010147_3,Discrete space search,Search methodologies
10010147_3,Search with partial observations,Search methodologies
10010147_3,Randomized search,Search methodologies
10010147_3,Game tree search,Search methodologies
10010147_3,Heuristic function construction,Search methodologies
10010147_3,Object identification,Computer vision
10010147_3,Video summarization,Computer vision
10010147_3,Control methods,Computational control theory
10010147_3,Computational control theory,Artificial intelligence
10010147_3,Robotic planning,Artificial intelligence
10010147_3,Evolutionary robotics,Artificial intelligence
10010147_3,Description logics,Knowledge representation and reasoning
10010147_3,Logic programming and answer set programming,Knowledge representation and reasoning
10010147_3,"Nonmonotonic, default reasoning and belief revision",Knowledge representation and reasoning
10010147_3,Reasoning about belief and knowledge,Knowledge representation and reasoning
10010147_3,Causal reasoning and diagnostics,Knowledge representation and reasoning
10010147_3,Temporal reasoning,Knowledge representation and reasoning
10010147_3,Spatial and physical reasoning,Knowledge representation and reasoning
10010147_3,Ontology engineering,Knowledge representation and reasoning
10010147_3,Knowledge representation and reasoning,Artificial intelligence
10010147_3,Semantic networks,Knowledge representation and reasoning
10010147_3,Machine translation,Natural language processing
10010147_3,Active vision,Computer vision
10010147_3,Biometrics,Computer vision
10010147_3,Computational photography,Computer vision
10010147_3,Cognitive robotics,Artificial intelligence
10010147_3,Theory of mind,Cognitive science
10010147_3,Cognitive science,Artificial intelligence
10010147_3,Philosophical/theoretical foundations of artificial intelligence,Artificial intelligence
10010147_3,Vision for robotics,Robotic planning
10010147_5,Simulation support systems,Modeling and simulation
10010147_5,Massively parallel and high-performance simulations,Simulation types and techniques
10010147_5,Simulation environments,Modeling and simulation
10010147_5,Model development and analysis,Modeling methodologies
10010147_5,Data assimilation,Modeling methodologies
10010147_5,Distributed simulation,Modeling and simulation
10010147_5,Visual analytics,Scientific visualization
10010147_5,Simulation evaluation,Modeling and simulation
10010147_5,Scientific visualization,Modeling and simulation
10010147_5,Systems theory,Modeling methodologies
10010147_5,Interactive simulation,Modeling and simulation
10010147_5,Simulation languages,Modeling methodologies
10010147_5,Simulation tools,Modeling methodologies
10010147_5,Rare-event simulation,Simulation types and techniques
10010147_5,Molecular simulation,Simulation types and techniques
10010147_5,Real-time simulation,Simulation types and techniques
10010147_5,Agent / discrete models,Simulation types and techniques
10010147_5,Discrete-event simulation,Simulation types and techniques
10010147_5,Simulation theory,Modeling methodologies
10010147_5,Simulation by animation,Modeling methodologies
10010147_5,Model verification and validation,Modeling methodologies
10010147_5,Artificial life,Modeling methodologies
10010147_5,Quantum mechanic simulation,Simulation types and techniques
10010147_5,Continuous simulation,Simulation types and techniques
10010147_5,Multiscale systems,Modeling methodologies
10010147_5,Continuous models,Simulation types and techniques
10010147_5,Network science,Modeling methodologies
10010147_5,Uncertainty quantification,Modeling methodologies
10010405_4,Molecular sequence analysis,Bioinformatics
10010405_4,Recognition of genes and regulatory elements,Molecular sequence analysis
10010405_4,Computational biology,Bioinformatics
10010405_4,Proteomics,Bioinformatics
10010405_4,Biological networks,Systems biology
10010405_4,Computational transcriptomics,Transcriptomics
10010405_4,Computational proteomics,Proteomics
10010405_4,Genomics,Bioinformatics
10010405_4,Computational genomics,Genomics
10010405_4,Imaging,Life and medical sciences
10010405_4,Transcriptomics,Genomics
10010405_4,Molecular structural biology,Life and medical sciences
10010405_4,Molecular evolution,Life and medical sciences
10010405_4,Population genetics,Genetics
10010405_4,Health informatics,Health care information systems
10010405_4,Metabolomics / metabonomics,Bioinformatics
10010405_4,Health care information systems,Health informatics
10010405_4,Genetics,Life and medical sciences
10010405_4,Systems biology,Life and medical sciences
10010405_4,Consumer health,Life and medical sciences
10010583_2,Sensors and actuators,Sensor devices and platforms
10010583_2,Digital signal processing,Signal processing systems
10010583_2,Printers,"Communication hardware, interfaces and storage"
10010583_2,Networking hardware,"Communication hardware, interfaces and storage"
10010583_2,Displays and imagers,"Communication hardware, interfaces and storage"
10010583_2,Noise reduction,Signal processing systems
10010583_2,Buses and high-speed links,"Communication hardware, interfaces and storage"
10010583_2,Touch screens,Displays and imagers
10010583_2,External storage,"Communication hardware, interfaces and storage"
10010583_2,Wireless devices,"Communication hardware, interfaces and storage"
10010583_2,Beamforming,Signal processing systems
10010583_2,Electro-mechanical devices,"Communication hardware, interfaces and storage"
10010583_2,Scanners,"Communication hardware, interfaces and storage"
10010583_2,Wireless integrated network sensors,Sensor devices and platforms
10010583_2,Haptic devices,Tactile and hand-based interfaces
10010583_2,Sound-based input / output,"Communication hardware, interfaces and storage"
10010583_2,Tactile and hand-based interfaces,"Communication hardware, interfaces and storage"
10010583_7,Bug fixing (hardware),Hardware validation
10010583_7,Design for debug,Hardware validation
10010583_7,Equivalence checking,Functional verification
10010583_7,Post-manufacture validation and debug,Hardware validation
10010583_7,Power and thermal analysis,Hardware validation
10010583_7,Assertion checking,Functional verification
10010583_7,Coverage metrics,Functional verification
10010583_7,Transaction-level verification,Functional verification
10010583_7,Semi-formal verification,Functional verification
10010583_7,Theorem proving and SAT solving,Formal verification
10010583_7,Simulation and emulation,Functional verification
10010583_7,Timing analysis and sign-off,Hardware validation
10010583_7,Functional verification,Hardware validation
10010583_7,Layout-versus-schematics,Physical verification
10010583_7,Design rule checking,Physical verification
10010583_7,Physical verification,Hardware validation
10010583_7,Model checking,Formal verification
10010583_7,"Bug detection, localization and diagnosis",Hardware validation
10010583_8,Online test and diagnostics,Test-pattern generation and fault simulation
10010583_8,Design for testability,Built-in self-test
10010583_8,Memory test and repair,Built-in self-test
10010583_8,Testing with distributed and parallel systems,Test-pattern generation and fault simulation
10010583_8,Built-in self-test,Test-pattern generation and fault simulation
10010583_8,Defect-based test,Test-pattern generation and fault simulation
10010583_8,Test-pattern generation and fault simulation,Hardware test
10010583_8,Board- and system-level test,Hardware test
10010583_8,"Analog, mixed-signal and radio frequency test",Hardware test
10010583_8,Test data compression,Test-pattern generation and fault simulation
10010583_8,Hardware reliability screening,Hardware test
10010583_8,Hardware test,Test-pattern generation and fault simulation
10010583_8,Fault models and test metrics,Test-pattern generation and fault simulation
10010583_10,Quantum dots and cellular automata,Emerging technologies
10010583_10,Plasmonics,Emerging optical and photonic technologies
10010583_10,Emerging architectures,Emerging technologies
10010583_10,Quantum communication and cryptography,Quantum technologies
10010583_10,Reversible logic,Emerging technologies
10010583_10,Emerging optical and photonic technologies,Emerging technologies
10010583_10,Quantum error correction and fault tolerance,Quantum technologies
10010583_10,Emerging technologies,Analysis and design of emerging devices and systems
10010583_10,Biology-related information processing,Emerging technologies
10010583_10,Emerging simulation,Emerging technologies
10010583_10,III-V compounds,Emerging technologies
10010583_10,Tunneling devices,Emerging technologies
10010583_10,Quantum technologies,Emerging technologies
10010583_10,Flexible and printable circuits,Emerging technologies
10010583_10,Nanoelectromechanical systems,Emerging technologies
10010583_10,Memory and dense storage,Emerging technologies
10010583_10,Superconducting circuits,Emerging technologies
10010583_10,Spintronics and magnetic technologies,Emerging technologies
10010583_10,Emerging interfaces,Emerging technologies
10010583_10,Single electron devices,Emerging technologies
10010583_10,Quantum computation,Quantum technologies
10010583_10,Electromechanical systems,Emerging technologies
10010583_10,Emerging tools and methodologies,Emerging technologies
10010583_10,Circuit substrates,Emerging technologies
10010583_10,Microelectromechanical systems,Emerging technologies
10010583_10,Neural systems,Emerging technologies
10010583_10,Cellular neural networks,Emerging technologies
10010583_10,Carbon based electronics,Emerging technologies
10010583_10,Bio-embedded electronics,Emerging technologies
10010583_10,Analysis and design of emerging devices and systems,Emerging technologies
10010583_10,Emerging languages and compilers,Emerging technologies
