group,child,parent
10003456_2,Remote medicine,Medical technologies
10003456_2,Medical technologies,Commerce policy
10003456_2,Health information exchanges,Medical technologies
10003456_2,Medical records,Medical technologies
10003456_2,Medical information policy,Medical technologies
10003456_2,Patient privacy,Medical technologies
10003456_2,Personal health records,Medical technologies
10003456_2,Genetic information,Medical technologies
10010147_3,Spatial and physical reasoning,Computer vision problems
10010147_3,Heuristic function construction,Computer vision problems
10010147_3,Cooperation and coordination,Computer vision problems
10010147_3,Evolutionary robotics,Computer vision problems
10010147_3,Epipolar geometry,Computer vision problems
10010147_3,Hyperspectral imaging,Computer vision problems
10010147_3,3D imaging,Computer vision problems
10010147_3,Image segmentation,Computer vision problems
10010147_3,Knowledge representation and reasoning,Computer vision problems
10010147_3,Control methods,Computer vision problems
10010147_3,Image and video acquisition,Computer vision problems
10010147_3,Logic programming and answer set programming,Computer vision problems
10010147_3,Ontology engineering,Computer vision problems
10010147_3,Discrete space search,Computer vision problems
10010147_3,Semantic networks,Computer vision problems
10010147_3,Object recognition,Computer vision problems
10010147_3,Phonology / morphology,Computer vision problems
10010147_3,Video segmentation,Computer vision problems
10010147_3,Reasoning about belief and knowledge,Computer vision problems
10010147_3,Active vision,Computer vision problems
10010147_3,"Discourse, dialogue and pragmatics",Computer vision problems
10010147_3,Matching,Computer vision problems
10010147_3,Natural language generation,Computer vision problems
10010147_3,Shape representations,Computer vision problems
10010147_3,Speech recognition,Computer vision problems
10010147_3,Abstraction and micro-operators,Computer vision problems
10010147_3,Randomized search,Computer vision problems
10010147_3,Scene understanding,Computer vision problems
10010147_3,Search with partial observations,Computer vision problems
10010147_3,Vagueness and fuzzy logic,Computer vision problems
10010147_3,Computational photography,Computer vision problems
10010147_3,Distributed artificial intelligence,Computer vision problems
10010147_3,Visual inspection,Computer vision problems
10010147_3,Computer vision representations,Computer vision problems
10010147_3,"Nonmonotonic, default reasoning and belief revision",Computer vision problems
10010147_3,Probabilistic reasoning,Computer vision problems
10010147_3,Object detection,Computer vision problems
10010147_3,Planning for deterministic actions,Computer vision problems
10010147_3,Camera calibration,Computer vision problems
10010147_3,Planning under uncertainty,Computer vision problems
10010147_3,Video summarization,Computer vision problems
10010147_3,Lexical semantics,Computer vision problems
10010147_3,Intelligent agents,Computer vision problems
10010147_3,Description logics,Computer vision problems
10010147_3,Planning and scheduling,Computer vision problems
10010147_3,Motion path planning,Computer vision problems
10010147_3,Activity recognition and understanding,Computer vision problems
10010147_3,Theory of mind,Computer vision problems
10010147_3,Visual content-based indexing and retrieval,Computer vision problems
10010147_3,Interest point and salient region detections,Computer vision problems
10010147_3,Natural language processing,Computer vision problems
10010147_3,Cognitive science,Computer vision problems
10010147_3,Vision for robotics,Computer vision problems
10010147_3,Robotic planning,Computer vision problems
10010147_3,Search methodologies,Computer vision problems
10010147_3,Scene anomaly detection,Computer vision problems
10010147_3,Reconstruction,Computer vision problems
10010147_3,Biometrics,Computer vision problems
10010147_3,Motion capture,Computer vision problems
10010147_3,Planning with abstraction and generalization,Computer vision problems
10010147_3,Tracking,Computer vision problems
10010147_3,Image representations,Computer vision problems
10010147_3,Multi-agent systems,Computer vision problems
10010147_3,Language resources,Computer vision problems
10010147_3,Causal reasoning and diagnostics,Computer vision problems
10010147_3,Philosophical/theoretical foundations of artificial intelligence,Computer vision problems
10010147_3,Shape inference,Computer vision problems
10010147_3,Machine translation,Computer vision problems
10010147_3,Continuous space search,Computer vision problems
10010147_3,Computer vision,Artificial intelligence
10010147_3,Computational control theory,Artificial intelligence
10010147_3,Game tree search,Artificial intelligence
10010147_3,Temporal reasoning,Artificial intelligence
10010147_3,Hierarchical representations,Artificial intelligence
10010147_3,Computer vision tasks,Artificial intelligence
10010147_3,Object identification,Artificial intelligence
10010147_3,Information extraction,Artificial intelligence
10010147_3,Mobile agents,Artificial intelligence
10010147_3,Multi-agent planning,Artificial intelligence
10010147_3,Appearance and texture representations,Artificial intelligence
10010147_3,Cognitive robotics,Artificial intelligence
10010147_5,Modeling and simulation,Modeling methodologies
10010147_5,Continuous simulation,Simulation types and techniques
10010147_5,Rare-event simulation,Simulation types and techniques
10010147_5,Simulation types and techniques,Simulation theory
10010147_5,Model verification and validation,Modeling methodologies
10010147_5,Uncertainty quantification,Modeling methodologies
10010147_5,Molecular simulation,Modeling methodologies
10010147_5,Data assimilation,Modeling methodologies
10010147_5,Systems theory,Modeling methodologies
10010147_5,Scientific visualization,Modeling methodologies
10010147_5,Continuous models,Modeling methodologies
10010147_5,Interactive simulation,Simulation types and techniques
10010147_5,Discrete-event simulation,Simulation types and techniques
10010147_5,Visual analytics,Modeling methodologies
10010147_5,Simulation support systems,Modeling methodologies
10010147_5,Massively parallel and high-performance simulations,Modeling methodologies
10010147_5,Distributed simulation,Modeling methodologies
10010147_5,Simulation tools,Modeling methodologies
10010147_5,Quantum mechanic simulation,Modeling methodologies
10010147_5,Model development and analysis,Modeling methodologies
10010147_5,Simulation languages,Modeling methodologies
10010147_5,Agent / discrete models,Modeling methodologies
10010147_5,Artificial life,Modeling methodologies
10010147_5,Simulation environments,Modeling methodologies
10010147_5,Simulation evaluation,Modeling methodologies
10010147_5,Real-time simulation,Modeling methodologies
10010147_5,Multiscale systems,Modeling methodologies
10010147_5,Simulation theory,Modeling methodologies
10010147_5,Network science,Modeling methodologies
10010147_5,Simulation by animation,Modeling methodologies
10010405_4,Computational genomics,Genomics
10010405_4,Recognition of genes and regulatory elements,Genomics
10010405_4,Molecular sequence analysis,Computational genomics
10010405_4,Bioinformatics,Computational genomics
10010405_4,Computational proteomics,Proteomics
10010405_4,Sequencing and genotyping technologies,Genomics
10010405_4,Imaging,Molecular structural biology
10010405_4,Molecular structural biology,Genomics
10010405_4,Metabolomics / metabonomics,Genomics
10010405_4,Consumer health,Health care information systems
10010405_4,Systems biology,Computational biology
10010405_4,Computational biology,Genomics
10010405_4,Genetics,Genomics
10010405_4,Health informatics,Health care information systems
10010405_4,Life and medical sciences,Genomics
10010405_4,Computational transcriptomics,Transcriptomics
10010405_4,Proteomics,Genomics
10010405_4,Biological networks,Computational biology
10010405_4,Transcriptomics,Genomics
10010405_4,Population genetics,Genetics
10010583_2,Displays and imagers,"Communication hardware, interfaces and storage"
10010583_2,Printers,"Communication hardware, interfaces and storage"
10010583_2,Touch screens,"Communication hardware, interfaces and storage"
10010583_2,Sound-based input / output,"Communication hardware, interfaces and storage"
10010583_2,Sensors and actuators,"Communication hardware, interfaces and storage"
10010583_2,Wireless devices,"Communication hardware, interfaces and storage"
10010583_2,Haptic devices,"Communication hardware, interfaces and storage"
10010583_2,Noise reduction,Signal processing systems
10010583_2,Electro-mechanical devices,"Communication hardware, interfaces and storage"
10010583_2,Tactile and hand-based interfaces,"Communication hardware, interfaces and storage"
10010583_2,Sensor applications and deployments,Sensor devices and platforms
10010583_2,Beamforming,"Communication hardware, interfaces and storage"
10010583_2,Scanners,"Communication hardware, interfaces and storage"
10010583_2,Wireless integrated network sensors,Sensor devices and platforms
10010583_2,Sensor devices and platforms,"Communication hardware, interfaces and storage"
10010583_2,Networking hardware,"Communication hardware, interfaces and storage"
10010583_2,Digital signal processing,Signal processing systems
10010583_2,External storage,"Communication hardware, interfaces and storage"
10010583_2,Buses and high-speed links,"Communication hardware, interfaces and storage"
10010583_7,Assertion checking,Design rule checking
10010583_7,Layout-versus-schematics,Physical verification
10010583_7,Model checking,Semi-formal verification
10010583_7,"Bug detection, localization and diagnosis",Bug fixing (hardware)
10010583_7,Functional verification,Hardware validation
10010583_7,Coverage metrics,Functional verification
10010583_7,Bug fixing (hardware),Hardware validation
10010583_7,Post-manufacture validation and debug,Physical verification
10010583_7,Equivalence checking,Semi-formal verification
10010583_7,Theorem proving and SAT solving,Semi-formal verification
10010583_7,Design rule checking,Physical verification
10010583_7,Power and thermal analysis,Timing analysis and sign-off
10010583_7,Simulation and emulation,Functional verification
10010583_7,Timing analysis and sign-off,Hardware validation
10010583_7,Design for debug,Bug fixing (hardware)
10010583_7,Physical verification,Hardware validation
10010583_7,Transaction-level verification,Functional verification
10010583_8,Fault models and test metrics,Hardware test
10010583_8,"Analog, mixed-signal and radio frequency test",Hardware test
10010583_8,Design for testability,Hardware test
10010583_8,Built-in self-test,Hardware test
10010583_8,Testing with distributed and parallel systems,Hardware test
10010583_8,Memory test and repair,Hardware test
10010583_8,Online test and diagnostics,Hardware test
10010583_8,Test data compression,Hardware test
10010583_8,Board- and system-level test,Hardware test
10010583_8,Defect-based test,Hardware test
10010583_8,Test-pattern generation and fault simulation,Hardware test
10010583_8,Hardware reliability screening,Hardware test
10010583_10,III-V compounds,Emerging technologies
10010583_10,Electromechanical systems,Emerging technologies
10010583_10,Reversible logic,Emerging technologies
10010583_10,Cellular neural networks,Emerging technologies
10010583_10,Quantum technologies,Emerging technologies
10010583_10,Quantum communication and cryptography,Quantum technologies
10010583_10,Emerging interfaces,Emerging technologies
10010583_10,Carbon based electronics,Emerging technologies
10010583_10,Neural systems,Emerging technologies
10010583_10,Circuit substrates,Emerging technologies
10010583_10,Single electron devices,Emerging technologies
10010583_10,Emerging languages and compilers,Emerging technologies
10010583_10,Emerging tools and methodologies,Emerging technologies
10010583_10,Analysis and design of emerging devices and systems,Emerging technologies
10010583_10,Emerging simulation,Emerging technologies
10010583_10,Quantum error correction and fault tolerance,Quantum computation
10010583_10,Memory and dense storage,Emerging technologies
10010583_10,Biology-related information processing,Emerging technologies
10010583_10,Plasmonics,Emerging technologies
10010583_10,Emerging optical and photonic technologies,Emerging technologies
10010583_10,Flexible and printable circuits,Emerging technologies
10010583_10,Quantum dots and cellular automata,Emerging technologies
10010583_10,Superconducting circuits,Emerging technologies
10010583_10,Bio-embedded electronics,Emerging technologies
10010583_10,Tunneling devices,Emerging technologies
10010583_10,Microelectromechanical systems,Emerging technologies
10010583_10,Nanoelectromechanical systems,Emerging technologies
10010583_10,Quantum computation,Emerging technologies
10010583_10,Spintronics and magnetic technologies,Emerging technologies
10010583_10,Emerging architectures,Emerging technologies
