,parent_name,child_name,group
133,Calculus,Differential calculus,10002950_5
134,Calculus,Integral calculus,10002950_5
135,Continuous mathematics,Topology,10002950_5
136,Topology,Point-set topology,10002950_5
137,Topology,Algebraic topology,10002950_5
138,Topology,Geometric topology,10002950_5
139,Continuous mathematics,Continuous functions,10002950_5
140,Data management systems,Database design and models,10002951_1
141,Database design and models,Relational database model,10002951_1
142,Database design and models,Entity relationship models,10002951_1
143,Database design and models,Graph-based database models,10002951_1
144,Graph-based database models,Hierarchical data models,10002951_1
145,Graph-based database models,Network data models,10002951_1
146,Database design and models,Physical data models,10002951_1
147,Database design and models,Data model extensions,10002951_1
148,Data model extensions,Semi-structured data,10002951_1
149,Data model extensions,Data streams,10002951_1
150,Data model extensions,Data provenance,10002951_1
151,Data model extensions,Incomplete data,10002951_1
152,Data model extensions,Temporal data,10002951_1
153,Data model extensions,Uncertainty,10002951_1
154,Data model extensions,Inconsistent data,10002951_1
155,Data management systems,Data structures,10002951_1
156,Data structures,Data access methods,10002951_1
157,Data access methods,Multidimensional range search,10002951_1
158,Data access methods,Data scans,10002951_1
159,Data access methods,Point lookups,10002951_1
160,Data access methods,Unidimensional range search,10002951_1
161,Data access methods,Proximity search,10002951_1
162,Data structures,Data layout,10002951_1
163,Data layout,Data compression,10002951_1
164,Data layout,Data encryption,10002951_1
165,Data layout,Record and block layout,10002951_1
166,Data management systems,Database management system engines,10002951_1
167,Database management system engines,DBMS engine architectures,10002951_1
168,Database management system engines,Database query processing,10002951_1
169,Database query processing,Query optimization,10002951_1
170,Database query processing,Query operators,10002951_1
171,Database query processing,Query planning,10002951_1
172,Database query processing,Join algorithms,10002951_1
173,Database management system engines,Database transaction processing,10002951_1
174,Database transaction processing,Data locking,10002951_1
175,Database transaction processing,Transaction logging,10002951_1
176,Database transaction processing,Database recovery,10002951_1
177,Database management system engines,Record and buffer management,10002951_1
178,Database management system engines,Parallel and distributed DBMSs,10002951_1
179,Parallel and distributed DBMSs,Key-value stores,10002951_1
180,Parallel and distributed DBMSs,MapReduce-based systems,10002951_1
181,Parallel and distributed DBMSs,Relational parallel and distributed DBMSs,10002951_1
182,Database management system engines,Triggers and rules,10002951_1
183,Database management system engines,Database views,10002951_1
184,Database management system engines,Integrity checking,10002951_1
185,Database management system engines,Distributed database transactions,10002951_1
186,Distributed database transactions,Distributed data locking,10002951_1
187,Distributed database transactions,Deadlocks,10002951_1
188,Distributed database transactions,Distributed database recovery,10002951_1
189,Database management system engines,Main memory engines,10002951_1
190,Database management system engines,Online analytical processing engines,10002951_1
191,Database management system engines,Stream management,10002951_1
192,Data management systems,Query languages,10002951_1
193,Query languages,Relational database query languages,10002951_1
194,Relational database query languages,Structured Query Language,10002951_1
195,Query languages,XML query languages,10002951_1
196,XML query languages,XPath,10002951_1
197,XML query languages,XQuery,10002951_1
198,Query languages,Query languages for non-relational engines,10002951_1
199,Query languages for non-relational engines,MapReduce languages,10002951_1
200,Query languages,Call level interfaces,10002951_1
201,Data management systems,Database administration,10002951_1
202,Database administration,Database utilities and tools,10002951_1
203,Database administration,Database performance evaluation,10002951_1
204,Database administration,Autonomous database administration,10002951_1
205,Database administration,Data dictionaries,10002951_1
206,Data management systems,Information integration,10002951_1
207,Information integration,Deduplication,10002951_1
208,Information integration,"Extraction, transformation and loading",10002951_1
209,Information integration,Data exchange,10002951_1
210,Information integration,Data cleaning,10002951_1
211,Information integration,Wrappers (data mining),10002951_1
212,Information integration,Mediators and data integration,10002951_1
213,Information integration,Entity resolution,10002951_1
214,Information integration,Data warehouses,10002951_1
215,Information integration,Federated databases,10002951_1
216,Data management systems,Middleware for databases,10002951_1
217,Middleware for databases,Database web servers,10002951_1
218,Middleware for databases,Application servers,10002951_1
219,Middleware for databases,Object-relational mapping facilities,10002951_1
220,Middleware for databases,Data federation tools,10002951_1
221,Middleware for databases,Data replication tools,10002951_1
222,Middleware for databases,Distributed transaction monitors,10002951_1
223,Middleware for databases,Message queues,10002951_1
224,Middleware for databases,Service buses,10002951_1
225,Middleware for databases,Enterprise application integration tools,10002951_1
226,Middleware for databases,Middleware business process managers,10002951_1
227,Information storage systems,Information storage technologies,10002951_2
228,Information storage technologies,Magnetic disks,10002951_2
229,Information storage technologies,Magnetic tapes,10002951_2
230,Information storage technologies,Optical / magneto-optical disks,10002951_2
231,Information storage technologies,Storage class memory,10002951_2
232,Storage class memory,Flash memory,10002951_2
233,Storage class memory,Phase change memory,10002951_2
234,Information storage technologies,Disk arrays,10002951_2
235,Information storage technologies,Tape libraries,10002951_2
236,Information storage systems,Record storage systems,10002951_2
237,Record storage systems,Record storage alternatives,10002951_2
238,Record storage alternatives,Heap (data structure),10002951_2
239,Record storage alternatives,Hashed file organization,10002951_2
240,Record storage alternatives,Indexed file organization,10002951_2
241,Record storage alternatives,Linked lists,10002951_2
242,Record storage systems,Directory structures,10002951_2
243,Directory structures,B-trees,10002951_2
244,Directory structures,Vnodes,10002951_2
245,Directory structures,Inodes,10002951_2
246,Directory structures,Extent-based file structures,10002951_2
247,Record storage systems,Block / page strategies,10002951_2
248,Block / page strategies,Slotted pages,10002951_2
249,Block / page strategies,Intrapage space management,10002951_2
250,Block / page strategies,Interpage free-space management,10002951_2
251,Record storage systems,Record layout alternatives,10002951_2
252,Record layout alternatives,Fixed length attributes,10002951_2
253,Record layout alternatives,Variable length attributes,10002951_2
254,Record layout alternatives,Null values in records,10002951_2
255,Record storage systems,Relational storage,10002951_2
256,Relational storage,Horizontal partitioning,10002951_2
257,Relational storage,Vertical partitioning,10002951_2
258,Relational storage,Column based storage,10002951_2
259,Relational storage,Hybrid storage layouts,10002951_2
260,Relational storage,Compression strategies,10002951_2
261,Information storage systems,Storage replication,10002951_2
262,Storage replication,Mirroring,10002951_2
263,Storage replication,RAID,10002951_2
264,Storage replication,Point-in-time copies,10002951_2
265,Storage replication,Remote replication,10002951_2
266,Storage replication,Storage recovery strategies,10002951_2
267,Information storage systems,Storage architectures,10002951_2
268,Storage architectures,Cloud based storage,10002951_2
269,Storage architectures,Storage network architectures,10002951_2
270,Storage network architectures,Storage area networks,10002951_2
271,Storage network architectures,Direct attached storage,10002951_2
272,Storage network architectures,Network attached storage,10002951_2
273,Storage architectures,Distributed storage,10002951_2
274,Information storage systems,Storage management,10002951_2
275,Storage management,Hierarchical storage management,10002951_2
276,Storage management,Storage virtualization,10002951_2
277,Storage management,Information lifecycle management,10002951_2
278,Storage management,Version management,10002951_2
279,Storage management,Storage power management,10002951_2
280,Storage management,Thin provisioning,10002951_2
281,Information systems applications,Enterprise information systems,10002951_3
282,Enterprise information systems,Intranets,10002951_3
283,Enterprise information systems,Extranets,10002951_3
284,Enterprise information systems,Enterprise resource planning,10002951_3
285,Enterprise information systems,Enterprise applications,10002951_3
286,Enterprise information systems,Data centers,10002951_3
287,Information systems applications,Collaborative and social computing systems and tools,10002951_3
288,Collaborative and social computing systems and tools,Blogs,10002951_3
289,Collaborative and social computing systems and tools,Wikis,10002951_3
290,Collaborative and social computing systems and tools,Reputation systems,10002951_3
291,Collaborative and social computing systems and tools,Open source software,10002951_3
292,Collaborative and social computing systems and tools,Social networking sites,10002951_3
293,Collaborative and social computing systems and tools,Social tagging systems,10002951_3
294,Collaborative and social computing systems and tools,Synchronous editors,10002951_3
295,Collaborative and social computing systems and tools,Asynchronous editors,10002951_3
296,Information systems applications,Spatial-temporal systems,10002951_3
297,Spatial-temporal systems,Location based services,10002951_3
298,Spatial-temporal systems,Geographic information systems,10002951_3
299,Spatial-temporal systems,Sensor networks,10002951_3
300,Spatial-temporal systems,Data streaming,10002951_3
301,Spatial-temporal systems,Global positioning systems,10002951_3
302,Information systems applications,Decision support systems,10002951_3
303,Decision support systems,Data warehouses,10002951_3
304,Decision support systems,Expert systems,10002951_3
305,Decision support systems,Data analytics,10002951_3
306,Decision support systems,Online analytical processing,10002951_3
307,Information systems applications,Mobile information processing systems,10002951_3
308,Information systems applications,Process control systems,10002951_3
309,Information systems applications,Multimedia information systems,10002951_3
310,Multimedia information systems,Multimedia databases,10002951_3
311,Multimedia information systems,Multimedia streaming,10002951_3
312,Multimedia information systems,Multimedia content creation,10002951_3
313,Multimedia information systems,Massively multiplayer online games,10002951_3
314,Information systems applications,Data mining,10002951_3
315,Data mining,Data cleaning,10002951_3
316,Data mining,Collaborative filtering,10002951_3
317,Data mining,Association rules,10002951_3
318,Data mining,Clustering,10002951_3
319,Data mining,Nearest-neighbor search,10002951_3
320,Data mining,Data stream mining,10002951_3
321,Information systems applications,Digital libraries and archives,10002951_3
322,Information systems applications,Computational advertising,10002951_3
323,Information systems applications,Computing platforms,10002951_3
324,World Wide Web,Web searching and information discovery,10002951_4
325,Web searching and information discovery,Web search engines,10002951_4
326,Web search engines,Web crawling,10002951_4
327,Web search engines,Web indexing,10002951_4
328,Web search engines,Page and site ranking,10002951_4
329,Web search engines,Spam detection,10002951_4
330,Web searching and information discovery,Content ranking,10002951_4
331,Web searching and information discovery,Collaborative filtering,10002951_4
332,Web searching and information discovery,Social recommendation,10002951_4
333,Web searching and information discovery,Personalization,10002951_4
334,Web searching and information discovery,Social tagging,10002951_4
335,World Wide Web,Online advertising,10002951_4
336,Online advertising,Sponsored search advertising,10002951_4
337,Online advertising,Content match advertising,10002951_4
338,Online advertising,Display advertising,10002951_4
339,Online advertising,Social advertising,10002951_4
340,World Wide Web,Web mining,10002951_4
341,Web mining,Site wrapping,10002951_4
342,Web mining,Data extraction and integration,10002951_4
343,Data extraction and integration,Deep web,10002951_4
344,Data extraction and integration,Surfacing,10002951_4
345,Data extraction and integration,Search results deduplication,10002951_4
346,Web mining,Web log analysis,10002951_4
347,Web mining,Traffic analysis,10002951_4
348,World Wide Web,Web applications,10002951_4
349,Web applications,Internet communications tools,10002951_4
350,Internet communications tools,Email,10002951_4
351,Internet communications tools,Blogs,10002951_4
352,Internet communications tools,Texting,10002951_4
353,Internet communications tools,Chat,10002951_4
354,Internet communications tools,Web conferencing,10002951_4
355,Web applications,Social networks,10002951_4
356,Web applications,Crowdsourcing,10002951_4
357,Crowdsourcing,Answer ranking,10002951_4
358,Crowdsourcing,Trust,10002951_4
359,Crowdsourcing,Incentive schemes,10002951_4
360,Crowdsourcing,Reputation systems,10002951_4
361,Web applications,Electronic commerce,10002951_4
362,Electronic commerce,Digital cash,10002951_4
363,Electronic commerce,E-commerce infrastructure,10002951_4
364,Electronic commerce,Electronic data interchange,10002951_4
365,Electronic commerce,Electronic funds transfer,10002951_4
366,Electronic commerce,Online shopping,10002951_4
367,Electronic commerce,Online banking,10002951_4
368,Electronic commerce,Secure online transactions,10002951_4
369,Electronic commerce,Online auctions,10002951_4
370,World Wide Web,Web interfaces,10002951_4
371,Web interfaces,Wikis,10002951_4
372,Web interfaces,Browsers,10002951_4
373,Web interfaces,Mashups,10002951_4
374,World Wide Web,Web services,10002951_4
375,Web services,Simple Object Access Protocol (SOAP),10002951_4
376,Web services,RESTful web services,10002951_4
377,Web services,Web Services Description Language (WSDL),10002951_4
378,Web services,Universal Description Discovery and Integration (UDDI),10002951_4
379,Web services,Service discovery and interfaces,10002951_4
380,World Wide Web,Web data description languages,10002951_4
381,Web data description languages,Semantic web description languages,10002951_4
382,Semantic web description languages,Resource Description Framework (RDF),10002951_4
383,Semantic web description languages,Web Ontology Language (OWL),10002951_4
384,Web data description languages,Markup languages,10002951_4
385,Markup languages,Extensible Markup Language (XML),10002951_4
386,Markup languages,Hypertext languages,10002951_4
387,Information retrieval,Document representation,10002951_5
388,Document representation,Document structure,10002951_5
389,Document representation,Document topic models,10002951_5
390,Document representation,Content analysis and feature selection,10002951_5
391,Document representation,Data encoding and canonicalization,10002951_5
392,Document representation,Document collection models,10002951_5
393,Document representation,Ontologies,10002951_5
394,Document representation,Dictionaries,10002951_5
395,Document representation,Thesauri,10002951_5
396,Information retrieval,Information retrieval query processing,10002951_5
397,Information retrieval query processing,Query representation,10002951_5
398,Information retrieval query processing,Query intent,10002951_5
399,Information retrieval query processing,Query log analysis,10002951_5
400,Information retrieval query processing,Query suggestion,10002951_5
401,Information retrieval query processing,Query reformulation,10002951_5
402,Information retrieval,Users and interactive retrieval,10002951_5
403,Users and interactive retrieval,Personalization,10002951_5
404,Users and interactive retrieval,Task models,10002951_5
405,Users and interactive retrieval,Search interfaces,10002951_5
406,Users and interactive retrieval,Collaborative search,10002951_5
407,Information retrieval,Retrieval models and ranking,10002951_5
408,Retrieval models and ranking,Rank aggregation,10002951_5
409,Retrieval models and ranking,Probabilistic retrieval models,10002951_5
410,Retrieval models and ranking,Language models,10002951_5
411,Retrieval models and ranking,Similarity measures,10002951_5
412,Retrieval models and ranking,Learning to rank,10002951_5
413,Retrieval models and ranking,"Combination, fusion and federated search",10002951_5
414,Retrieval models and ranking,Information retrieval diversity,10002951_5
415,Retrieval models and ranking,Top-k retrieval in databases,10002951_5
416,Retrieval models and ranking,Novelty in information retrieval,10002951_5
417,Information retrieval,Retrieval tasks and goals,10002951_5
418,Retrieval tasks and goals,Question answering,10002951_5
419,Retrieval tasks and goals,Document filtering,10002951_5
420,Retrieval tasks and goals,Recommender systems,10002951_5
421,Retrieval tasks and goals,Information extraction,10002951_5
422,Retrieval tasks and goals,Sentiment analysis,10002951_5
423,Retrieval tasks and goals,Expert search,10002951_5
424,Retrieval tasks and goals,Near-duplicate and plagiarism detection,10002951_5
425,Retrieval tasks and goals,Clustering and classification,10002951_5
426,Retrieval tasks and goals,Summarization,10002951_5
427,Retrieval tasks and goals,Business intelligence,10002951_5
428,Information retrieval,Evaluation of retrieval results,10002951_5
429,Evaluation of retrieval results,Test collections,10002951_5
430,Evaluation of retrieval results,Relevance assessment,10002951_5
431,Evaluation of retrieval results,Retrieval effectiveness,10002951_5
432,Evaluation of retrieval results,Retrieval efficiency,10002951_5
433,Evaluation of retrieval results,Presentation of retrieval results,10002951_5
434,Information retrieval,Search engine architectures and scalability,10002951_5
435,Search engine architectures and scalability,Search engine indexing,10002951_5
436,Search engine architectures and scalability,Search index compression,10002951_5
437,Search engine architectures and scalability,Distributed retrieval,10002951_5
438,Search engine architectures and scalability,Peer-to-peer retrieval,10002951_5
439,Search engine architectures and scalability,Retrieval on mobile devices,10002951_5
440,Search engine architectures and scalability,Adversarial retrieval,10002951_5
441,Search engine architectures and scalability,Link and co-citation analysis,10002951_5
442,Search engine architectures and scalability,Searching with auxiliary databases,10002951_5
443,Information retrieval,Specialized information retrieval,10002951_5
444,Specialized information retrieval,Structure and multilingual text search,10002951_5
445,Structure and multilingual text search,Structured text search,10002951_5
446,Structure and multilingual text search,Mathematics retrieval,10002951_5
447,Structure and multilingual text search,Chemical and biochemical retrieval,10002951_5
448,Structure and multilingual text search,Multilingual and cross-lingual retrieval,10002951_5
449,Specialized information retrieval,Multimedia and multimodal retrieval,10002951_5
450,Multimedia and multimodal retrieval,Image search,10002951_5
451,Multimedia and multimodal retrieval,Video search,10002951_5
452,Multimedia and multimodal retrieval,Speech / audio search,10002951_5
453,Multimedia and multimodal retrieval,Music retrieval,10002951_5
454,Specialized information retrieval,Environment-specific retrieval,10002951_5
455,Environment-specific retrieval,Enterprise search,10002951_5
456,Environment-specific retrieval,Desktop search,10002951_5
457,Environment-specific retrieval,Web and social media search,10002951_5
458,Cryptography,Key management,10002978_1
459,Cryptography,Public key (asymmetric) techniques,10002978_1
460,Public key (asymmetric) techniques,Digital signatures,10002978_1
461,Public key (asymmetric) techniques,Public key encryption,10002978_1
462,Cryptography,Symmetric cryptography and hash functions,10002978_1
463,Symmetric cryptography and hash functions,Block and stream ciphers,10002978_1
464,Symmetric cryptography and hash functions,Hash functions and message authentication codes,10002978_1
465,Cryptography,Cryptanalysis and other attacks,10002978_1
466,Cryptography,Information-theoretic techniques,10002978_1
467,Cryptography,Mathematical foundations of cryptography,10002978_1
468,Formal methods and theory of security,Trust frameworks,10002978_2
469,Formal methods and theory of security,Security requirements,10002978_2
470,Formal methods and theory of security,Formal security models,10002978_2
471,Formal methods and theory of security,Logic and verification,10002978_2
472,Security services,Authentication,10002978_3
473,Authentication,Biometrics,10002978_3
474,Authentication,Graphical / visual passwords,10002978_3
475,Authentication,Multi-factor authentication,10002978_3
476,Security services,Access control,10002978_3
477,Security services,"Pseudonymity, anonymity and untraceability",10002978_3
478,Security services,Privacy-preserving protocols,10002978_3
479,Security services,Digital rights management,10002978_3
480,Security services,Authorization,10002978_3
481,Intrusion/anomaly detection and malware mitigation,Malware and its mitigation,10002978_4
482,Intrusion/anomaly detection and malware mitigation,Intrusion detection systems,10002978_4
483,Intrusion detection systems,Artificial immune systems,10002978_4
484,Intrusion/anomaly detection and malware mitigation,Social engineering attacks,10002978_4
485,Social engineering attacks,Spoofing attacks,10002978_4
486,Social engineering attacks,Phishing,10002978_4
487,Security in hardware,Tamper-proof and tamper-resistant designs,10002978_5
488,Security in hardware,Embedded systems security,10002978_5
489,Security in hardware,Hardware security implementation,10002978_5
490,Hardware security implementation,Hardware-based security protocols,10002978_5
491,Security in hardware,Hardware attacks and countermeasures,10002978_5
492,Hardware attacks and countermeasures,Malicious design modifications,10002978_5
493,Hardware attacks and countermeasures,Side-channel analysis and countermeasures,10002978_5
494,Security in hardware,Hardware reverse engineering,10002978_5
495,Systems security,Operating systems security,10002978_6
496,Operating systems security,Mobile platform security,10002978_6
497,Operating systems security,Trusted computing,10002978_6
498,Operating systems security,Virtualization and security,10002978_6
499,Systems security,Browser security,10002978_6
500,Systems security,Distributed systems security,10002978_6
501,Systems security,Information flow control,10002978_6
502,Systems security,Denial-of-service attacks,10002978_6
503,Systems security,Firewalls,10002978_6
504,Systems security,Vulnerability management,10002978_6
505,Vulnerability management,Penetration testing,10002978_6
506,Vulnerability management,Vulnerability scanners,10002978_6
507,Systems security,File system security,10002978_6
508,Network security,Security protocols,10002978_7
509,Network security,Web protocol security,10002978_7
510,Network security,Mobile and wireless security,10002978_7
511,Network security,Denial-of-service attacks,10002978_7
512,Network security,Firewalls,10002978_7
513,Database and storage security,Data anonymization and sanitization,10002978_8
514,Database and storage security,Management and querying of encrypted data,10002978_8
515,Database and storage security,Information accountability and usage control,10002978_8
516,Database and storage security,Database activity monitoring,10002978_8
517,Software and application security,Software security engineering,10002978_9
518,Software and application security,Web application security,10002978_9
519,Software and application security,Social network security and privacy,10002978_9
520,Software and application security,Domain-specific security and privacy architectures,10002978_9
521,Software and application security,Software reverse engineering,10002978_9
522,Human and societal aspects of security and privacy,Economics of security and privacy,10002978_10
523,Human and societal aspects of security and privacy,Social aspects of security and privacy,10002978_10
524,Human and societal aspects of security and privacy,Privacy protections,10002978_10
525,Human and societal aspects of security and privacy,Usability in security and privacy,10002978_10
526,Network architectures,Network design principles,10003033_1
527,Network design principles,Layering,10003033_1
528,Network design principles,Naming and addressing,10003033_1
529,Network architectures,Programming interfaces,10003033_1
530,Network protocols,Network protocol design,10003033_2
531,Network protocols,Protocol correctness,10003033_2
532,Protocol correctness,Protocol testing and verification,10003033_2
533,Protocol correctness,Formal specifications,10003033_2
534,Network protocols,Link-layer protocols,10003033_2
535,Network protocols,Network layer protocols,10003033_2
536,Network layer protocols,Routing protocols,10003033_2
537,Network layer protocols,Signaling protocols,10003033_2
538,Network protocols,Transport protocols,10003033_2
539,Network protocols,Session protocols,10003033_2
540,Network protocols,Presentation protocols,10003033_2
541,Network protocols,Application layer protocols,10003033_2
542,Application layer protocols,Peer-to-peer protocols,10003033_2
543,Network protocols,OAM protocols,10003033_2
544,OAM protocols,Time synchronization protocols,10003033_2
545,OAM protocols,Network policy,10003033_2
546,Network protocols,Cross-layer protocols,10003033_2
547,Network protocols,Network File System (NFS) protocol,10003033_2
548,Network components,Intermediate nodes,10003033_3
549,Intermediate nodes,Routers,10003033_3
550,Intermediate nodes,Bridges and switches,10003033_3
551,Network components,Physical links,10003033_3
552,Physical links,Repeaters,10003033_3
553,Network components,Middle boxes / network appliances,10003033_3
554,Network components,End nodes,10003033_3
555,End nodes,Network adapters,10003033_3
556,End nodes,Network servers,10003033_3
557,Network components,"Wireless access points, base stations and infrastructure",10003033_3
558,"Wireless access points, base stations and infrastructure",Cognitive radios,10003033_3
559,Network components,Logical nodes,10003033_3
560,Logical nodes,Network domains,10003033_3
561,Network algorithms,Data path algorithms,10003033_4
562,Data path algorithms,Packet classification,10003033_4
563,Data path algorithms,Deep packet inspection,10003033_4
564,Data path algorithms,Packet scheduling,10003033_4
565,Network algorithms,Control path algorithms,10003033_4
566,Control path algorithms,Network resources allocation,10003033_4
567,Control path algorithms,Network control algorithms,10003033_4
568,Control path algorithms,Traffic engineering algorithms,10003033_4
569,Control path algorithms,Network design and planning algorithms,10003033_4
570,Network algorithms,Network economics,10003033_4
571,Network performance evaluation,Network performance modeling,10003033_5
572,Network performance evaluation,Network simulations,10003033_5
573,Network performance evaluation,Network experimentation,10003033_5
574,Network performance evaluation,Network performance analysis,10003033_5
575,Network performance evaluation,Network measurement,10003033_5
576,Network properties,Network security,10003033_6
