,parent,child,group,flag
277,reflex,electric_shock,15,TRUE
278,reflex,fart,15,TRUE
279,reflex,gulp,15,TRUE
280,reflex,hiccup,15,TRUE
281,reflex,knee_jerk,15,TRUE
282,reflex,light_reflex,15,TRUE
283,reflex,micturition_reflex,15,TRUE
284,reflex,mydriasis,15,TRUE
285,reflex,pharyngeal_reflex,15,TRUE
286,reflex,pilomotor_reflex,15,TRUE
287,reflex,plantar_reflex,15,TRUE
288,reflex,rooting_reflex,15,TRUE
289,reflex,sneeze,15,TRUE
290,reflex,startle,15,TRUE
291,startle,startle_reflex,15,TRUE
292,startle,startle_response,15,TRUE
293,startle,wince,15,TRUE
294,reflex,stretch_reflex,15,TRUE
295,reflex,suckling_reflex,15,TRUE
296,reflex,tremble,15,TRUE
297,reflex,vomit,15,TRUE
298,vomit,hematemesis,15,TRUE
299,vomit,hyperemesis,15,TRUE
300,hyperemesis,hyperemesis_gravidarum,15,TRUE
301,vomit,rumination,15,TRUE
302,reflex,yawn,15,TRUE
303,yawn,pandiculation,15,TRUE
304,conflict,class_struggle,16,TRUE
305,conflict,feud,16,TRUE
306,feud,vendetta,16,TRUE
307,conflict,fight,16,TRUE
308,fight,affray,16,TRUE
309,fight,battering,16,TRUE
310,fight,beating,16,TRUE
311,fight,brawl,16,TRUE
312,fight,brush,16,TRUE
313,brush,contretemps,16,TRUE
314,fight,close-quarter_fighting,16,TRUE
315,fight,dogfight,16,TRUE
316,fight,duel,16,TRUE
317,fight,fencing,16,TRUE
318,fight,fistfight,16,TRUE
319,fistfight,punch-up,16,TRUE
320,fight,gunfight,16,TRUE
321,fight,hassle,16,TRUE
322,fight,in-fighting,16,TRUE
323,fight,knife_fight,16,TRUE
324,fight,rumble,16,TRUE
325,fight,set-to,16,TRUE
326,fight,shock,16,TRUE
327,fight,single_combat,16,TRUE
328,conflict,pacification,16,TRUE
329,conflict,rebellion,16,TRUE
330,rebellion,insurgency,16,TRUE
331,rebellion,intifada,16,TRUE
332,rebellion,mutiny,16,TRUE
333,conflict,strife,16,TRUE
334,strife,countercurrent,16,TRUE
335,strife,discord,16,TRUE
336,conflict,tug-of-war,16,TRUE
337,conflict,turf_war,16,TRUE
338,conflict,war,16,TRUE
339,war,drug_war,16,TRUE
340,war,trench_warfare,16,TRUE
341,ball_game,baseball,17,TRUE
342,baseball,ball,17,TRUE
343,ball,daisy_cutter,17,TRUE
344,baseball,five-hitter,17,TRUE
345,baseball,four-hitter,17,TRUE
346,baseball,hardball,17,TRUE
347,baseball,no-hit_game,17,TRUE
348,baseball,one-hitter,17,TRUE
349,baseball,perfect_game,17,TRUE
350,baseball,professional_baseball,17,TRUE
351,baseball,rounders,17,TRUE
352,baseball,softball,17,TRUE
353,baseball,steal,17,TRUE
354,baseball,stickball,17,TRUE
355,baseball,three-hitter,17,TRUE
356,baseball,two-hitter,17,TRUE
357,examination,audit,18,TRUE
358,examination,autopsy,18,TRUE
359,examination,bank_examination,18,TRUE
360,examination,checkup,18,TRUE
361,examination,comparison,18,TRUE
362,comparison,analogy,18,TRUE
363,comparison,collation,18,TRUE
364,comparison,confrontation,18,TRUE
365,comparison,contrast,18,TRUE
366,comparison,likening,18,TRUE
367,examination,endoscopy,18,TRUE
368,endoscopy,celioscopy,18,TRUE
369,endoscopy,colonoscopy,18,TRUE
370,endoscopy,culdoscopy,18,TRUE
371,endoscopy,gastroscopy,18,TRUE
372,endoscopy,hysteroscopy,18,TRUE
373,endoscopy,proctoscopy,18,TRUE
374,endoscopy,sigmoidoscopy,18,TRUE
375,examination,fine-tooth_comb,18,TRUE
376,examination,follow-up,18,TRUE
377,examination,going-over,18,TRUE
378,examination,gonioscopy,18,TRUE
379,examination,inspection,18,TRUE
380,inspection,check,18,TRUE
381,check,spot_check,18,TRUE
382,examination,keratoscopy,18,TRUE
383,examination,once-over,18,TRUE
384,examination,ophthalmoscopy,18,TRUE
385,examination,palpation,18,TRUE
386,palpation,ballottement,18,TRUE
387,examination,rhinoscopy,18,TRUE
388,examination,scan,18,TRUE
389,examination,search,18,TRUE
390,examination,survey,18,TRUE
391,survey,resurvey,18,TRUE
392,examination,testing,18,TRUE
393,testing,screening,18,TRUE
394,screening,genetic_screening,18,TRUE
395,examination,time_and_motion_study,18,TRUE
396,fastening,bonding,19,TRUE
397,fastening,doweling,19,TRUE
398,fastening,fixation,19,TRUE
399,fastening,grounding,19,TRUE
400,fastening,linkage,19,TRUE
401,fastening,tying,19,TRUE
402,tying,ligation,19,TRUE
403,ligation,tubal_ligation,19,TRUE
404,fastening,welding,19,TRUE
405,welding,butt_welding,19,TRUE
406,butt_welding,flash_welding,19,TRUE
407,welding,spot_welding,19,TRUE
408,diagnostic_procedure,auscultation,20,TRUE
409,auscultation,percussion,20,TRUE
410,auscultation,succussion,20,TRUE
411,diagnostic_procedure,cardiography,20,TRUE
412,diagnostic_procedure,echocardiography,20,TRUE
413,diagnostic_procedure,echoencephalography,20,TRUE
414,diagnostic_procedure,electromyography,20,TRUE
415,diagnostic_procedure,mammography,20,TRUE
416,diagnostic_procedure,prenatal_diagnosis,20,TRUE
417,prenatal_diagnosis,amniocentesis,20,TRUE
418,prenatal_diagnosis,fetoscopy,20,TRUE
419,prenatal_diagnosis,sonography,20,TRUE
420,sonography,A-scan_ultrasonography,20,TRUE
421,sonography,B-scan_ultrasonography,20,TRUE
422,diagnostic_procedure,roentgenography,20,TRUE
423,roentgenography,angiography,20,TRUE
424,angiography,lymphangiography,20,TRUE
425,roentgenography,arthrography,20,TRUE
426,arthrography,arteriography,20,TRUE
427,arthrography,venography,20,TRUE
428,roentgenography,cholangiography,20,TRUE
429,roentgenography,encephalography,20,TRUE
430,roentgenography,myelography,20,TRUE
431,roentgenography,pyelography,20,TRUE
432,pyelography,intravenous_pyelography,20,TRUE
433,diagnostic_procedure,thermography,20,TRUE
434,thermography,mammothermography,20,TRUE
435,influence,cross-pollination,21,TRUE
436,influence,enticement,21,TRUE
437,enticement,blandishment,21,TRUE
438,blandishment,ingratiation,21,TRUE
439,enticement,leading_astray,21,TRUE
440,enticement,seduction,21,TRUE
441,enticement,solicitation,21,TRUE
442,influence,exposure,21,TRUE
443,exposure,overexposure,21,TRUE
444,exposure,underexposure,21,TRUE
445,influence,hypnotism,21,TRUE
446,influence,impingement,21,TRUE
447,influence,manipulation,21,TRUE
448,manipulation,mind_game,21,TRUE
449,measure,countermeasure,22,TRUE
450,countermeasure,countermine,22,TRUE
451,measure,precaution,22,TRUE
452,precaution,backstop,22,TRUE
453,precaution,security,22,TRUE
454,measure,shark_repellent,22,TRUE
455,shark_repellent,golden_parachute,22,TRUE
456,shark_repellent,greenmail,22,TRUE
457,shark_repellent,pac-man_strategy,22,TRUE
458,shark_repellent,poison_pill,22,TRUE
459,poison_pill,suicide_pill,22,TRUE
460,shark_repellent,safe_harbor,22,TRUE
461,shark_repellent,scorched-earth_policy,22,TRUE
462,blessing,admiration,23,TRUE
463,admiration,adoration,23,TRUE
464,adoration,glorification,23,TRUE
465,admiration,idealization,23,TRUE
466,idealization,sentimentalization,23,TRUE
467,blessing,adoption,23,TRUE
468,adoption,embrace,23,TRUE
469,blessing,backing,23,TRUE
470,blessing,reward,23,TRUE
471,reward,carrot,23,TRUE
472,football_play,audible,24,TRUE
473,football_play,handoff,24,TRUE
474,football_play,pass,24,TRUE
475,pass,forward_pass,24,TRUE
476,forward_pass,flare_pass,24,TRUE
477,forward_pass,screen_pass,24,TRUE
478,pass,lateral_pass,24,TRUE
479,pass,spot_pass,24,TRUE
480,football_play,power_play,24,TRUE
481,football_play,run,24,TRUE
482,run,draw,24,TRUE
483,run,end_run,24,TRUE
484,run,return,24,TRUE
485,run,reverse,24,TRUE
486,reverse,double_reverse,24,TRUE
487,run,rush,24,TRUE
488,football_play,tackle,24,TRUE
489,football_play,touchback,24,TRUE
490,improvement,adjustment,25,TRUE
491,adjustment,domestication,25,TRUE
492,adjustment,habituation,25,TRUE
493,adjustment,readjustment,25,TRUE
494,adjustment,shakedown,25,TRUE
495,improvement,conservation,25,TRUE
496,improvement,recovery,25,TRUE
497,improvement,refinement,25,TRUE
498,improvement,revival,25,TRUE
499,revival,rebirth,25,TRUE
500,revival,regeneration,25,TRUE
501,revival,resurrection,25,TRUE
502,revival,resuscitation,25,TRUE
503,resuscitation,cardiopulmonary_resuscitation,25,TRUE
504,prevention,averting,26,TRUE
505,prevention,debarment,26,TRUE
506,debarment,suspension,26,TRUE
507,suspension,rustication,26,TRUE
508,prevention,disqualification,26,TRUE
509,disqualification,recusation,26,TRUE
510,prevention,interception,26,TRUE
511,prevention,nonproliferation,26,TRUE
512,prevention,obviation,26,TRUE
513,prevention,prophylaxis,26,TRUE
514,prevention,save,26,TRUE
515,prevention,suppression,26,TRUE
516,suppression,crackdown,26,TRUE
517,destruction,annihilation,27,TRUE
518,annihilation,atomization,27,TRUE
519,annihilation,pulverization,27,TRUE
520,annihilation,vaporization,27,TRUE
521,destruction,decimation,27,TRUE
522,destruction,demolition,27,TRUE
523,destruction,disaster,27,TRUE
524,destruction,extermination,27,TRUE
525,destruction,holocaust,27,TRUE
526,destruction,kill,27,TRUE
527,destruction,laying_waste,27,TRUE
528,destruction,neutralization,27,TRUE
529,destruction,razing,27,TRUE
530,destruction,sabotage,27,TRUE
531,sabotage,bombing,27,TRUE
532,bombing,suicide_bombing,27,TRUE
533,destruction,self-destruction,27,TRUE
534,destruction,spoliation,27,TRUE
535,destruction,vandalism,27,TRUE
536,homicide,honor_killing,28,TRUE
537,homicide,manslaughter,28,TRUE
538,manslaughter,chance-medley,28,TRUE
539,homicide,murder,28,TRUE
540,murder,assassination,28,TRUE
541,murder,bloodshed,28,TRUE
542,murder,contract_killing,28,TRUE
543,murder,dry-gulching,28,TRUE
544,murder,elimination,28,TRUE
545,murder,filicide,28,TRUE
546,murder,fratricide,28,TRUE
547,murder,hit,28,TRUE
548,murder,infanticide,28,TRUE
549,murder,lynching,28,TRUE
550,murder,mariticide,28,TRUE
551,murder,parricide,28,TRUE
552,parricide,matricide,28,TRUE
553,parricide,patricide,28,TRUE
554,murder,regicide,28,TRUE
555,murder,shoot-down,28,TRUE
556,murder,slaughter,28,TRUE
557,slaughter,bloodbath,28,TRUE
558,murder,thuggee,28,TRUE
559,murder,tyrannicide,28,TRUE
560,murder,uxoricide,28,TRUE
561,homicide,shooting,28,TRUE
562,shooting,drive-by_killing,28,TRUE
563,shooting,drive-by_shooting,28,TRUE
564,shooting,wing_shooting,28,TRUE
565,beginning,activation,29,TRUE
566,beginning,attack,29,TRUE
567,beginning,constitution,29,TRUE
568,constitution,collectivization,29,TRUE
569,constitution,colonization,29,TRUE
570,colonization,population,29,TRUE
571,constitution,communization,29,TRUE
572,constitution,federation,29,TRUE
573,constitution,unionization,29,TRUE
574,beginning,face-off,29,TRUE
575,beginning,first_step,29,TRUE
576,first_step,curtain_raiser,29,TRUE
577,first_step,first_base,29,TRUE
578,first_step,peace_initiative,29,TRUE
579,beginning,groundbreaking,29,TRUE
580,beginning,housing_start,29,TRUE
581,beginning,icebreaker,29,TRUE
582,beginning,inauguration,29,TRUE
583,beginning,initiation,29,TRUE
584,initiation,authorship,29,TRUE
585,beginning,installation,29,TRUE
586,beginning,introduction,29,TRUE
587,introduction,induction,29,TRUE
588,induction,hypnogenesis,29,TRUE
589,induction,induction_of_labor,29,TRUE
590,introduction,naturalization,29,TRUE
591,introduction,product_introduction,29,TRUE
592,introduction,ushering_in,29,TRUE
593,beginning,jump_ball,29,TRUE
594,jump_ball,tip-off,29,TRUE
595,beginning,kickoff,29,TRUE
596,beginning,resumption,29,TRUE
597,beginning,scrum,29,TRUE
598,beginning,springboard,29,TRUE
599,beginning,startup,29,TRUE
600,repair,band_aid,30,TRUE
601,repair,care,30,TRUE
602,care,camera_care,30,TRUE
603,care,car_care,30,TRUE
604,car_care,oil_change,30,TRUE
605,care,overhaul,30,TRUE
606,overhaul,interim_overhaul,30,TRUE
607,care,pump_priming,30,TRUE
608,care,scheduled_maintenance,30,TRUE
609,care,steam_fitting,30,TRUE
610,repair,darning,30,TRUE
611,repair,patching,30,TRUE
612,repair,reconstruction,30,TRUE
613,reconstruction,makeover,30,TRUE
614,reconstruction,re-formation,30,TRUE
615,reconstruction,reassembly,30,TRUE
616,reassembly,anastylosis,30,TRUE
617,reconstruction,rebuilding,30,TRUE
618,repair,restitution,30,TRUE
619,repair,restoration,30,TRUE
620,restoration,gentrification,30,TRUE
621,restoration,re-establishment,30,TRUE
622,restoration,reclamation,30,TRUE
623,reclamation,reforestation,30,TRUE
624,reclamation,urban_renewal,30,TRUE
625,restoration,rehabilitation,30,TRUE
626,rehabilitation,correctional_rehabilitation,30,TRUE
627,rehabilitation,physical_rehabilitation,30,TRUE
628,rehabilitation,vocational_rehabilitation,30,TRUE
629,restoration,reinstatement,30,TRUE
630,restoration,rejuvenation,30,TRUE
631,rejuvenation,refreshment,30,TRUE
632,irrigation,douche,31,TRUE
633,irrigation,enema,31,TRUE
634,enema,barium_enema,31,TRUE
635,enema,colonic_irrigation,31,TRUE
636,colonic_irrigation,high_colonic,31,TRUE
637,irrigation,eyedrop,31,TRUE
638,eyedrop,adrenergic_agonist_eyedrop,31,TRUE
639,eyedrop,beta_blocker_eyedrop,31,TRUE
640,eyedrop,miotic_eyedrop,31,TRUE
641,eyedrop,topical_prostaglandin_eyedrop,31,TRUE
642,irrigation,lavage,31,TRUE
643,lavage,gastric_lavage,31,TRUE
644,wash,ablution,32,TRUE
645,wash,dishwashing,32,TRUE
646,wash,laundering,32,TRUE
647,wash,rinse,32,TRUE
648,wash,soak,32,TRUE
649,wash,washing-up,32,TRUE
650,wash,washup,32,TRUE
651,washup,bath,32,TRUE
652,bath,bubble_bath,32,TRUE
653,bath,mikvah,32,TRUE
654,bath,mud_bath,32,TRUE
655,washup,shower,32,TRUE
656,washup,sponge_bath,32,TRUE
657,washup,Turkish_bath,32,TRUE
658,wash,window-washing,32,TRUE
659,employment,coaching,33,TRUE
660,employment,engagement,33,TRUE
661,engagement,gig,33,TRUE
662,employment,ministry,33,TRUE
663,employment,paper_route,33,TRUE
664,employment,piecework,33,TRUE
665,employment,public_service,33,TRUE
666,public_service,minister,33,TRUE
667,minister,cabinet_minister,33,TRUE
668,employment,seafaring,33,TRUE
669,seafaring,cabotage,33,TRUE
670,employment,service,33,TRUE
671,employment,services,33,TRUE
672,employment,telecommuting,33,TRUE
673,employment,workload,33,TRUE
674,workload,case_load,33,TRUE
675,air_travel,flight,34,TRUE
676,flight,acrobatics,34,TRUE
677,acrobatics,tailspin,34,TRUE
678,flight,ballooning,34,TRUE
679,flight,blind_flying,34,TRUE
680,flight,flyover,34,TRUE
681,flight,glide,34,TRUE
682,glide,hang_gliding,34,TRUE
683,glide,parasailing,34,TRUE
684,flight,maiden_flight,34,TRUE
685,flight,overflight,34,TRUE
686,flight,pass,34,TRUE
687,flight,solo,34,TRUE
688,flight,sortie,34,TRUE
689,flight,terrain_flight,34,TRUE
690,size,circumference,35,TRUE
691,circumference,girth,35,TRUE
692,girth,spread,35,TRUE
693,size,distance,35,TRUE
694,distance,altitude,35,TRUE
695,distance,arm's_length,35,TRUE
696,distance,gauge,35,TRUE
697,gauge,broad_gauge,35,TRUE
698,gauge,narrow_gauge,35,TRUE
699,gauge,standard_gauge,35,TRUE
700,distance,leg,35,TRUE
701,distance,light_time,35,TRUE
702,distance,skip_distance,35,TRUE
703,distance,wingspan,35,TRUE
704,distance,wingspread,35,TRUE
705,size,largeness,35,TRUE
706,largeness,ampleness,35,TRUE
707,largeness,bulkiness,35,TRUE
708,largeness,capaciousness,35,TRUE
709,capaciousness,airiness,35,TRUE
710,capaciousness,seating_capacity,35,TRUE
711,largeness,enormousness,35,TRUE
712,enormousness,enormity,35,TRUE
713,largeness,fullness,35,TRUE
714,largeness,gigantism,35,TRUE
715,size,smallness,35,TRUE
716,smallness,delicacy,35,TRUE
717,smallness,diminutiveness,35,TRUE
718,smallness,dwarfishness,35,TRUE
719,smallness,grain,35,TRUE
720,smallness,puniness,35,TRUE
721,transportation,airlift,36,TRUE
722,transportation,carry,36,TRUE
723,carry,fireman's_carry,36,TRUE
724,carry,packing,36,TRUE
725,carry,piggyback,36,TRUE
726,carry,portage,36,TRUE
727,carry,porterage,36,TRUE
728,transportation,connection,36,TRUE
729,transportation,delivery,36,TRUE
730,delivery,airdrop,36,TRUE
731,delivery,consignment,36,TRUE
732,delivery,passage,36,TRUE
733,passage,relay,36,TRUE
734,delivery,post,36,TRUE
735,delivery,service,36,TRUE
736,transportation,drive,36,TRUE
737,drive,cattle_drive,36,TRUE
738,transportation,lighterage,36,TRUE
739,transportation,resettlement,36,TRUE
740,transportation,teleportation,36,TRUE
741,transportation,transshipment,36,TRUE
742,insertion,cannulation,37,TRUE
743,insertion,enclosure,37,TRUE
744,enclosure,encasement,37,TRUE
745,enclosure,packing,37,TRUE
746,packing,bundling,37,TRUE
747,insertion,injection,37,TRUE
748,injection,epidural_injection,37,TRUE
749,insertion,instillation,37,TRUE
750,instillation,infusion,37,TRUE
751,insertion,perfusion,37,TRUE
752,insertion,transfusion,37,TRUE
753,transfusion,exchange_transfusion,37,TRUE
754,rise,climb,38,TRUE
755,climb,clamber,38,TRUE
756,climb,mountain_climbing,38,TRUE
757,mountain_climbing,Alpinism,38,TRUE
758,climb,rock_climbing,38,TRUE
759,climb,scaling,38,TRUE
760,scaling,escalade,38,TRUE
761,rise,heave,38,TRUE
762,rise,levitation,38,TRUE
763,rise,soar,38,TRUE
764,change_of_course,tack,39,TRUE
765,change_of_course,turn,39,TRUE
766,turn,diversion,39,TRUE
767,diversion,red_herring,39,TRUE
768,turn,kick_turn,39,TRUE
769,turn,left,39,TRUE
770,turn,right,39,TRUE
771,turn,stem_turn,39,TRUE
