,concept_id,concept_name,child_id,child_name,group_code
1424,10010149,Symbolic and algebraic algorithms,10003628,Combinatorial algorithms,10010147
1637,10010087,Computational biology,10010934,Computational genomics,10010405
1638,10010093,Genomics,10010934,Computational genomics,10010405
1561,10010382,Image manipulation,10010236,Computational photography,10010147
2841,10010226,Image and video acquisition,10010236,Computational photography,10010147
1635,10010087,Computational biology,10010097,Computational proteomics,10010405
3015,10010451,Proteomics,10010097,Computational proteomics,10010405
1115,10003131,"Collaborative and social computing theory, concepts and paradigms",10003570,Computer supported cooperative work,10003120
1191,10003567,Computing and business,10003570,Computer supported cooperative work,10003456
1623,10010439,Engineering,10010440,Computer-aided design,10010405
1661,10010472,Architecture (buildings),10010440,Computer-aided design,10010405
377,10003809,Design and analysis of algorithms,10011778,Concurrent algorithms,10003752
426,10011777,Concurrent computing methodologies,10011778,Concurrent algorithms,10010147
425,10011777,Concurrent computing methodologies,10011014,Concurrent programming languages,10010147
3276,10011009,Language types,10011014,Concurrent programming languages,10011007
720,10003716,Mathematical optimization,10011138,Continuous optimization,10002950
1321,10003716,Mathematical optimization,10011138,Continuous optimization,10003752
2104,10011138,Continuous optimization,10010043,Convex optimization,10002950
2662,10011138,Continuous optimization,10010043,Convex optimization,10003752
816,10003228,Enterprise information systems,10010925,Data centers,10002951
1596,10003228,Enterprise information systems,10010925,Data centers,10010405
771,10003219,Information integration,10003218,Data cleaning,10002951
840,10003351,Data mining,10003218,Data cleaning,10002951
1324,10010031,Data structures design and analysis,10002975,Data compression,10003752
2146,10003451,Data layout,10002975,Data compression,10002951
770,10003219,Information integration,10003217,Data exchange,10002951
1392,10010111,Database theory,10003217,Data exchange,10003752
1729,10010542,Other architectures,10010545,Data flow architectures,10010520
3232,10010972,Software architectures,10010545,Data flow architectures,10011007
1393,10010111,Database theory,10003623,Data provenance,10003752
2136,10010820,Data model extensions,10003623,Data provenance,10002951
775,10003219,Information integration,10003242,Data warehouses,10002951
830,10003241,Decision support systems,10003242,Data warehouses,10002951
2165,10010832,Distributed database transactions,10010834,Deadlocks,10002951
3659,10010957,Process management,10010834,Deadlocks,10011007
193,10003006,Systems security,10011610,Denial-of-service attacks,10002978
200,10003014,Network security,10011610,Denial-of-service attacks,10002978
1029,10003014,Network security,10011610,Denial-of-service attacks,10003033
356,10003790,Logic,10003797,Description logics,10003752
1456,10010187,Knowledge representation and reasoning,10003797,Description logics,10010147
2114,10011804,Non-parametric optimization,10011818,Developmental representations,10002950
2672,10011804,Non-parametric optimization,10011818,Developmental representations,10003752
728,10003732,Calculus,10003734,Differential calculus,10002950
735,10003732,Calculus,10003734,Differential calculus,10002950
427,10003550,Electronic commerce,10003551,Digital cash,10010405
2301,10003550,Electronic commerce,10003551,Digital cash,10002951
147,10003227,Information systems applications,10003392,Digital libraries and archives,10002951
486,10010476,Computers in other domains,10003392,Digital libraries and archives,10010405
500,10010489,Education,10003392,Digital libraries and archives,10010405
179,10002991,Security services,10002996,Digital rights management,10002978
1203,10003463,Intellectual property,10002996,Digital rights management,10003456
719,10003716,Mathematical optimization,10011136,Discrete optimization,10002950
1320,10003716,Mathematical optimization,10011136,Discrete optimization,10003752
537,10010588,"Communication hardware, interfaces and storage",10010591,Displays and imagers,10010583
1084,10003125,Interaction devices,10010591,Displays and imagers,10003120
375,10003809,Design and analysis of algorithms,10010172,Distributed algorithms,10003752
423,10010919,Distributed computing methodologies,10010172,Distributed algorithms,10010147
424,10010919,Distributed computing methodologies,10010177,Distributed programming languages,10010147
3272,10011009,Language types,10010177,Distributed programming languages,10011007
428,10003550,Electronic commerce,10003552,E-commerce infrastructure,10010405
1938,10010941,Contextual software domains,10003552,E-commerce infrastructure,10011007
2302,10003550,Electronic commerce,10003552,E-commerce infrastructure,10002951
56,10010405,Applied computing,10003550,Electronic commerce,10010405
866,10003282,Web applications,10003550,Electronic commerce,10002951
429,10003550,Electronic commerce,10003553,Electronic data interchange,10010405
2303,10003550,Electronic commerce,10003553,Electronic data interchange,10002951
430,10003550,Electronic commerce,10003554,Electronic funds transfer,10010405
2304,10003550,Electronic commerce,10003554,Electronic funds transfer,10002951
1746,10010562,Embedded systems,10010564,Embedded software,10010520
1942,10010971,Software system structures,10010564,Embedded software,10011007
1189,10003567,Computing and business,10003568,Employment issues,10003456
1197,10003580,Computing profession,10003568,Employment issues,10003456
815,10003228,Enterprise information systems,10003442,Enterprise applications,10002951
1595,10003228,Enterprise information systems,10003442,Enterprise applications,10010405
139,10003227,Information systems applications,10003228,Enterprise information systems,10002951
435,10010406,Enterprise computing,10003228,Enterprise information systems,10010405
814,10003228,Enterprise information systems,10003232,Enterprise resource planning,10002951
1594,10003228,Enterprise information systems,10003232,Enterprise resource planning,10010405
1041,10003095,Network reliability,10010752,Error detection and error correction,10003033
1899,10010751,Fault tolerance,10010752,Error detection and error correction,10010583
3386,10011797,Optimization with randomized search heuristics,10011799,Evolutionary algorithms,10002950
3534,10011797,Optimization with randomized search heuristics,10011799,Evolutionary algorithms,10003752
2814,10010204,Robotic planning,10011814,Evolutionary robotics,10010147
2822,10010204,Robotic planning,10011814,Evolutionary robotics,10010147
2916,10011809,Bio-inspired approaches,10011814,Evolutionary robotics,10010147
3075,10010556,Robotic control,10011814,Evolutionary robotics,10010520
1800,10010628,Reconfigurable logic and FPGAs,10011811,Evolvable hardware,10010583
2913,10011809,Bio-inspired approaches,10011811,Evolvable hardware,10010147
2319,10010512,Markup languages,10003310,Extensible Markup Language (XML),10002951
3037,10010512,Markup languages,10003310,Extensible Markup Language (XML),10010405
3309,10010512,Markup languages,10003310,Extensible Markup Language (XML),10011007
813,10003228,Enterprise information systems,10003230,Extranets,10002951
1593,10003228,Enterprise information systems,10003230,Extranets,10010405
1173,10003490,Management of computing and information systems,10003512,File systems management,10003456
3223,10010949,Operating systems,10003512,File systems management,10011007
194,10003006,Systems security,10011617,Firewalls,10002978
201,10003014,Network security,10011617,Firewalls,10002978
1030,10003014,Network security,10011617,Firewalls,10003033
2705,10010075,Kernel methods,10010296,Gaussian processes,10003752
2890,10010075,Kernel methods,10010296,Gaussian processes,10010147
2113,10011804,Non-parametric optimization,10011813,Genetic programming,10002950
2671,10011804,Non-parametric optimization,10011813,Genetic programming,10003752
2915,10011809,Bio-inspired approaches,10011813,Genetic programming,10010147
3351,10011782,Automatic programming,10011813,Genetic programming,10011007
1226,10003544,Commerce policy,10003589,Governmental regulations,10003456
1238,10003588,Government technology policy,10003589,Governmental regulations,10003456
1083,10003125,Interaction devices,10010391,Graphics input devices,10003120
1567,10010387,Graphics systems and interfaces,10010391,Graphics input devices,10010147
1725,10010537,Distributed architectures,10010541,Grid computing,10010520
3251,10011120,Distributed systems organizing principles,10010541,Grid computing,10011007
1089,10003125,Interaction devices,10011752,Haptic devices,10003120
1773,10010598,Tactile and hand-based interfaces,10011752,Haptic devices,10010583
188,10003001,Security in hardware,10011746,Hardware reverse engineering,10002978
1214,10003463,Intellectual property,10011746,Hardware reverse engineering,10003456
2320,10010512,Markup languages,10011143,Hypertext languages,10002951
3038,10010512,Markup languages,10011143,Hypertext languages,10010405
3310,10010512,Markup languages,10011143,Hypertext languages,10011007
906,10003347,Retrieval tasks and goals,10003352,Information extraction,10002951
1448,10010179,Natural language processing,10003352,Information extraction,10010147
2111,10011141,Mixed discrete-continuous optimization,10010045,Integer programming,10002950
2669,10011141,Mixed discrete-continuous optimization,10010045,Integer programming,10003752
729,10003732,Calculus,10003735,Integral calculus,10002950
736,10003732,Calculus,10003735,Integral calculus,10002950
1961,10011041,Compilers,10010943,Interpreters,10011007
3220,10010942,Software infrastructure,10010943,Interpreters,10011007
812,10003228,Enterprise information systems,10003229,Intranets,10002951
1592,10003228,Enterprise information systems,10003229,Intranets,10010405
2715,10010261,Reinforcement learning,10010273,Inverse reinforcement learning,10003752
2874,10010261,Reinforcement learning,10010273,Inverse reinforcement learning,10010147
1365,10010071,Machine learning theory,10010075,Kernel methods,10003752
1505,10010293,Machine learning approaches,10010075,Kernel methods,10010147
727,10003732,Calculus,10003733,Lambda calculus,10002950
734,10003732,Calculus,10003733,Lambda calculus,10002950
1257,10003754,Computability,10003733,Lambda calculus,10003752
898,10003338,Retrieval models and ranking,10003343,Learning to rank,10002951
2861,10010259,Supervised learning,10003343,Learning to rank,10010147
2102,10011138,Continuous optimization,10010041,Linear programming,10002950
2660,10011138,Continuous optimization,10010041,Linear programming,10003752
252,10003099,Network services,10003101,Location based services,10003033
825,10003236,Spatial-temporal systems,10003101,Location based services,10002951
174,10002986,Formal methods and theory of security,10002990,Logic and verification,10002978
350,10003790,Logic,10002990,Logic and verification,10003752
1340,10010170,Parallel algorithms,10003817,MapReduce algorithms,10003752
1345,10010172,Distributed algorithms,10003817,MapReduce algorithms,10003752
1442,10010170,Parallel algorithms,10003817,MapReduce algorithms,10010147
1579,10010172,Distributed algorithms,10003817,MapReduce algorithms,10010147
1377,10010071,Machine learning theory,10010316,Markov decision processes,10003752
1513,10010293,Machine learning approaches,10010316,Markov decision processes,10010147
876,10003309,Web data description languages,10010512,Markup languages,10002951
1701,10010510,Document preparation,10010512,Markup languages,10010405
1971,10011050,Context specific languages,10010512,Markup languages,10011007
1344,10010170,Parallel algorithms,10010174,Massively parallel algorithms,10003752
1446,10010170,Parallel algorithms,10010174,Massively parallel algorithms,10010147
117,10003714,Mathematical analysis,10003716,Mathematical optimization,10002950
369,10003809,Design and analysis of algorithms,10003716,Mathematical optimization,10003752
1076,10003124,Interaction paradigms,10010392,Mixed / augmented reality,10003120
1568,10010387,Graphics systems and interfaces,10010392,Mixed / augmented reality,10010147
721,10003716,Mathematical optimization,10011141,Mixed discrete-continuous optimization,10002950
1322,10003716,Mathematical optimization,10011141,Mixed discrete-continuous optimization,10003752
199,10003014,Network security,10003017,Mobile and wireless security,10002978
1028,10003014,Network security,10003017,Mobile and wireless security,10003033
1873,10010721,Functional verification,10003791,Model checking,10010583
3261,10010998,Formal methods,10003791,Model checking,10011007
1551,10010352,Animation,10010238,Motion capture,10010147
2843,10010226,Image and video acquisition,10010238,Motion capture,10010147
2717,10010261,Reinforcement learning,10010275,Multi-agent reinforcement learning,10003752
2876,10010261,Reinforcement learning,10010275,Multi-agent reinforcement learning,10010147
250,10003099,Network services,10003037,Naming and addressing,10003033
989,10003035,Network design principles,10003037,Naming and addressing,10003033
659,10003633,Graph theory,10003644,Network flows,10002950
1309,10003635,Graph algorithms analysis,10003644,Network flows,10003752
257,10003106,Network types,10003107,Network on chip,10003033
1811,10010645,Design reuse and communication-based design,10003107,Network on chip,10010583
2100,10011136,Discrete optimization,10011137,Network optimization,10002950
2658,10011136,Discrete optimization,10011137,Network optimization,10003752
19,10002978,Security and privacy,10003014,Network security,10002978
242,10003083,Network properties,10003014,Network security,10003033
1506,10010293,Machine learning approaches,10010294,Neural networks,10010147
1726,10010542,Other architectures,10010294,Neural networks,10010520
2108,10011138,Continuous optimization,10011140,Nonconvex optimization,10002950
2666,10011138,Continuous optimization,10011140,Nonconvex optimization,10003752
722,10003716,Mathematical optimization,10011804,Non-parametric optimization,10002950
1323,10003716,Mathematical optimization,10011804,Non-parametric optimization,10003752
1723,10010537,Distributed architectures,10010539,n-tier architectures,10010520
3230,10010972,Software architectures,10010539,n-tier architectures,10011007
434,10003550,Electronic commerce,10003596,Online auctions,10010405
2308,10003550,Electronic commerce,10003596,Online auctions,10002951
432,10003550,Electronic commerce,10003556,Online banking,10010405
2306,10003550,Electronic commerce,10003556,Online banking,10002951
431,10003550,Electronic commerce,10003555,Online shopping,10010405
2305,10003550,Electronic commerce,10003555,Online shopping,10002951
820,10003233,Collaborative and social computing systems and tools,10003597,Open source software,10002951
1124,10003233,Collaborative and social computing systems and tools,10003597,Open source software,10003120
2101,10011136,Discrete optimization,10011797,Optimization with randomized search heuristics,10002950
2659,10011136,Discrete optimization,10011797,Optimization with randomized search heuristics,10003752
374,10003809,Design and analysis of algorithms,10010170,Parallel algorithms,10003752
397,10010169,Parallel computing methodologies,10010170,Parallel algorithms,10010147
398,10010169,Parallel computing methodologies,10010175,Parallel programming languages,10010147
3271,10011009,Language types,10010175,Parallel programming languages,10011007
1724,10010537,Distributed architectures,10010540,Peer-to-peer architectures,10010520
3231,10010972,Software architectures,10010540,Peer-to-peer architectures,10011007
853,10003261,Web searching and information discovery,10003271,Personalization,10002951
890,10003331,Users and interactive retrieval,10003271,Personalization,10002951
952,10003000,Social engineering attacks,10011612,Phishing,10002978
2616,10003000,Social engineering attacks,10011612,Phishing,10003456
2107,10011138,Continuous optimization,10011139,Quadratic programming,10002950
2665,10011138,Continuous optimization,10011139,Quadratic programming,10003752
344,10003777,Computational complexity and cryptography,10003784,Quantum complexity theory,10003752
1261,10003758,Quantum computation theory,10003784,Quantum complexity theory,10003752
2105,10011138,Continuous optimization,10010044,Quasiconvex programming and unimodality,10002950
2663,10011138,Continuous optimization,10010044,Quasiconvex programming and unimodality,10003752
3388,10011797,Optimization with randomized search heuristics,10011801,Randomized local search,10002950
3536,10011797,Optimization with randomized search heuristics,10011801,Randomized local search,10003752
530,10010575,Dependable and fault-tolerant systems and networks,10010755,Redundancy,10010520
1902,10010751,Fault tolerance,10010755,Redundancy,10010583
1374,10010071,Machine learning theory,10010261,Reinforcement learning,10003752
1495,10010258,Learning paradigms,10010261,Reinforcement learning,10010147
90,10011123,Cross-computing tools and techniques,10010577,Reliability,10002944
525,10010575,Dependable and fault-tolerant systems and networks,10010577,Reliability,10010520
819,10003233,Collaborative and social computing systems and tools,10003449,Reputation systems,10002951
1123,10003233,Collaborative and social computing systems and tools,10003449,Reputation systems,10003120
2300,10003296,Crowdsourcing,10003449,Reputation systems,10002951
1472,10010199,Planning and scheduling,10010204,Robotic planning,10010147
1480,10010213,Control methods,10010204,Robotic planning,10010147
1313,10003636,Approximation algorithms analysis,10003808,Scheduling algorithms,10003752
2678,10010048,Online learning algorithms,10003808,Scheduling algorithms,10003752
1152,10003147,Visualization application domains,10010364,Scientific visualization,10003120
1543,10010349,Simulation types and techniques,10010364,Scientific visualization,10010147
433,10003550,Electronic commerce,10003557,Secure online transactions,10010405
2307,10003550,Electronic commerce,10003557,Secure online transactions,10002951
197,10003014,Network security,10003015,Security protocols,10002978
1026,10003014,Network security,10003015,Security protocols,10003033
1341,10010170,Parallel algorithms,10003824,Self-organization,10003752
1346,10010172,Distributed algorithms,10003824,Self-organization,10003752
1443,10010170,Parallel algorithms,10003824,Self-organization,10010147
1580,10010172,Distributed algorithms,10003824,Self-organization,10010147
2103,10011138,Continuous optimization,10010042,Semidefinite programming,10002950
2661,10011138,Continuous optimization,10010042,Semidefinite programming,10003752
516,10010553,Embedded and cyber-physical systems,10003238,Sensor networks,10010520
827,10003236,Spatial-temporal systems,10003238,Sensor networks,10002951
1057,10003112,Cyber-physical networks,10003238,Sensor networks,10003033
518,10010553,Embedded and cyber-physical systems,10010559,Sensors and actuators,10010520
535,10010588,"Communication hardware, interfaces and storage",10010559,Sensors and actuators,10010583
2714,10010261,Reinforcement learning,10010272,Sequential decision making,10003752
2873,10010261,Reinforcement learning,10010272,Sequential decision making,10010147
1342,10010170,Parallel algorithms,10010171,Shared memory algorithms,10003752
1444,10010170,Parallel algorithms,10010171,Shared memory algorithms,10010147
2070,10003677,Markov-chain Monte Carlo methods,10003680,Simulated annealing,10002950
3385,10011797,Optimization with randomized search heuristics,10011798,Simulated annealing,10002950
3533,10011797,Optimization with randomized search heuristics,10011798,Simulated annealing,10003752
183,10002997,Intrusion/anomaly detection and malware mitigation,10003000,Social engineering attacks,10002978
1234,10003574,Computer crime,10003000,Social engineering attacks,10003456
821,10003233,Collaborative and social computing systems and tools,10010519,Social networking sites,10002951
1125,10003233,Collaborative and social computing systems and tools,10010519,Social networking sites,10003120
864,10003282,Web applications,10003292,Social networks,10002951
1113,10003131,"Collaborative and social computing theory, concepts and paradigms",10003292,Social networks,10003120
1379,10010099,Algorithmic game theory and mechanism design,10003292,Social networks,10003752
852,10003261,Web searching and information discovery,10003270,Social recommendation,10002951
1112,10003131,"Collaborative and social computing theory, concepts and paradigms",10003270,Social recommendation,10003120
854,10003261,Web searching and information discovery,10003376,Social tagging,10002951
1114,10003131,"Collaborative and social computing theory, concepts and paradigms",10003376,Social tagging,10003120
822,10003233,Collaborative and social computing systems and tools,10010922,Social tagging systems,10002951
1126,10003233,Collaborative and social computing systems and tools,10010922,Social tagging systems,10003120
2004,10011092,Software development techniques,10010876,Software prototyping,10011007
2010,10011099,Software verification and validation,10010876,Software prototyping,10011007
210,10003022,Software and application security,10003465,Software reverse engineering,10002978
1205,10003463,Intellectual property,10003465,Software reverse engineering,10003456
2017,10011111,Software post-development issues,10003465,Software reverse engineering,10011007
543,10010588,"Communication hardware, interfaces and storage",10010597,Sound-based input / output,10010583
1085,10003125,Interaction devices,10010597,Sound-based input / output,10003120
951,10003000,Social engineering attacks,10011611,Spoofing attacks,10002978
2615,10003000,Social engineering attacks,10011611,Spoofing attacks,10003456
2106,10011138,Continuous optimization,10010046,Stochastic control and optimization,10002950
2664,10011138,Continuous optimization,10010046,Stochastic control and optimization,10003752
259,10003106,Network types,10003109,Storage area networks,10003033
2230,10003518,Storage network architectures,10003109,Storage area networks,10002951
2110,10011141,Mixed discrete-continuous optimization,10010040,Submodular optimization and polymatroids,10002950
2668,10011141,Mixed discrete-continuous optimization,10010040,Submodular optimization and polymatroids,10003752
2704,10010075,Kernel methods,10010295,Support vector machines,10003752
2889,10010075,Kernel methods,10010295,Support vector machines,10010147
823,10003233,Collaborative and social computing systems and tools,10011765,Synchronous editors,10002951
1127,10003233,Collaborative and social computing systems and tools,10011765,Synchronous editors,10003120
519,10010553,Embedded and cyber-physical systems,10010560,System on a chip,10010520
1812,10010645,Design reuse and communication-based design,10010560,System on a chip,10010583
3387,10011797,Optimization with randomized search heuristics,10011800,Tabu search,10002950
3535,10011797,Optimization with randomized search heuristics,10011800,Tabu search,10003752
1088,10003125,Interaction devices,10011666,Touch screens,10003120
1772,10010598,Tactile and hand-based interfaces,10011666,Touch screens,10010583
1526,10010342,Model development and analysis,10010345,Uncertainty quantification,10010147
1529,10010349,Simulation types and techniques,10010345,Uncertainty quantification,10010147
1343,10010170,Parallel algorithms,10010173,Vector / streaming algorithms,10003752
1445,10010170,Parallel algorithms,10010173,Vector / streaming algorithms,10010147
1079,10003124,Interaction paradigms,10010866,Virtual reality,10003120
1571,10010387,Graphics systems and interfaces,10010866,Virtual reality,10010147
1153,10003147,Visualization application domains,10010365,Visual analytics,10003120
1544,10010349,Simulation types and techniques,10010365,Visual analytics,10010147
198,10003014,Network security,10003016,Web protocol security,10002978
1027,10003014,Network security,10003016,Web protocol security,10003033
818,10003233,Collaborative and social computing systems and tools,10003301,Wikis,10002951
867,10003300,Web interfaces,10003301,Wikis,10002951
1122,10003233,Collaborative and social computing systems and tools,10003301,Wikis,10003120
2844,10010226,Image and video acquisition,10010239,3D imaging,10010147
3241,10010972,Software architectures,10011681,3-tier architectures,10011007
3283,10011024,Language features,10003202,Abstract data types,10011007
331,10003753,Models of computation,10010622,Abstract machines,10003752
1478,10010205,Search methodologies,10010211,Abstraction and micro-operators,10010147
1948,10010971,Software system structures,10011682,"Abstraction, modeling and modularity",10011007
2613,10003563,Network access restrictions,10003565,Acceptable use policy restrictions,10003456
3359,10011105,Process validation,10011109,Acceptance testing,10011007
176,10002991,Security services,10002993,Access control,10002978
3260,10010993,Correctness,10011683,Access protection,10011007
36,10003120,Human-centered computing,10011738,Accessibility,10003120
298,10011738,Accessibility,10011774,Accessibility design and evaluation methods,10003120
300,10011738,Accessibility,10011776,Accessibility systems and tools,10003120
299,10011738,Accessibility,10011775,Accessibility technologies,10003120
296,10011738,Accessibility,10011772,"Accessibility theory, concepts and paradigms",10003120
1181,10003527,Computing education,10003529,Accreditation,10003456
1414,10010131,Program semantics,10010136,Action semantics,10003752
1375,10010071,Machine learning theory,10010286,Active learning,10003752
1502,10010282,Learning settings,10011304,Active learning settings,10010147
2845,10010226,Image and video acquisition,10010256,Active vision,10010147
1101,10010860,Interaction design process and methods,10010877,Activity centered design,10003120
2833,10010225,Computer vision tasks,10010228,Activity recognition and understanding,10010147
266,10003106,Network types,10010582,Ad hoc networks,10003033
1256,10010930,Age,10010933,Adolescents,10003456
1188,10003527,Computing education,10003542,Adult education,10003456
923,10003365,Search engine architectures and scalability,10010850,Adversarial retrieval,10002951
1332,10010047,Online algorithms,10010051,Adversary models,10003752
450,10010432,Physical sciences and engineering,10010433,Aerospace,10010405
323,10010927,User characteristics,10010930,Age,10003456
2612,10003563,Network access restrictions,10003564,Age-based restrictions,10003456
1534,10010349,Simulation types and techniques,10010355,Agent / discrete models,10010147
3339,10011082,Software development methods,10011083,Agile software development,10011007
1908,10010762,Hardware reliability,10010763,Aging of circuits and systems,10010583
490,10010476,Computers in other domains,10010480,Agriculture,10010405
1425,10010149,Symbolic and algebraic algorithms,10010150,Algebraic algorithms,10010147
343,10003777,Computational complexity and cryptography,10003783,Algebraic complexity theory,10003752
1272,10003767,Formalisms,10003768,Algebraic language theory,10003752
1410,10010131,Program semantics,10010132,Algebraic semantics,10003752
738,10003742,Topology,10003744,Algebraic topology,10002950
376,10003809,Design and analysis of algorithms,10011254,Algorithm design techniques,10003752
1380,10010099,Algorithmic game theory and mechanism design,10010100,Algorithmic game theory,10003752
388,10010070,Theory and algorithms for application domains,10010099,Algorithmic game theory and mechanism design,10003752
1381,10010099,Algorithmic game theory and mechanism design,10010101,Algorithmic mechanism design,10003752
3654,10010950,Memory management,10010953,Allocation / deallocation strategies,10011007
1133,10003139,"Ubiquitous and mobile computing theory, concepts and paradigms",10010906,Ambient intelligence,10003120
1804,10010634,Analog and mixed-signal circuits,10010637,Analog and mixed-signal circuit optimization,10010583
1807,10010634,Analog and mixed-signal circuits,10011717,Analog and mixed-signal circuit synthesis,10010583
556,10010633,Very large scale integration design,10010634,Analog and mixed-signal circuits,10010583
1728,10010542,Other architectures,10010544,Analog computers,10010520
583,10010737,Hardware test,10010738,"Analog, mixed-signal and radio frequency test",10010583
596,10010786,Emerging technologies,10010787,Analysis and design of emerging devices and systems,10010583
417,10010371,Computer graphics,10010352,Animation,10010147
1702,10010510,Document preparation,10010513,Annotation,10010405
2867,10010260,Unsupervised learning,10010229,Anomaly detection,10010147
2297,10003296,Crowdsourcing,10003297,Answer ranking,10002951
469,10010455,"Law, social and behavioral sciences",10010456,Anthropology,10010405
1565,10010382,Image manipulation,10010386,Antialiasing,10010147
1225,10003544,Commerce policy,10003549,Antitrust and competition,10003456
1975,10011050,Context specific languages,10011051,API languages,10011007
2848,10010240,Computer vision representations,10010243,Appearance and texture representations,10010147
224,10003039,Network protocols,10003051,Application layer protocols,10003033
778,10003400,Middleware for databases,10003402,Application servers,10002951
1994,10011066,Development frameworks and environments,10011070,Application specific development environments,10011007
1809,10010640,Application-specific VLSI designs,10010642,Application specific instruction set processors,10010583
1808,10010640,Application-specific VLSI designs,10010641,Application specific integrated circuits,10010583
1810,10010640,Application-specific VLSI designs,10010643,Application specific processors,10010583
557,10010633,Very large scale integration design,10010640,Application-specific VLSI designs,10010583
2922,10010327,Dynamic programming for Markov decision processes,10010332,Approximate dynamic programming methods,10010147
730,10003736,Functional analysis,10003737,Approximation,10002950
664,10003633,Graph theory,10010918,Approximation algorithms,10002950
368,10003809,Design and analysis of algorithms,10003636,Approximation algorithms analysis,10003752
715,10003715,Numerical analysis,10003726,Arbitrary-precision arithmetic,10002950
451,10010432,Physical sciences and engineering,10010434,Archaeology,10010405
482,10010469,Arts and humanities,10010472,Architecture (buildings),10010405
1986,10011060,System description languages,10011062,Architecture description languages,10011007
67,10010520,Computer systems organization,10010521,Architectures,10010520
1789,10010615,Logic circuits,10010616,Arithmetic and datapath circuits,10010583
950,10002999,Intrusion detection systems,10011807,Artificial immune systems,10002978
50,10010147,Computing methodologies,10010178,Artificial intelligence,10010147
62,10010405,Applied computing,10010469,Arts and humanities,10010405
3280,10011009,Language types,10011020,Assembly languages,10011007
1880,10010721,Functional verification,10010914,Assertion checking,10010583
1421,10010138,Program reasoning,10010144,Assertions,10003752
1202,10003580,Computing profession,10003587,Assistive technologies,10003456
842,10003351,Data mining,10003443,Association rules,10002951
452,10010432,Physical sciences and engineering,10010435,Astronomy,10010405
1790,10010615,Logic circuits,10010617,Asynchronous circuits,10010583
1091,10003128,Interaction techniques,10010869,Auditory feedback,10003120
175,10002991,Security services,10002992,Authentication,10002978
180,10002991,Security services,10010839,Authorization,10002978
336,10003766,Formal languages and automata theory,10003773,Automata extensions,10003752
333,10003766,Formal languages and automata theory,10003770,Automata over infinite objects,10003752
353,10003790,Logic,10003794,Automated reasoning,10003752
3263,10010998,Formal methods,10011000,Automated static analysis,10011007
716,10003715,Numerical analysis,10003748,Automatic differentiation,10002950
2009,10011092,Software development techniques,10011782,Automatic programming,10011007
1190,10003567,Computing and business,10003569,Automation,10003456
