parent_name,child_name,group,type
Database administration,Data dictionaries,10002951_1,train
Data management systems,Information integration,10002951_1,train
Information integration,Deduplication,10002951_1,train
Information integration,"Extraction, transformation and loading",10002951_1,train
Information integration,Data exchange,10002951_1,train
Information integration,Data cleaning,10002951_1,train
Information integration,Wrappers (data mining),10002951_1,train
Information integration,Mediators and data integration,10002951_1,train
Information integration,Entity resolution,10002951_1,train
Information integration,Data warehouses,10002951_1,train
Information integration,Federated databases,10002951_1,train
Data management systems,Middleware for databases,10002951_1,train
Middleware for databases,Database web servers,10002951_1,train
Middleware for databases,Application servers,10002951_1,train
Middleware for databases,Object-relational mapping facilities,10002951_1,train
Middleware for databases,Data federation tools,10002951_1,train
Middleware for databases,Data replication tools,10002951_1,train
Middleware for databases,Distributed transaction monitors,10002951_1,train
Middleware for databases,Message queues,10002951_1,train
Middleware for databases,Service buses,10002951_1,train
Middleware for databases,Enterprise application integration tools,10002951_1,train
Middleware for databases,Middleware business process managers,10002951_1,train
Information storage systems,Information storage technologies,10002951_2,train
Information storage technologies,Magnetic disks,10002951_2,train
Information storage technologies,Magnetic tapes,10002951_2,train
Information storage technologies,Optical / magneto-optical disks,10002951_2,train
Information storage technologies,Storage class memory,10002951_2,train
Storage class memory,Flash memory,10002951_2,train
Storage class memory,Phase change memory,10002951_2,train
Information storage technologies,Disk arrays,10002951_2,train
Information storage technologies,Tape libraries,10002951_2,train
Information storage systems,Record storage systems,10002951_2,train
Record storage systems,Record storage alternatives,10002951_2,train
Record storage alternatives,Heap (data structure),10002951_2,train
Record storage alternatives,Hashed file organization,10002951_2,train
Record storage alternatives,Indexed file organization,10002951_2,train
Record storage alternatives,Linked lists,10002951_2,train
Record storage systems,Directory structures,10002951_2,train
Directory structures,B-trees,10002951_2,train
Directory structures,Vnodes,10002951_2,train
Directory structures,Inodes,10002951_2,train
Directory structures,Extent-based file structures,10002951_2,train
Record storage systems,Block / page strategies,10002951_2,train
Block / page strategies,Slotted pages,10002951_2,train
Block / page strategies,Intrapage space management,10002951_2,train
Block / page strategies,Interpage free-space management,10002951_2,train
Record storage systems,Record layout alternatives,10002951_2,train
Record layout alternatives,Fixed length attributes,10002951_2,train
Record layout alternatives,Variable length attributes,10002951_2,train
Record layout alternatives,Null values in records,10002951_2,train
Record storage systems,Relational storage,10002951_2,train
Relational storage,Horizontal partitioning,10002951_2,train
Relational storage,Vertical partitioning,10002951_2,train
Relational storage,Column based storage,10002951_2,train
Relational storage,Hybrid storage layouts,10002951_2,train
Relational storage,Compression strategies,10002951_2,train
Information storage systems,Storage replication,10002951_2,train
Storage replication,Mirroring,10002951_2,train
Storage replication,RAID,10002951_2,train
Storage replication,Point-in-time copies,10002951_2,train
Storage replication,Remote replication,10002951_2,train
Storage replication,Storage recovery strategies,10002951_2,train
Information storage systems,Storage architectures,10002951_2,train
Storage architectures,Cloud based storage,10002951_2,train
Storage architectures,Storage network architectures,10002951_2,train
Storage network architectures,Storage area networks,10002951_2,train
Storage network architectures,Direct attached storage,10002951_2,train
Storage network architectures,Network attached storage,10002951_2,train
Storage architectures,Distributed storage,10002951_2,train
Information storage systems,Storage management,10002951_2,train
Storage management,Hierarchical storage management,10002951_2,train
Storage management,Storage virtualization,10002951_2,train
Storage management,Information lifecycle management,10002951_2,train
Storage management,Version management,10002951_2,train
Storage management,Storage power management,10002951_2,train
Storage management,Thin provisioning,10002951_2,train
Information systems applications,Enterprise information systems,10002951_3,train
Information systems applications,Collaborative and social computing systems and tools,10002951_3,train
Information systems applications,Spatial-temporal systems,10002951_3,train
Spatial-temporal systems,Location based services,10002951_3,train
Spatial-temporal systems,Geographic information systems,10002951_3,train
Spatial-temporal systems,Sensor networks,10002951_3,train
Spatial-temporal systems,Data streaming,10002951_3,train
Spatial-temporal systems,Global positioning systems,10002951_3,train
Information systems applications,Decision support systems,10002951_3,train
Decision support systems,Data warehouses,10002951_3,train
Decision support systems,Expert systems,10002951_3,train
Decision support systems,Data analytics,10002951_3,train
Decision support systems,Online analytical processing,10002951_3,train
Information systems applications,Mobile information processing systems,10002951_3,train
Information systems applications,Process control systems,10002951_3,train
Information systems applications,Multimedia information systems,10002951_3,train
Multimedia information systems,Multimedia databases,10002951_3,train
Multimedia information systems,Multimedia streaming,10002951_3,train
Multimedia information systems,Multimedia content creation,10002951_3,train
Multimedia information systems,Massively multiplayer online games,10002951_3,train
Information systems applications,Data mining,10002951_3,train
Data mining,Data cleaning,10002951_3,train
Data mining,Collaborative filtering,10002951_3,train
Data mining,Association rules,10002951_3,train
Data mining,Clustering,10002951_3,train
Data mining,Nearest-neighbor search,10002951_3,train
Data mining,Data stream mining,10002951_3,train
Information systems applications,Digital libraries and archives,10002951_3,train
Information systems applications,Computational advertising,10002951_3,train
Information systems applications,Computing platforms,10002951_3,train
World Wide Web,Web searching and information discovery,10002951_4,train
Web searching and information discovery,Web search engines,10002951_4,train
Web search engines,Web crawling,10002951_4,train
Web search engines,Web indexing,10002951_4,train
Web search engines,Page and site ranking,10002951_4,train
Web search engines,Spam detection,10002951_4,train
Web searching and information discovery,Content ranking,10002951_4,train
Web searching and information discovery,Collaborative filtering,10002951_4,train
Web searching and information discovery,Social recommendation,10002951_4,train
Web searching and information discovery,Personalization,10002951_4,train
Web searching and information discovery,Social tagging,10002951_4,train
World Wide Web,Online advertising,10002951_4,train
Online advertising,Sponsored search advertising,10002951_4,train
Online advertising,Content match advertising,10002951_4,train
Online advertising,Display advertising,10002951_4,train
Online advertising,Social advertising,10002951_4,train
World Wide Web,Web mining,10002951_4,train
Web mining,Site wrapping,10002951_4,train
Web mining,Data extraction and integration,10002951_4,train
Data extraction and integration,Deep web,10002951_4,train
Data extraction and integration,Surfacing,10002951_4,train
Data extraction and integration,Search results deduplication,10002951_4,train
Web mining,Web log analysis,10002951_4,train
Web mining,Traffic analysis,10002951_4,train
World Wide Web,Web applications,10002951_4,train
Web applications,Internet communications tools,10002951_4,train
Internet communications tools,Email,10002951_4,train
Internet communications tools,Blogs,10002951_4,train
Internet communications tools,Texting,10002951_4,train
Internet communications tools,Chat,10002951_4,train
Internet communications tools,Web conferencing,10002951_4,train
Web applications,Social networks,10002951_4,train
Web applications,Crowdsourcing,10002951_4,train
Crowdsourcing,Answer ranking,10002951_4,train
Crowdsourcing,Trust,10002951_4,train
Crowdsourcing,Incentive schemes,10002951_4,train
Crowdsourcing,Reputation systems,10002951_4,train
Web applications,Electronic commerce,10002951_4,train
World Wide Web,Web interfaces,10002951_4,train
Web interfaces,Wikis,10002951_4,train
Web interfaces,Browsers,10002951_4,train
Web interfaces,Mashups,10002951_4,train
World Wide Web,Web services,10002951_4,train
Web services,Simple Object Access Protocol (SOAP),10002951_4,train
Web services,RESTful web services,10002951_4,train
Web services,Web Services Description Language (WSDL),10002951_4,train
Web services,Universal Description Discovery and Integration (UDDI),10002951_4,train
Web services,Service discovery and interfaces,10002951_4,train
World Wide Web,Web data description languages,10002951_4,train
Web data description languages,Semantic web description languages,10002951_4,train
Semantic web description languages,Resource Description Framework (RDF),10002951_4,train
Semantic web description languages,Web Ontology Language (OWL),10002951_4,train
Web data description languages,Markup languages,10002951_4,train
Information retrieval,Document representation,10002951_5,test
Document representation,Document structure,10002951_5,test
Document representation,Document topic models,10002951_5,test
Document representation,Content analysis and feature selection,10002951_5,test
Document representation,Data encoding and canonicalization,10002951_5,test
Document representation,Document collection models,10002951_5,test
Document representation,Ontologies,10002951_5,test
Document representation,Dictionaries,10002951_5,test
Document representation,Thesauri,10002951_5,test
Information retrieval,Information retrieval query processing,10002951_5,test
Information retrieval query processing,Query representation,10002951_5,test
Information retrieval query processing,Query intent,10002951_5,test
Information retrieval query processing,Query log analysis,10002951_5,test
Information retrieval query processing,Query suggestion,10002951_5,test
Information retrieval query processing,Query reformulation,10002951_5,test
Information retrieval,Users and interactive retrieval,10002951_5,test
Users and interactive retrieval,Personalization,10002951_5,test
Users and interactive retrieval,Task models,10002951_5,test
Users and interactive retrieval,Search interfaces,10002951_5,test
Users and interactive retrieval,Collaborative search,10002951_5,test
Information retrieval,Retrieval models and ranking,10002951_5,test
Retrieval models and ranking,Rank aggregation,10002951_5,test
Retrieval models and ranking,Probabilistic retrieval models,10002951_5,test
Retrieval models and ranking,Language models,10002951_5,test
Retrieval models and ranking,Similarity measures,10002951_5,test
Retrieval models and ranking,Learning to rank,10002951_5,test
Retrieval models and ranking,"Combination, fusion and federated search",10002951_5,test
Retrieval models and ranking,Information retrieval diversity,10002951_5,test
Retrieval models and ranking,Top-k retrieval in databases,10002951_5,test
Retrieval models and ranking,Novelty in information retrieval,10002951_5,test
Information retrieval,Retrieval tasks and goals,10002951_5,test
Retrieval tasks and goals,Question answering,10002951_5,test
Retrieval tasks and goals,Document filtering,10002951_5,test
Retrieval tasks and goals,Recommender systems,10002951_5,test
Retrieval tasks and goals,Information extraction,10002951_5,test
Retrieval tasks and goals,Sentiment analysis,10002951_5,test
Retrieval tasks and goals,Expert search,10002951_5,test
Retrieval tasks and goals,Near-duplicate and plagiarism detection,10002951_5,test
Retrieval tasks and goals,Clustering and classification,10002951_5,test
Retrieval tasks and goals,Summarization,10002951_5,test
Retrieval tasks and goals,Business intelligence,10002951_5,test
Information retrieval,Evaluation of retrieval results,10002951_5,test
Evaluation of retrieval results,Test collections,10002951_5,test
Evaluation of retrieval results,Relevance assessment,10002951_5,test
Evaluation of retrieval results,Retrieval effectiveness,10002951_5,test
Evaluation of retrieval results,Retrieval efficiency,10002951_5,test
Evaluation of retrieval results,Presentation of retrieval results,10002951_5,test
Information retrieval,Search engine architectures and scalability,10002951_5,test
Search engine architectures and scalability,Search engine indexing,10002951_5,test
Search engine architectures and scalability,Search index compression,10002951_5,test
Search engine architectures and scalability,Distributed retrieval,10002951_5,test
Search engine architectures and scalability,Peer-to-peer retrieval,10002951_5,test
Search engine architectures and scalability,Retrieval on mobile devices,10002951_5,test
Search engine architectures and scalability,Adversarial retrieval,10002951_5,test
Search engine architectures and scalability,Link and co-citation analysis,10002951_5,test
Search engine architectures and scalability,Searching with auxiliary databases,10002951_5,test
Information retrieval,Specialized information retrieval,10002951_5,test
Specialized information retrieval,Structure and multilingual text search,10002951_5,test
Structure and multilingual text search,Structured text search,10002951_5,test
Structure and multilingual text search,Mathematics retrieval,10002951_5,test
Structure and multilingual text search,Chemical and biochemical retrieval,10002951_5,test
Structure and multilingual text search,Multilingual and cross-lingual retrieval,10002951_5,test
Specialized information retrieval,Multimedia and multimodal retrieval,10002951_5,test
Multimedia and multimodal retrieval,Image search,10002951_5,test
Multimedia and multimodal retrieval,Video search,10002951_5,test
Multimedia and multimodal retrieval,Speech / audio search,10002951_5,test
Multimedia and multimodal retrieval,Music retrieval,10002951_5,test
Specialized information retrieval,Environment-specific retrieval,10002951_5,test
Environment-specific retrieval,Enterprise search,10002951_5,test
Environment-specific retrieval,Desktop search,10002951_5,test
Environment-specific retrieval,Web and social media search,10002951_5,test
Cryptography,Key management,10002978_1,train
Cryptography,Public key (asymmetric) techniques,10002978_1,train
Public key (asymmetric) techniques,Digital signatures,10002978_1,train
Public key (asymmetric) techniques,Public key encryption,10002978_1,train
Cryptography,Symmetric cryptography and hash functions,10002978_1,train
Symmetric cryptography and hash functions,Block and stream ciphers,10002978_1,train
Symmetric cryptography and hash functions,Hash functions and message authentication codes,10002978_1,train
Cryptography,Cryptanalysis and other attacks,10002978_1,train
Cryptography,Information-theoretic techniques,10002978_1,train
Cryptography,Mathematical foundations of cryptography,10002978_1,train
Formal methods and theory of security,Trust frameworks,10002978_2,train
Formal methods and theory of security,Security requirements,10002978_2,train
Formal methods and theory of security,Formal security models,10002978_2,train
Formal methods and theory of security,Logic and verification,10002978_2,train
Security services,Authentication,10002978_3,test
Authentication,Biometrics,10002978_3,test
Authentication,Graphical / visual passwords,10002978_3,test
Authentication,Multi-factor authentication,10002978_3,test
Security services,Access control,10002978_3,test
Security services,"Pseudonymity, anonymity and untraceability",10002978_3,test
Security services,Privacy-preserving protocols,10002978_3,test
Security services,Digital rights management,10002978_3,test
Security services,Authorization,10002978_3,test
Intrusion/anomaly detection and malware mitigation,Malware and its mitigation,10002978_4,train
Intrusion/anomaly detection and malware mitigation,Intrusion detection systems,10002978_4,train
Intrusion detection systems,Artificial immune systems,10002978_4,train
Intrusion/anomaly detection and malware mitigation,Social engineering attacks,10002978_4,train
Security in hardware,Tamper-proof and tamper-resistant designs,10002978_5,train
Security in hardware,Embedded systems security,10002978_5,train
Security in hardware,Hardware security implementation,10002978_5,train
Hardware security implementation,Hardware-based security protocols,10002978_5,train
Security in hardware,Hardware attacks and countermeasures,10002978_5,train
Hardware attacks and countermeasures,Malicious design modifications,10002978_5,train
Hardware attacks and countermeasures,Side-channel analysis and countermeasures,10002978_5,train
Security in hardware,Hardware reverse engineering,10002978_5,train
Systems security,Operating systems security,10002978_6,train
Operating systems security,Mobile platform security,10002978_6,train
Operating systems security,Trusted computing,10002978_6,train
Operating systems security,Virtualization and security,10002978_6,train
Systems security,Browser security,10002978_6,train
Systems security,Distributed systems security,10002978_6,train
Systems security,Information flow control,10002978_6,train
Systems security,Denial-of-service attacks,10002978_6,train
Systems security,Firewalls,10002978_6,train
Systems security,Vulnerability management,10002978_6,train
Vulnerability management,Penetration testing,10002978_6,train
Vulnerability management,Vulnerability scanners,10002978_6,train
Systems security,File system security,10002978_6,train
Database and storage security,Data anonymization and sanitization,10002978_8,train
Database and storage security,Management and querying of encrypted data,10002978_8,train
Database and storage security,Information accountability and usage control,10002978_8,train
Database and storage security,Database activity monitoring,10002978_8,train
Software and application security,Software security engineering,10002978_9,test
Software and application security,Web application security,10002978_9,test
Software and application security,Social network security and privacy,10002978_9,test
Software and application security,Domain-specific security and privacy architectures,10002978_9,test
Software and application security,Software reverse engineering,10002978_9,test
Human and societal aspects of security and privacy,Economics of security and privacy,10002978_10,train
Human and societal aspects of security and privacy,Social aspects of security and privacy,10002978_10,train
Human and societal aspects of security and privacy,Privacy protections,10002978_10,train
Human and societal aspects of security and privacy,Usability in security and privacy,10002978_10,train
Network architectures,Network design principles,10003033_1,train
Network design principles,Layering,10003033_1,train
Network design principles,Naming and addressing,10003033_1,train
Network architectures,Programming interfaces,10003033_1,train
Network protocols,Network protocol design,10003033_2,train
Network protocols,Protocol correctness,10003033_2,train
Protocol correctness,Protocol testing and verification,10003033_2,train
Protocol correctness,Formal specifications,10003033_2,train
Network protocols,Link-layer protocols,10003033_2,train
Network protocols,Network layer protocols,10003033_2,train
Network layer protocols,Routing protocols,10003033_2,train
Network layer protocols,Signaling protocols,10003033_2,train
Network protocols,Transport protocols,10003033_2,train
Network protocols,Session protocols,10003033_2,train
Network protocols,Presentation protocols,10003033_2,train
Network protocols,Application layer protocols,10003033_2,train
Application layer protocols,Peer-to-peer protocols,10003033_2,train
Network protocols,OAM protocols,10003033_2,train
OAM protocols,Time synchronization protocols,10003033_2,train
OAM protocols,Network policy,10003033_2,train
Network protocols,Cross-layer protocols,10003033_2,train
Network protocols,Network File System (NFS) protocol,10003033_2,train
Network components,Intermediate nodes,10003033_3,val
Intermediate nodes,Routers,10003033_3,val
Intermediate nodes,Bridges and switches,10003033_3,val
Network components,Physical links,10003033_3,val
Physical links,Repeaters,10003033_3,val
Network components,Middle boxes / network appliances,10003033_3,val
Network components,End nodes,10003033_3,val
End nodes,Network adapters,10003033_3,val
End nodes,Network servers,10003033_3,val
Network components,"Wireless access points, base stations and infrastructure",10003033_3,val
"Wireless access points, base stations and infrastructure",Cognitive radios,10003033_3,val
Network components,Logical nodes,10003033_3,val
Logical nodes,Network domains,10003033_3,val
Network algorithms,Data path algorithms,10003033_4,train
Data path algorithms,Packet classification,10003033_4,train
Data path algorithms,Deep packet inspection,10003033_4,train
Data path algorithms,Packet scheduling,10003033_4,train
Network algorithms,Control path algorithms,10003033_4,train
Control path algorithms,Network resources allocation,10003033_4,train
Control path algorithms,Network control algorithms,10003033_4,train
Control path algorithms,Traffic engineering algorithms,10003033_4,train
Control path algorithms,Network design and planning algorithms,10003033_4,train
Network algorithms,Network economics,10003033_4,train
Network performance evaluation,Network performance modeling,10003033_5,train
Network performance evaluation,Network simulations,10003033_5,train
Network performance evaluation,Network experimentation,10003033_5,train
Network performance evaluation,Network performance analysis,10003033_5,train
Network performance evaluation,Network measurement,10003033_5,train
Network properties,Network security,10003033_6,train
Network properties,Network range,10003033_6,train
Network range,Short-range networks,10003033_6,train
Network range,Local area networks,10003033_6,train
Network range,Metropolitan area networks,10003033_6,train
Network range,Wide area networks,10003033_6,train
Network range,Very long-range networks,10003033_6,train
Network properties,Network structure,10003033_6,train
Network structure,Topology analysis and generation,10003033_6,train
Network structure,Physical topologies,10003033_6,train
Network structure,Logical / virtual topologies,10003033_6,train
Network structure,Network topology types,10003033_6,train
Network topology types,Point-to-point networks,10003033_6,train
Network topology types,Bus networks,10003033_6,train
Network topology types,Star networks,10003033_6,train
Network topology types,Ring networks,10003033_6,train
Ring networks,Token ring networks,10003033_6,train
Ring networks,Fiber distributed data interface (FDDI),10003033_6,train
Network topology types,Mesh networks,10003033_6,train
Mesh networks,Wireless mesh networks,10003033_6,train
Network topology types,Hybrid networks,10003033_6,train
Network properties,Network dynamics,10003033_6,train
Network properties,Network reliability,10003033_6,train
Network reliability,Error detection and error correction,10003033_6,train
Network properties,Network mobility,10003033_6,train
Network properties,Network manageability,10003033_6,train
Network properties,Network privacy and anonymity,10003033_6,train
Network services,Naming and addressing,10003033_7,train
Network services,Cloud computing,10003033_7,train
Network services,Location based services,10003033_7,train
Network services,Programmable networks,10003033_7,train
Network services,In-network processing,10003033_7,train
Network services,Network management,10003033_7,train
Network services,Network monitoring,10003033_7,train
Network types,Network on chip,10003033_8,train
Network types,Home networks,10003033_8,train
Network types,Storage area networks,10003033_8,train
Network types,Data center networks,10003033_8,train
Network types,Wired access networks,10003033_8,train
Network types,Cyber-physical networks,10003033_8,train
Cyber-physical networks,Sensor networks,10003033_8,train
Network types,Mobile networks,10003033_8,train
Network types,Overlay and other logical network structures,10003033_8,train
Overlay and other logical network structures,Peer-to-peer networks,10003033_8,train
Overlay and other logical network structures,World Wide Web (network structure),10003033_8,train
Overlay and other logical network structures,Social media networks,10003033_8,train
Overlay and other logical network structures,Online social networks,10003033_8,train
Network types,Wireless access networks,10003033_8,train
Wireless access networks,Wireless local area networks,10003033_8,train
Wireless access networks,Wireless personal area networks,10003033_8,train
Network types,Ad hoc networks,10003033_8,train
Ad hoc networks,Mobile ad hoc networks,10003033_8,train
Network types,Public Internet,10003033_8,train
Network types,Packet-switching networks,10003033_8,train
Human computer interaction (HCI),HCI design and evaluation methods,10003120_1,train
HCI design and evaluation methods,User models,10003120_1,train
HCI design and evaluation methods,User studies,10003120_1,train
HCI design and evaluation methods,Usability testing,10003120_1,train
HCI design and evaluation methods,Heuristic evaluations,10003120_1,train
HCI design and evaluation methods,Walkthrough evaluations,10003120_1,train
HCI design and evaluation methods,Laboratory experiments,10003120_1,train
HCI design and evaluation methods,Field studies,10003120_1,train
Human computer interaction (HCI),Interaction paradigms,10003120_1,train
Interaction paradigms,Hypertext / hypermedia,10003120_1,train
Interaction paradigms,Mixed / augmented reality,10003120_1,train
Interaction paradigms,Command line interfaces,10003120_1,train
