,parent_x,child_x,group_x,compare,parent_y,child_y,group_y
59,social_welfare,Social_Security,650,social_welfareSocial_Security650,social_welfare,Social_Security,650.0
60,social_welfare,Medicare,650,social_welfareMedicare650,social_welfare,Medicare,650.0
61,social_welfare,survivors_insurance,650,social_welfaresurvivors_insurance650,social_welfare,survivors_insurance,650.0
62,social_welfare,national_insurance,650,social_welfarenational_insurance650,social_welfare,national_insurance,650.0
63,social_welfare,disability_insurance,650,social_welfaredisability_insurance650,social_welfare,disability_insurance,650.0
64,social_welfare,old-age_insurance,650,social_welfareold-age_insurance650,social_welfare,old-age_insurance,650.0
65,social_insurance,unemployment_compensation,650,social_insuranceunemployment_compensation650,social_insurance,unemployment_compensation,650.0
66,social_insurance,supplementary_benefit,650,social_insurancesupplementary_benefit650,,,
67,social_insurance,health_care,650,social_insurancehealth_care650,,,
68,social_insurance,primary_health_care,650,social_insuranceprimary_health_care650,,,
69,social_insurance,Medicaid,650,social_insuranceMedicaid650,,,
70,social_insurance,Social_Security,650,social_insuranceSocial_Security650,social_insurance,Social_Security,650.0
71,social_insurance,Medicare,650,social_insuranceMedicare650,social_insurance,Medicare,650.0
72,social_insurance,survivors_insurance,650,social_insurancesurvivors_insurance650,social_insurance,survivors_insurance,650.0
73,social_insurance,national_insurance,650,social_insurancenational_insurance650,social_insurance,national_insurance,650.0
74,social_insurance,disability_insurance,650,social_insurancedisability_insurance650,social_insurance,disability_insurance,650.0
75,social_insurance,old-age_insurance,650,social_insuranceold-age_insurance650,social_insurance,old-age_insurance,650.0
76,health_care,primary_health_care,650,health_careprimary_health_care650,health_care,primary_health_care,650.0
77,health_care,Medicaid,650,health_careMedicaid650,,,
78,health_care,Medicare,650,health_careMedicare650,,,
79,Social_Security,survivors_insurance,650,Social_Securitysurvivors_insurance650,,,
80,Social_Security,old-age_insurance,650,Social_Securityold-age_insurance650,,,
81,armor_plate,chanfron,651,armor_platechanfron651,,,
82,armor_plate,pallette,651,armor_platepallette651,,,
83,armor_plate,armet,651,armor_platearmet651,,,
84,armor_plate,solleret,651,armor_platesolleret651,,,
85,armor_plate,pickelhaube,651,armor_platepickelhaube651,,,
86,armor_plate,skirt_of_tasses,651,armor_plateskirt_of_tasses651,,,
87,armor_plate,plastron,651,armor_plateplastron651,,,
88,armor_plate,fauld,651,armor_platefauld651,,,
89,armor_plate,vambrace,651,armor_platevambrace651,,,
90,armor_plate,rerebrace,651,armor_platererebrace651,,,
91,armor_plate,greave,651,armor_plategreave651,,,
92,armor_plate,gorget,651,armor_plategorget651,,,
93,armor_plate,basinet,651,armor_platebasinet651,,,
94,armor_plate,morion,651,armor_platemorion651,,,
95,armor_plate,backplate,651,armor_platebackplate651,,,
96,armor_plate,cuisse,651,armor_platecuisse651,,,
97,armor_plate,sallet,651,armor_platesallet651,,,
98,armor_plate,epauliere,651,armor_plateepauliere651,,,
99,armor_plate,knee_piece,651,armor_plateknee_piece651,,,
100,armor_plate,brassard,651,armor_platebrassard651,,,
101,armor_plate,cannon,651,armor_platecannon651,,,
102,armor_plate,nosepiece,651,armor_platenosepiece651,,,
103,armor_plate,heaume,651,armor_plateheaume651,,,
104,armor_plate,helmet,651,armor_platehelmet651,,,
105,armor_plate,tasset,651,armor_platetasset651,,,
106,armor_plate,breastplate,651,armor_platebreastplate651,,,
107,armor_plate,beaver,651,armor_platebeaver651,,,
108,armor_plate,casquet,651,armor_platecasquet651,,,
109,armor_plate,visor,651,armor_platevisor651,,,
110,armor_plate,casque,651,armor_platecasque651,,,
111,armor_plate,cubitiere,651,armor_platecubitiere651,,,
112,armor_plate,roundel,651,armor_plateroundel651,,,
113,armor_plate,tuille,651,armor_platetuille651,,,
114,helmet,armet,651,helmetarmet651,helmet,armet,651.0
115,helmet,pickelhaube,651,helmetpickelhaube651,helmet,pickelhaube,651.0
116,helmet,basinet,651,helmetbasinet651,helmet,basinet,651.0
117,helmet,morion,651,helmetmorion651,helmet,morion,651.0
118,helmet,sallet,651,helmetsallet651,helmet,sallet,651.0
119,helmet,heaume,651,helmetheaume651,helmet,heaume,651.0
120,helmet,casquet,651,helmetcasquet651,helmet,casquet,651.0
121,helmet,casque,651,helmetcasque651,helmet,casque,651.0
122,breastplate,plastron,651,breastplateplastron651,,,
123,cannon,vambrace,651,cannonvambrace651,,,
124,cannon,rerebrace,651,cannonrerebrace651,,,
125,casque,casquet,651,casquecasquet651,casque,casquet,651.0
126,discomycete,Galiella_rufa,652,discomyceteGaliella_rufa652,,,
127,discomycete,Peziza_domicilina,652,discomycetePeziza_domicilina652,,,
128,discomycete,Leotia_lubrica,652,discomyceteLeotia_lubrica652,,,
129,discomycete,Urnula_craterium,652,discomyceteUrnula_craterium652,,,
130,discomycete,Jafnea_semitosta,652,discomyceteJafnea_semitosta652,,,
131,discomycete,Sarcoscypha_coccinea,652,discomyceteSarcoscypha_coccinea652,,,
132,discomycete,blood_cup,652,discomyceteblood_cup652,,,
133,discomycete,Mitrula_elegans,652,discomyceteMitrula_elegans652,,,
134,discomycete,Aleuria_aurantia,652,discomyceteAleuria_aurantia652,,,
135,discomycete,Caloscypha_fulgens,652,discomyceteCaloscypha_fulgens652,,,
136,ascomycete,Galiella_rufa,652,ascomyceteGaliella_rufa652,ascomycete,Galiella_rufa,652.0
137,ascomycete,soldier_grainy_club,652,ascomycetesoldier_grainy_club652,ascomycete,soldier_grainy_club,652.0
138,ascomycete,devil's_cigar,652,ascomycetedevil's_cigar652,ascomycete,devil's_cigar,652.0
139,ascomycete,Sarcosomataceae,652,ascomyceteSarcosomataceae652,ascomycete,Sarcosomataceae,652.0
140,ascomycete,Peziza_domicilina,652,ascomycetePeziza_domicilina652,ascomycete,Peziza_domicilina,652.0
141,ascomycete,winter_urn,652,ascomycetewinter_urn652,ascomycete,winter_urn,652.0
142,ascomycete,charred_pancake_cup,652,ascomycetecharred_pancake_cup652,ascomycete,charred_pancake_cup,652.0
143,ascomycete,Leotia_lubrica,652,ascomyceteLeotia_lubrica652,ascomycete,Leotia_lubrica,652.0
144,ascomycete,Urnula_craterium,652,ascomyceteUrnula_craterium652,ascomycete,Urnula_craterium,652.0
145,ascomycete,Rufous_rubber_cup,652,ascomyceteRufous_rubber_cup652,ascomycete,Rufous_rubber_cup,652.0
146,ascomycete,black_felt_cup,652,ascomyceteblack_felt_cup652,ascomycete,black_felt_cup,652.0
147,ascomycete,Jafnea_semitosta,652,ascomyceteJafnea_semitosta652,ascomycete,Jafnea_semitosta,652.0
148,ascomycete,Sarcoscypha_coccinea,652,ascomyceteSarcoscypha_coccinea652,ascomycete,Sarcoscypha_coccinea,652.0
149,ascomycete,blood_cup,652,ascomyceteblood_cup652,ascomycete,blood_cup,652.0
150,ascomycete,Mitrula_elegans,652,ascomyceteMitrula_elegans652,ascomycete,Mitrula_elegans,652.0
151,ascomycete,discomycete,652,ascomycetediscomycete652,ascomycete,discomycete,652.0
152,ascomycete,Geglossaceae,652,ascomyceteGeglossaceae652,ascomycete,Geglossaceae,652.0
153,ascomycete,Clavicipitaceae,652,ascomyceteClavicipitaceae652,ascomycete,Clavicipitaceae,652.0
154,ascomycete,Aleuria_aurantia,652,ascomyceteAleuria_aurantia652,ascomycete,Aleuria_aurantia,652.0
155,ascomycete,grainy_club,652,ascomycetegrainy_club652,ascomycete,grainy_club,652.0
156,ascomycete,devil's_urn,652,ascomycetedevil's_urn652,ascomycete,devil's_urn,652.0
157,ascomycete,Caloscypha_fulgens,652,ascomyceteCaloscypha_fulgens652,ascomycete,Caloscypha_fulgens,652.0
158,Clavicipitaceae,soldier_grainy_club,652,Clavicipitaceaesoldier_grainy_club652,,,
159,Clavicipitaceae,grainy_club,652,Clavicipitaceaegrainy_club652,,,
160,grainy_club,soldier_grainy_club,652,grainy_clubsoldier_grainy_club652,grainy_club,soldier_grainy_club,652.0
161,Sarcosomataceae,devil's_cigar,652,Sarcosomataceaedevil's_cigar652,,,
162,Sarcosomataceae,winter_urn,652,Sarcosomataceaewinter_urn652,,,
163,Sarcosomataceae,charred_pancake_cup,652,Sarcosomataceaecharred_pancake_cup652,,,
164,Sarcosomataceae,Rufous_rubber_cup,652,SarcosomataceaeRufous_rubber_cup652,,,
165,Sarcosomataceae,black_felt_cup,652,Sarcosomataceaeblack_felt_cup652,,,
166,Sarcosomataceae,devil's_urn,652,Sarcosomataceaedevil's_urn652,,,
167,lecture,talk,653,lecturetalk653,,,
168,lecture,chalk_talk,653,lecturechalk_talk653,,,
169,talk,chalk_talk,653,talkchalk_talk653,talk,chalk_talk,653.0
170,teaching,talk,653,teachingtalk653,teaching,talk,653.0
171,teaching,schooling,653,teachingschooling653,teaching,schooling,653.0
172,teaching,Hebrew_lesson,653,teachingHebrew_lesson653,teaching,Hebrew_lesson,653.0
173,teaching,whole-word_method,653,teachingwhole-word_method653,teaching,whole-word_method,653.0
174,teaching,piano_lesson,653,teachingpiano_lesson653,teaching,piano_lesson,653.0
175,teaching,catechesis,653,teachingcatechesis653,teaching,catechesis,653.0
176,teaching,lesson,653,teachinglesson653,teaching,lesson,653.0
177,teaching,violin_lesson,653,teachingviolin_lesson653,teaching,violin_lesson,653.0
178,teaching,inculcation,653,teachinginculcation653,teaching,inculcation,653.0
179,teaching,music_lesson,653,teachingmusic_lesson653,teaching,music_lesson,653.0
180,teaching,dance_lesson,653,teachingdance_lesson653,teaching,dance_lesson,653.0
181,teaching,chalk_talk,653,teachingchalk_talk653,teaching,chalk_talk,653.0
182,teaching,lecture,653,teachinglecture653,teaching,lecture,653.0
183,teaching,language_teaching,653,teachinglanguage_teaching653,teaching,language_teaching,653.0
184,teaching,catechetical_instruction,653,teachingcatechetical_instruction653,teaching,catechetical_instruction,653.0
185,teaching,indoctrination,653,teachingindoctrination653,teaching,indoctrination,653.0
186,teaching,brainwashing,653,teachingbrainwashing653,teaching,brainwashing,653.0
187,teaching,tennis_lesson,653,teachingtennis_lesson653,teaching,tennis_lesson,653.0
188,teaching,teaching_reading,653,teachingteaching_reading653,teaching,teaching_reading,653.0
189,teaching,language_lesson,653,teachinglanguage_lesson653,teaching,language_lesson,653.0
190,teaching,German_lesson,653,teachingGerman_lesson653,teaching,German_lesson,653.0
191,teaching,spoonfeeding,653,teachingspoonfeeding653,teaching,spoonfeeding,653.0
192,teaching,sleep-learning,653,teachingsleep-learning653,teaching,sleep-learning,653.0
193,teaching,phonics,653,teachingphonics653,teaching,phonics,653.0
194,teaching,French_lesson,653,teachingFrench_lesson653,teaching,French_lesson,653.0
195,teaching,tutelage,653,teachingtutelage653,teaching,tutelage,653.0
196,teaching,golf_lesson,653,teachinggolf_lesson653,teaching,golf_lesson,653.0
197,language_lesson,Hebrew_lesson,653,language_lessonHebrew_lesson653,,,
198,language_lesson,German_lesson,653,language_lessonGerman_lesson653,,,
199,language_lesson,French_lesson,653,language_lessonFrench_lesson653,,,
200,lesson,Hebrew_lesson,653,lessonHebrew_lesson653,lesson,Hebrew_lesson,653.0
201,lesson,piano_lesson,653,lessonpiano_lesson653,lesson,piano_lesson,653.0
202,lesson,violin_lesson,653,lessonviolin_lesson653,lesson,violin_lesson,653.0
203,lesson,music_lesson,653,lessonmusic_lesson653,lesson,music_lesson,653.0
204,lesson,dance_lesson,653,lessondance_lesson653,lesson,dance_lesson,653.0
205,lesson,tennis_lesson,653,lessontennis_lesson653,lesson,tennis_lesson,653.0
206,lesson,language_lesson,653,lessonlanguage_lesson653,lesson,language_lesson,653.0
207,lesson,German_lesson,653,lessonGerman_lesson653,lesson,German_lesson,653.0
208,lesson,French_lesson,653,lessonFrench_lesson653,lesson,French_lesson,653.0
209,lesson,golf_lesson,653,lessongolf_lesson653,lesson,golf_lesson,653.0
210,teaching_reading,whole-word_method,653,teaching_readingwhole-word_method653,,,
211,teaching_reading,phonics,653,teaching_readingphonics653,,,
212,music_lesson,piano_lesson,653,music_lessonpiano_lesson653,,,
213,music_lesson,violin_lesson,653,music_lessonviolin_lesson653,,,
214,indoctrination,inculcation,653,indoctrinationinculcation653,,,
215,indoctrination,brainwashing,653,indoctrinationbrainwashing653,,,
216,therapist,osteopath,654,therapistosteopath654,therapist,osteopath,654.0
217,therapist,curandero,654,therapistcurandero654,therapist,curandero,654.0
218,therapist,chiropractor,654,therapistchiropractor654,therapist,chiropractor,654.0
219,therapist,curandera,654,therapistcurandera654,therapist,curandera,654.0
220,therapist,speech_therapist,654,therapistspeech_therapist654,therapist,speech_therapist,654.0
221,therapist,naturopath,654,therapistnaturopath654,therapist,naturopath,654.0
222,therapist,physical_therapist,654,therapistphysical_therapist654,therapist,physical_therapist,654.0
223,therapist,massager,654,therapistmassager654,therapist,massager,654.0
224,therapist,masseur,654,therapistmasseur654,therapist,masseur,654.0
225,therapist,masseuse,654,therapistmasseuse654,therapist,masseuse,654.0
226,therapist,alleviator,654,therapistalleviator654,therapist,alleviator,654.0
227,therapist,electrotherapist,654,therapistelectrotherapist654,therapist,electrotherapist,654.0
228,therapist,naprapath,654,therapistnaprapath654,therapist,naprapath,654.0
229,therapist,sangoma,654,therapistsangoma654,therapist,sangoma,654.0
230,therapist,psychotherapist,654,therapistpsychotherapist654,therapist,psychotherapist,654.0
231,therapist,herbalist,654,therapistherbalist654,therapist,herbalist,654.0
232,therapist,Coue,654,therapistCoue654,therapist,Coue,654.0
233,physical_therapist,massager,654,physical_therapistmassager654,,,
234,physical_therapist,masseur,654,physical_therapistmasseur654,,,
235,physical_therapist,masseuse,654,physical_therapistmasseuse654,,,
236,massager,masseur,654,massagermasseur654,,,
237,massager,masseuse,654,massagermasseuse654,,,
238,psychotherapist,Coue,654,psychotherapistCoue654,,,
239,heraldry,quartering,655,heraldryquartering655,,,
240,heraldry,bend,655,heraldrybend655,,,
241,heraldry,fleur-de-lis,655,heraldryfleur-de-lis655,heraldry,fleur-de-lis,655.0
242,heraldry,bar_sinister,655,heraldrybar_sinister655,,,
243,heraldry,fesse,655,heraldryfesse655,,,
244,heraldry,charge,655,heraldrycharge655,,,
245,heraldry,ordinary,655,heraldryordinary655,,,
246,heraldry,annulet,655,heraldryannulet655,,,
247,heraldry,coat_of_arms,655,heraldrycoat_of_arms655,heraldry,coat_of_arms,655.0
248,heraldry,chevron,655,heraldrychevron655,,,
249,coat_of_arms,quartering,655,coat_of_armsquartering655,,,
250,charge,bend,655,chargebend655,charge,bend,655.0
251,charge,fleur-de-lis,655,chargefleur-de-lis655,charge,fleur-de-lis,655.0
252,charge,bar_sinister,655,chargebar_sinister655,charge,bar_sinister,655.0
253,charge,fesse,655,chargefesse655,charge,fesse,655.0
254,charge,ordinary,655,chargeordinary655,charge,ordinary,655.0
255,charge,annulet,655,chargeannulet655,charge,annulet,655.0
256,charge,chevron,655,chargechevron655,charge,chevron,655.0
257,ordinary,bend,655,ordinarybend655,,,
258,ordinary,bar_sinister,655,ordinarybar_sinister655,,,
259,ordinary,fesse,655,ordinaryfesse655,,,
260,church,Uniat_Church,656,churchUniat_Church656,church,Uniat_Church,656.0
261,church,Pentecostal_religion,656,churchPentecostal_religion656,church,Pentecostal_religion,656.0
262,church,Armenian_Church,656,churchArmenian_Church656,church,Armenian_Church,656.0
263,church,Old_Catholic_Church,656,churchOld_Catholic_Church656,church,Old_Catholic_Church,656.0
264,church,Coptic_Church,656,churchCoptic_Church656,church,Coptic_Church,656.0
265,church,Protestant_Church,656,churchProtestant_Church656,church,Protestant_Church,656.0
266,church,Catholic_Church,656,churchCatholic_Church656,church,Catholic_Church,656.0
267,church,Nestorian_Church,656,churchNestorian_Church656,church,Nestorian_Church,656.0
268,church,Russian_Orthodox_Church,656,churchRussian_Orthodox_Church656,church,Russian_Orthodox_Church,656.0
269,church,Eastern_Church,656,churchEastern_Church656,church,Eastern_Church,656.0
270,church,Orthodox_Church,656,churchOrthodox_Church656,church,Orthodox_Church,656.0
271,church,Greek_Orthodox_Church,656,churchGreek_Orthodox_Church656,church,Greek_Orthodox_Church,656.0
272,church,Unification_Church,656,churchUnification_Church656,church,Unification_Church,656.0
273,church,Roman_Catholic,656,churchRoman_Catholic656,church,Roman_Catholic,656.0
274,Catholic_Church,Uniat_Church,656,Catholic_ChurchUniat_Church656,,,
275,Catholic_Church,Old_Catholic_Church,656,Catholic_ChurchOld_Catholic_Church656,,,
276,Catholic_Church,Russian_Orthodox_Church,656,Catholic_ChurchRussian_Orthodox_Church656,,,
277,Catholic_Church,Eastern_Church,656,Catholic_ChurchEastern_Church656,,,
278,Catholic_Church,Orthodox_Church,656,Catholic_ChurchOrthodox_Church656,,,
279,Catholic_Church,Greek_Orthodox_Church,656,Catholic_ChurchGreek_Orthodox_Church656,,,
280,Catholic_Church,Roman_Catholic,656,Catholic_ChurchRoman_Catholic656,,,
281,Protestant_Church,Pentecostal_religion,656,Protestant_ChurchPentecostal_religion656,,,
282,Orthodox_Church,Russian_Orthodox_Church,656,Orthodox_ChurchRussian_Orthodox_Church656,,,
283,Orthodox_Church,Greek_Orthodox_Church,656,Orthodox_ChurchGreek_Orthodox_Church656,,,
284,table_knife,steak_knife,657,table_knifesteak_knife657,,,
285,table_knife,fish_knife,657,table_knifefish_knife657,,,
286,table_knife,case_knife,657,table_knifecase_knife657,,,
287,table_knife,butter_knife,657,table_knifebutter_knife657,,,
288,cutlery,steak_knife,657,cutlerysteak_knife657,cutlery,steak_knife,657.0
289,cutlery,salad_fork,657,cutlerysalad_fork657,,,
290,cutlery,wooden_spoon,657,cutlerywooden_spoon657,cutlery,wooden_spoon,657.0
291,cutlery,tablefork,657,cutlerytablefork657,,,
292,cutlery,carving_fork,657,cutlerycarving_fork657,,,
293,cutlery,fish_knife,657,cutleryfish_knife657,cutlery,fish_knife,657.0
294,cutlery,spoon,657,cutleryspoon657,cutlery,spoon,657.0
295,cutlery,case_knife,657,cutlerycase_knife657,cutlery,case_knife,657.0
296,cutlery,fork,657,cutleryfork657,,,
297,cutlery,sugar_spoon,657,cutlerysugar_spoon657,cutlery,sugar_spoon,657.0
298,cutlery,butter_knife,657,cutlerybutter_knife657,cutlery,butter_knife,657.0
299,cutlery,table_knife,657,cutlerytable_knife657,cutlery,table_knife,657.0
300,cutlery,soupspoon,657,cutlerysoupspoon657,cutlery,soupspoon,657.0
301,cutlery,runcible_spoon,657,cutleryruncible_spoon657,cutlery,runcible_spoon,657.0
302,cutlery,tea_maker,657,cutlerytea_maker657,,,
303,cutlery,iced-tea_spoon,657,cutleryiced-tea_spoon657,cutlery,iced-tea_spoon,657.0
304,cutlery,dessert_spoon,657,cutlerydessert_spoon657,cutlery,dessert_spoon,657.0
305,cutlery,tablespoon,657,cutlerytablespoon657,cutlery,tablespoon,657.0
306,cutlery,teaspoon,657,cutleryteaspoon657,cutlery,teaspoon,657.0
307,cutlery,Spork,657,cutlerySpork657,,,
308,cutlery,toasting_fork,657,cutlerytoasting_fork657,,,
309,fork,salad_fork,657,forksalad_fork657,fork,salad_fork,657.0
310,fork,tablefork,657,forktablefork657,fork,tablefork,657.0
311,fork,carving_fork,657,forkcarving_fork657,fork,carving_fork,657.0
312,fork,toasting_fork,657,forktoasting_fork657,fork,toasting_fork,657.0
313,spoon,wooden_spoon,657,spoonwooden_spoon657,spoon,wooden_spoon,657.0
314,spoon,sugar_spoon,657,spoonsugar_spoon657,spoon,sugar_spoon,657.0
315,spoon,soupspoon,657,spoonsoupspoon657,spoon,soupspoon,657.0
316,spoon,runcible_spoon,657,spoonruncible_spoon657,spoon,runcible_spoon,657.0
317,spoon,tea_maker,657,spoontea_maker657,,,
318,spoon,iced-tea_spoon,657,spooniced-tea_spoon657,spoon,iced-tea_spoon,657.0
319,spoon,dessert_spoon,657,spoondessert_spoon657,spoon,dessert_spoon,657.0
320,spoon,tablespoon,657,spoontablespoon657,,,
321,spoon,teaspoon,657,spoonteaspoon657,,,
322,teaspoon,iced-tea_spoon,657,teaspooniced-tea_spoon657,,,
323,tune,bass,658,tunebass658,,,
324,tune,flourish,658,tuneflourish658,,,
325,tune,roulade,658,tuneroulade658,,,
326,tune,partita,658,tunepartita658,,,
327,tune,primo,658,tuneprimo658,,,
328,tune,accompaniment,658,tuneaccompaniment658,,,
329,tune,theme_song,658,tunetheme_song658,,,
330,tune,augmentation,658,tuneaugmentation658,,,
331,tune,part,658,tunepart658,,,
332,tune,inversion,658,tuneinversion658,,,
333,tune,diminution,658,tunediminution658,,,
334,tune,voice_part,658,tunevoice_part658,,,
335,tune,vamp,658,tunevamp658,,,
336,tune,secondo,658,tunesecondo658,,,
337,tune,obbligato,658,tuneobbligato658,,,
338,tune,descant,658,tunedescant658,,,
339,tune,motif,658,tunemotif658,,,
340,tune,signature,658,tunesignature658,,,
341,tune,swoop,658,tuneswoop658,,,
342,tune,canto,658,tunecanto658,,,
343,tune,variation,658,tunevariation658,,,
344,tune,figured_bass,658,tunefigured_bass658,,,
345,tune,theme,658,tunetheme658,,,
346,tune,leitmotiv,658,tuneleitmotiv658,,,
347,tune,ground_bass,658,tuneground_bass658,,,
348,tune,statement,658,tunestatement658,,,
349,tune,glissando,658,tuneglissando658,,,
350,bass,figured_bass,658,bassfigured_bass658,bass,figured_bass,658.0
351,bass,ground_bass,658,bassground_bass658,bass,ground_bass,658.0
352,part,bass,658,partbass658,,,
353,part,primo,658,partprimo658,,,
354,part,accompaniment,658,partaccompaniment658,,,
355,part,voice_part,658,partvoice_part658,part,voice_part,658.0
356,part,vamp,658,partvamp658,,,
357,part,secondo,658,partsecondo658,,,
358,part,descant,658,partdescant658,,,
359,part,canto,658,partcanto658,,,
360,part,figured_bass,658,partfigured_bass658,,,
361,part,ground_bass,658,partground_bass658,,,
362,theme,partita,658,themepartita658,,,
363,theme,augmentation,658,themeaugmentation658,,,
364,theme,inversion,658,themeinversion658,,,
365,theme,diminution,658,themediminution658,,,
366,theme,obbligato,658,themeobbligato658,,,
367,theme,motif,658,thememotif658,,,
368,theme,variation,658,themevariation658,,,
369,theme,statement,658,themestatement658,,,
370,variation,partita,658,variationpartita658,,,
371,variation,inversion,658,variationinversion658,variation,inversion,658.0
372,accompaniment,vamp,658,accompanimentvamp658,,,
373,accompaniment,descant,658,accompanimentdescant658,,,
374,statement,augmentation,658,statementaugmentation658,statement,augmentation,658.0
375,statement,diminution,658,statementdiminution658,statement,diminution,658.0
376,voice_part,canto,658,voice_partcanto658,,,
377,motif,obbligato,658,motifobbligato658,,,
378,glissando,swoop,658,glissandoswoop658,,,
379,organ_pipe,diapason,659,organ_pipediapason659,,,
380,organ_pipe,reed_stop,659,organ_pipereed_stop659,organ_pipe,reed_stop,659.0
381,organ_pipe,organ_stop,659,organ_pipeorgan_stop659,,,
382,organ_pipe,flue_stop,659,organ_pipeflue_stop659,organ_pipe,flue_stop,659.0
383,organ_pipe,vox_humana,659,organ_pipevox_humana659,,,
384,organ_pipe,flue_pipe,659,organ_pipeflue_pipe659,organ_pipe,flue_pipe,659.0
385,organ_pipe,dulciana,659,organ_pipedulciana659,organ_pipe,dulciana,659.0
386,organ_pipe,sourdine,659,organ_pipesourdine659,organ_pipe,sourdine,659.0
387,organ_pipe,reed_pipe,659,organ_pipereed_pipe659,organ_pipe,reed_pipe,659.0
388,organ_pipe,vox_angelica,659,organ_pipevox_angelica659,organ_pipe,vox_angelica,659.0
389,organ_stop,diapason,659,organ_stopdiapason659,organ_stop,diapason,659.0
390,organ_stop,reed_stop,659,organ_stopreed_stop659,organ_stop,reed_stop,659.0
391,organ_stop,flue_stop,659,organ_stopflue_stop659,organ_stop,flue_stop,659.0
392,organ_stop,vox_humana,659,organ_stopvox_humana659,organ_stop,vox_humana,659.0
393,organ_stop,dulciana,659,organ_stopdulciana659,organ_stop,dulciana,659.0
394,organ_stop,sourdine,659,organ_stopsourdine659,organ_stop,sourdine,659.0
395,organ_stop,vox_angelica,659,organ_stopvox_angelica659,organ_stop,vox_angelica,659.0
396,reed_stop,vox_humana,659,reed_stopvox_humana659,,,
397,shock,cardiogenic_shock,660,shockcardiogenic_shock660,shock,cardiogenic_shock,660.0
