,parent,child,weight,group,compare
74,disturbance,storm_center,0.7353838086128235,650,disturbancestorm_center650
75,disturbance,tumult,0.6904696226119995,650,disturbancetumult650
76,instability,combustion,0.5373560786247253,650,instabilitycombustion650
77,violence,rage,0.8726248145103455,650,violencerage650
78,happiness,comfort,0.6506177186965942,651,happinesscomfort651
79,emotional_state,ecstasy,0.8352092504501343,651,emotional_stateecstasy651
80,emotional_state,embarrassment,0.7258021831512451,651,emotional_stateembarrassment651
81,emotional_state,happiness,0.8179023265838623,651,emotional_statehappiness651
82,emotional_state,unhappiness,0.7879481315612793,651,emotional_stateunhappiness651
83,state,poignance,0.72576904296875,651,statepoignance651
84,state,radiance,0.7987092137336731,651,stateradiance651
85,state,gratification,0.8093522191047668,651,stategratification651
86,state,quality_of_life,0.9021931290626526,651,statequality_of_life651
87,comfort,nirvana,0.7992238402366638,651,comfortnirvana651
88,comfort,state,0.8556907176971436,651,comfortstate651
89,comfort,blessedness,0.9064700603485107,651,comfortblessedness651
90,comfort,embitterment,0.7601426839828491,651,comfortembitterment651
91,comfort,sadness,0.8668639659881592,651,comfortsadness651
92,comfort,mourning,0.8032529950141907,651,comfortmourning651
93,acromegaly,elephantiasis_scroti,0.15121905505657196,652,acromegalyelephantiasis_scroti652
94,dysplasia,fibrous_dysplasia_of_bone,0.3178742527961731,652,dysplasiafibrous_dysplasia_of_bone652
95,dysplasia,hyperplasia,0.32092273235321045,652,dysplasiahyperplasia652
96,elephantiasis,nevoid_elephantiasis,0.29296597838401794,652,elephantiasisnevoid_elephantiasis652
97,splenomegaly,dactylomegaly,0.2671370506286621,652,splenomegalydactylomegaly652
98,fibrous_dysplasia_of_bone,Albright's_disease,0.41725578904151917,652,fibrous_dysplasia_of_boneAlbright's_disease652
99,fibrous_dysplasia_of_bone,monostotic_fibrous_dysplasia,0.56147301197052,652,fibrous_dysplasia_of_bonemonostotic_fibrous_dysplasia652
100,hyperplasia,anaplasia,0.2799935042858124,652,hyperplasiaanaplasia652
101,hyperplasia,aplasia,0.2858036458492279,652,hyperplasiaaplasia652
102,hyperplasia,hypertrophy,0.3063635528087616,652,hyperplasiahypertrophy652
103,hyperplasia,hypoplasia,0.3471108376979828,652,hyperplasiahypoplasia652
104,hyperplasia,benign_prostatic_hyperplasia,0.5017770528793335,652,hyperplasiabenign_prostatic_hyperplasia652
105,hypertrophy,acromegaly,0.299172580242157,652,hypertrophyacromegaly652
106,hypertrophy,adenomegaly,0.3231535255908966,652,hypertrophyadenomegaly652
107,hypertrophy,cor_pulmonale,0.136435866355896,652,hypertrophycor_pulmonale652
108,hypertrophy,elephantiasis,0.23152019083499908,652,hypertrophyelephantiasis652
109,hypertrophy,giantism,0.35954853892326355,652,hypertrophygiantism652
110,hypertrophy,splenomegaly,0.29156699776649475,652,hypertrophysplenomegaly652
111,aplasia,elephantiasis_neuromatosa,0.31876233220100403,652,aplasiaelephantiasis_neuromatosa652
112,anesthesia,topical_anesthesia,0.8134022951126099,653,anesthesiatopical_anesthesia653
113,anesthesia,cryoanesthesia,0.724899411201477,653,anesthesiacryoanesthesia653
114,anesthesia,conduction_anesthesia,0.7504997253417969,653,anesthesiaconduction_anesthesia653
115,anesthesia,general_anesthesia,0.8055071830749512,653,anesthesiageneral_anesthesia653
116,anesthesia,local_anesthesia,0.8132150769233704,653,anesthesialocal_anesthesia653
117,anesthesia,regional_anesthesia,0.8363344669342041,653,anesthesiaregional_anesthesia653
118,general_anesthesia,inhalation_anesthesia,0.5853285789489746,653,general_anesthesiainhalation_anesthesia653
119,regional_anesthesia,acroanesthesia,0.6429782509803772,653,regional_anesthesiaacroanesthesia653
120,regional_anesthesia,caudal_anesthesia,0.5914072394371033,653,regional_anesthesiacaudal_anesthesia653
121,regional_anesthesia,epidural_anesthesia,0.6215919256210327,653,regional_anesthesiaepidural_anesthesia653
122,regional_anesthesia,paracervical_block,0.6013720035552979,653,regional_anesthesiaparacervical_block653
123,regional_anesthesia,pudendal_block,0.5536442399024963,653,regional_anesthesiapudendal_block653
124,regional_anesthesia,spinal_anesthesia,0.5980772972106934,653,regional_anesthesiaspinal_anesthesia653
125,regional_anesthesia,twilight_sleep,0.42696964740753174,653,regional_anesthesiatwilight_sleep653
126,local_anesthesia,saddle_block_anesthesia,0.48913609981536865,653,local_anesthesiasaddle_block_anesthesia653
127,paralysis,hemiplegia,0.7742264270782471,654,paralysishemiplegia654
128,paralysis,monoplegia,0.684304416179657,654,paralysismonoplegia654
129,paralysis,ophthalmoplegia,0.7550700902938843,654,paralysisophthalmoplegia654
130,paralysis,paraplegia,0.77144855260849,654,paralysisparaplegia654
131,paralysis,paresis,0.5852112174034119,654,paralysisparesis654
132,paralysis,quadriplegia,0.7789578437805176,654,paralysisquadriplegia654
133,paralysis,akinesis,0.6992176175117493,654,paralysisakinesis654
134,paralysis,alalia,0.5869434475898743,654,paralysisalalia654
135,paralysis,cystoplegia,0.6919070482254028,654,paralysiscystoplegia654
136,paralysis,diplegia,0.655057966709137,654,paralysisdiplegia654
137,paralysis,Erb's_palsy,0.5189148187637329,654,paralysisErb's_palsy654
138,dysfunction,erectile_dysfunction,0.7297625541687012,654,dysfunctionerectile_dysfunction654
139,dysfunction,paralysis,0.4925326406955719,654,dysfunctionparalysis654
140,paraplegia,paraparesis,0.29413315653800964,654,paraplegiaparaparesis654
141,fitness,energy,0.8553767800331116,655,fitnessenergy655
142,fitness,juice,0.8962914943695068,655,fitnessjuice655
143,fitness,wholeness,0.7125078439712524,655,fitnesswholeness655
144,fitness,sturdiness,0.7702304720878601,655,fitnesssturdiness655
145,fitness,radiance,0.7498633861541748,655,fitnessradiance655
146,fitness,bloom,0.7859065532684326,655,fitnessbloom655
147,fitness,freshness,0.7694326043128967,655,fitnessfreshness655
148,fitness,fettle,0.826509416103363,655,fitnessfettle655
149,good_health,condition,0.5901029109954834,655,good_healthcondition655
150,energy,qi,0.8227850794792175,655,energyqi655
151,condition,fitness,0.8772281408309937,655,conditionfitness655
152,pneumonia,bronchopneumonia,0.49185386300086975,656,pneumoniabronchopneumonia656
153,pneumonia,lobar_pneumonia,0.5326082706451416,656,pneumonialobar_pneumonia656
154,pneumonia,pleuropneumonia,0.5354228615760803,656,pneumoniapleuropneumonia656
155,pneumonia,pneumococcal_pneumonia,0.5162610411643982,656,pneumoniapneumococcal_pneumonia656
156,pneumonia,pneumocytosis,0.45768335461616516,656,pneumoniapneumocytosis656
157,pneumonia,viral_pneumonia,0.5751102566719055,656,pneumoniaviral_pneumonia656
158,asthma,status_asthmaticus,0.5135292410850525,656,asthmastatus_asthmaticus656
159,atypical_pneumonia,double_pneumonia,0.3645140826702118,656,atypical_pneumoniadouble_pneumonia656
160,atypical_pneumonia,siderosis,0.3289053738117218,656,atypical_pneumoniasiderosis656
161,atypical_pneumonia,aspiration_pneumonia,0.4198742210865021,656,atypical_pneumoniaaspiration_pneumonia656
162,atypical_pneumonia,Legionnaires'_disease,0.3549748361110687,656,atypical_pneumoniaLegionnaires'_disease656
163,atypical_pneumonia,chronic_obstructive_pulmonary_disease,0.4022199809551239,656,atypical_pneumoniachronic_obstructive_pulmonary_disease656
164,atypical_pneumonia,psittacosis,0.3654188811779022,656,atypical_pneumoniapsittacosis656
165,interstitial_pneumonia,anthracosis,0.32522743940353394,656,interstitial_pneumoniaanthracosis656
166,pneumoconiosis,asbestosis,0.2960849106311798,656,pneumoconiosisasbestosis656
167,pneumoconiosis,silicosis,0.3265467882156372,656,pneumoconiosissilicosis656
168,cold,head_cold,0.6908522248268127,656,coldhead_cold656
169,bronchitis,bronchiolitis,0.38998547196388245,656,bronchitisbronchiolitis656
170,bronchitis,chronic_bronchitis,0.4769746661186218,656,bronchitischronic_bronchitis656
171,respiratory_disease,adult_respiratory_distress_syndrome,0.7345274686813354,656,respiratory_diseaseadult_respiratory_distress_syndrome656
172,respiratory_disease,asthma,0.8225838541984558,656,respiratory_diseaseasthma656
173,respiratory_disease,atypical_pneumonia,0.8168342709541321,656,respiratory_diseaseatypical_pneumonia656
174,respiratory_disease,bronchitis,0.8111305236816406,656,respiratory_diseasebronchitis656
175,respiratory_disease,cold,0.738481879234314,656,respiratory_diseasecold656
176,respiratory_disease,emphysema,0.7592353224754333,656,respiratory_diseaseemphysema656
177,respiratory_disease,influenza,0.8527155518531799,656,respiratory_diseaseinfluenza656
178,respiratory_disease,interstitial_pneumonia,0.7502174973487854,656,respiratory_diseaseinterstitial_pneumonia656
179,respiratory_disease,pneumoconiosis,0.7447537183761597,656,respiratory_diseasepneumoconiosis656
180,respiratory_disease,pneumonia,0.7634279131889343,656,respiratory_diseasepneumonia656
181,respiratory_disease,respiratory_distress_syndrome,0.7371605634689331,656,respiratory_diseaserespiratory_distress_syndrome656
182,respiratory_disease,severe_acute_respiratory_syndrome,0.8683480620384216,656,respiratory_diseasesevere_acute_respiratory_syndrome656
183,respiratory_disease,whooping_cough,0.7940608859062195,656,respiratory_diseasewhooping_cough656
184,influenza,Asian_influenza,0.7571065425872803,656,influenzaAsian_influenza656
185,influenza,swine_influenza,0.6026493906974792,656,influenzaswine_influenza656
186,agnosia,auditory_agnosia,0.4907640218734741,657,agnosiaauditory_agnosia657
187,epilepsy,akinetic_epilepsy,0.6671429872512817,657,epilepsyakinetic_epilepsy657
188,epilepsy,cortical_epilepsy,0.7103096842765808,657,epilepsycortical_epilepsy657
189,epilepsy,grand_mal_epilepsy,0.5639328360557556,657,epilepsygrand_mal_epilepsy657
190,epilepsy,myoclonus_epilepsy,0.4903143644332886,657,epilepsymyoclonus_epilepsy657
191,epilepsy,petit_mal_epilepsy,0.5712960362434387,657,epilepsypetit_mal_epilepsy657
192,epilepsy,posttraumatic_epilepsy,0.6712075471878052,657,epilepsyposttraumatic_epilepsy657
193,epilepsy,procursive_epilepsy,0.6332544684410095,657,epilepsyprocursive_epilepsy657
194,epilepsy,psychomotor_epilepsy,0.6999315023422241,657,epilepsypsychomotor_epilepsy657
195,epilepsy,reflex_epilepsy,0.6604921817779541,657,epilepsyreflex_epilepsy657
196,epilepsy,status_epilepticus,0.4854639768600464,657,epilepsystatus_epilepticus657
197,epilepsy,tonic_epilepsy,0.6201906204223633,657,epilepsytonic_epilepsy657
198,cerebral_palsy,photogenic_epilepsy,0.44160228967666626,657,cerebral_palsyphotogenic_epilepsy657
199,cerebral_palsy,Jacksonian_epilepsy,0.40993714332580566,657,cerebral_palsyJacksonian_epilepsy657
200,brain_disorder,acataphasia,0.4071534276008606,657,brain_disorderacataphasia657
201,brain_disorder,agnosia,0.48926883935928345,657,brain_disorderagnosia657
202,brain_disorder,agraphia,0.43926119804382324,657,brain_disorderagraphia657
203,brain_disorder,aphasia,0.5722447037696838,657,brain_disorderaphasia657
204,brain_disorder,apraxia,0.48456650972366333,657,brain_disorderapraxia657
205,brain_disorder,cerebral_palsy,0.5846123099327087,657,brain_disordercerebral_palsy657
206,brain_disorder,Creutzfeldt-Jakob_disease,0.6360576152801514,657,brain_disorderCreutzfeldt-Jakob_disease657
207,brain_disorder,epilepsy,0.6339199542999268,657,brain_disorderepilepsy657
208,brain_disorder,paralysis_agitans,0.26772966980934143,657,brain_disorderparalysis_agitans657
209,brain_disorder,Reye's_syndrome,0.41687265038490295,657,brain_disorderReye's_syndrome657
210,brain_disorder,Wernicke's_encephalopathy,0.4559130072593689,657,brain_disorderWernicke's_encephalopathy657
211,cortical_epilepsy,musicogenic_epilepsy,0.4390230178833008,657,cortical_epilepsymusicogenic_epilepsy657
212,cortical_epilepsy,sensory_epilepsy,0.4265258312225342,657,cortical_epilepsysensory_epilepsy657
213,aphasia,astereognosis,0.3438868522644043,657,aphasiaastereognosis657
214,aphasia,visual_agnosia,0.4110039472579956,657,aphasiavisual_agnosia657
215,aphasia,auditory_aphasia,0.5585740804672241,657,aphasiaauditory_aphasia657
216,aphasia,conduction_aphasia,0.5138847231864929,657,aphasiaconduction_aphasia657
217,aphasia,global_aphasia,0.5109024047851562,657,aphasiaglobal_aphasia657
218,aphasia,motor_aphasia,0.46899837255477905,657,aphasiamotor_aphasia657
219,aphasia,nominal_aphasia,0.4557039737701416,657,aphasianominal_aphasia657
220,aphasia,transcortical_aphasia,0.5113611817359924,657,aphasiatranscortical_aphasia657
221,aphasia,visual_aphasia,0.5205318331718445,657,aphasiavisual_aphasia657
222,aphasia,Wernicke's_aphasia,0.4900417923927307,657,aphasiaWernicke's_aphasia657
223,collapse,algidity,0.786400318145752,658,collapsealgidity658
224,collapse,breakdown,0.6403074264526367,658,collapsebreakdown658
225,collapse,shock,0.5641914010047913,658,collapseshock658
226,shock,neurasthenia,0.5956128239631653,658,shockneurasthenia658
227,shock,heatstroke,0.44509026408195496,658,shockheatstroke658
228,shock,nervous_exhaustion,0.5426932573318481,658,shocknervous_exhaustion658
229,shock,cardiogenic_shock,0.749262273311615,658,shockcardiogenic_shock658
230,shock,distributive_shock,0.7690564393997192,658,shockdistributive_shock658
231,shock,hypovolemic_shock,0.6800611019134521,658,shockhypovolemic_shock658
232,shock,insulin_shock,0.688136637210846,658,shockinsulin_shock658
233,shock,obstructive_shock,0.7493808269500732,658,shockobstructive_shock658
234,breakdown,nervous_breakdown,0.6229598522186279,658,breakdownnervous_breakdown658
235,heatstroke,heat_exhaustion,0.521048367023468,658,heatstrokeheat_exhaustion658
236,heatstroke,sunstroke,0.4772855043411255,658,heatstrokesunstroke658
237,allergy,delayed_allergy,0.8172329068183899,659,allergydelayed_allergy659
238,allergy,food_allergy,0.9269345998764038,659,allergyfood_allergy659
239,allergy,immediate_allergy,0.9208644032478333,659,allergyimmediate_allergy659
240,hypersensitivity_reaction,allergic_rhinitis,0.7095320224761963,659,hypersensitivity_reactionallergic_rhinitis659
241,hypersensitivity_reaction,allergy,0.7664246559143066,659,hypersensitivity_reactionallergy659
242,hypersensitivity_reaction,anaphylaxis,0.6972195506095886,659,hypersensitivity_reactionanaphylaxis659
243,hypersensitivity_reaction,urtication,0.5877200961112976,659,hypersensitivity_reactionurtication659
244,hypersensitivity,cryesthesia,0.6805838346481323,659,hypersensitivitycryesthesia659
245,hypersensitivity,hypersensitivity_reaction,0.7999122738838196,659,hypersensitivityhypersensitivity_reaction659
246,anaphylaxis,hay_fever,0.6195430159568787,659,anaphylaxishay_fever659
247,anaphylaxis,serum_sickness,0.5242231488227844,659,anaphylaxisserum_sickness659
248,anaphylaxis,anaphylactic_shock,0.6255212426185608,659,anaphylaxisanaphylactic_shock659
249,metabolic_disorder,alkaptonuria,0.4335974156856537,660,metabolic_disorderalkaptonuria660
250,metabolic_disorder,hyperlipoproteinemia,0.5622005462646484,660,metabolic_disorderhyperlipoproteinemia660
251,metabolic_disorder,hypolipoproteinemia,0.532281756401062,660,metabolic_disorderhypolipoproteinemia660
252,metabolic_disorder,inborn_error_of_metabolism,0.5181867480278015,660,metabolic_disorderinborn_error_of_metabolism660
253,metabolic_disorder,lipidosis,0.4385905861854553,660,metabolic_disorderlipidosis660
254,metabolic_disorder,lysine_intolerance,0.674210786819458,660,metabolic_disorderlysine_intolerance660
255,inborn_error_of_metabolism,Niemann-Pick_disease,0.4466801583766937,660,inborn_error_of_metabolismNiemann-Pick_disease660
256,inborn_error_of_metabolism,lysinemia,0.4203353822231293,660,inborn_error_of_metabolismlysinemia660
257,inborn_error_of_metabolism,phenylketonuria,0.5248798727989197,660,inborn_error_of_metabolismphenylketonuria660
258,inborn_error_of_metabolism,hyperbetalipoproteinemia,0.392732709646225,660,inborn_error_of_metabolismhyperbetalipoproteinemia660
259,inborn_error_of_metabolism,Gaucher's_disease,0.4077466130256653,660,inborn_error_of_metabolismGaucher's_disease660
260,inborn_error_of_metabolism,hypobetalipoproteinemia,0.39327505230903625,660,inborn_error_of_metabolismhypobetalipoproteinemia660
261,inborn_error_of_metabolism,Tay-Sachs_disease,0.4104040563106537,660,inborn_error_of_metabolismTay-Sachs_disease660
262,inborn_error_of_metabolism,abetalipoproteinemia,0.39428970217704773,660,inborn_error_of_metabolismabetalipoproteinemia660
263,inborn_error_of_metabolism,galactosemia,0.41031894087791443,660,inborn_error_of_metabolismgalactosemia660
264,affective_disorder,bipolar_disorder,0.7002806067466736,661,affective_disorderbipolar_disorder661
265,affective_disorder,depressive_disorder,0.6553659439086914,661,affective_disorderdepressive_disorder661
266,affective_disorder,mania,0.5325080156326294,661,affective_disordermania661
267,mania,involutional_depression,0.4674670696258545,661,maniainvolutional_depression661
268,mania,unipolar_depression,0.45989155769348145,661,maniaunipolar_depression661
269,craze,mass_hysteria,0.6984375715255737,661,crazemass_hysteria661
270,depressive_disorder,craze,0.4291625916957855,661,depressive_disordercraze661
271,depressive_disorder,cyclothymia,0.5509939193725586,661,depressive_disordercyclothymia661
272,depressive_disorder,nympholepsy,0.5132452845573425,661,depressive_disordernympholepsy661
273,depressive_disorder,agitated_depression,0.6114122271537781,661,depressive_disorderagitated_depression661
274,depressive_disorder,anaclitic_depression,0.6397947072982788,661,depressive_disorderanaclitic_depression661
275,depressive_disorder,dysthymia,0.620503306388855,661,depressive_disorderdysthymia661
276,depressive_disorder,endogenous_depression,0.7129076719284058,661,depressive_disorderendogenous_depression661
277,depressive_disorder,exogenous_depression,0.6944826245307922,661,depressive_disorderexogenous_depression661
278,depressive_disorder,major_depressive_episode,0.5909522771835327,661,depressive_disordermajor_depressive_episode661
279,depressive_disorder,neurotic_depression,0.7123889923095703,661,depressive_disorderneurotic_depression661
280,depressive_disorder,psychotic_depression,0.6248176693916321,661,depressive_disorderpsychotic_depression661
281,depressive_disorder,retarded_depression,0.6191177368164062,661,depressive_disorderretarded_depression661
282,heart_disease,cardiac_arrhythmia,0.6102755665779114,662,heart_diseasecardiac_arrhythmia662
283,heart_disease,cardiomyopathy,0.6263625621795654,662,heart_diseasecardiomyopathy662
284,heart_disease,coronary_heart_disease,0.7446303963661194,662,heart_diseasecoronary_heart_disease662
285,heart_disease,heart_failure,0.6268053650856018,662,heart_diseaseheart_failure662
286,heart_disease,rheumatic_heart_disease,0.6274442076683044,662,heart_diseaserheumatic_heart_disease662
287,heart_disease,valvular_heart_disease,0.669712245464325,662,heart_diseasevalvular_heart_disease662
288,aneurysm,aortic_aneurysm,0.6535114049911499,662,aneurysmaortic_aneurysm662
289,aneurysm,cerebral_aneurysm,0.6641618013381958,662,aneurysmcerebral_aneurysm662
290,aneurysm,intracranial_aneurysm,0.7481774687767029,662,aneurysmintracranial_aneurysm662
291,aneurysm,ventricular_aneurysm,0.57503741979599,662,aneurysmventricular_aneurysm662
292,valvular_heart_disease,aortic_stenosis,0.48261943459510803,662,valvular_heart_diseaseaortic_stenosis662
293,valvular_heart_disease,mitral_valve_prolapse,0.4380570650100708,662,valvular_heart_diseasemitral_valve_prolapse662
294,cardiovascular_disease,aneurysm,0.45471787452697754,662,cardiovascular_diseaseaneurysm662
295,cardiovascular_disease,heart_disease,0.5737940669059753,662,cardiovascular_diseaseheart_disease662
296,cardiovascular_disease,circulatory_failure,0.5400953888893127,662,cardiovascular_diseasecirculatory_failure662
297,cardiovascular_disease,hypotension,0.5319849252700806,662,cardiovascular_diseasehypotension662
298,cardiomyopathy,hypertrophic_cardiomyopathy,0.5674489736557007,662,cardiomyopathyhypertrophic_cardiomyopathy662
299,hypotension,orthostatic_hypotension,0.5166471004486084,662,hypotensionorthostatic_hypotension662
300,cardiac_arrhythmia,portal_hypertension,0.38760697841644287,662,cardiac_arrhythmiaportal_hypertension662
301,cardiac_arrhythmia,abdominal_aortic_aneurysm,0.40082553029060364,662,cardiac_arrhythmiaabdominal_aortic_aneurysm662
302,cardiac_arrhythmia,coronary_thrombosis,0.5538738965988159,662,cardiac_arrhythmiacoronary_thrombosis662
303,cardiac_arrhythmia,coronary_occlusion,0.5085504055023193,662,cardiac_arrhythmiacoronary_occlusion662
304,cardiac_arrhythmia,congestive_heart_failure,0.542343258857727,662,cardiac_arrhythmiacongestive_heart_failure662
305,cardiac_arrhythmia,angina_pectoris,0.491822212934494,662,cardiac_arrhythmiaangina_pectoris662
306,cardiac_arrhythmia,heart_attack,0.42043617367744446,662,cardiac_arrhythmiaheart_attack662
307,cardiac_arrhythmia,mitral_stenosis,0.4688701331615448,662,cardiac_arrhythmiamitral_stenosis662
308,cardiac_arrhythmia,atrial_fibrillation,0.6808358430862427,662,cardiac_arrhythmiaatrial_fibrillation662
309,cardiac_arrhythmia,bradycardia,0.5639368891716003,662,cardiac_arrhythmiabradycardia662
310,cardiac_arrhythmia,flutter,0.32400164008140564,662,cardiac_arrhythmiaflutter662
311,cardiac_arrhythmia,gallop_rhythm,0.41969597339630127,662,cardiac_arrhythmiagallop_rhythm662
312,cardiac_arrhythmia,heart_block,0.4527900218963623,662,cardiac_arrhythmiaheart_block662
313,cardiac_arrhythmia,premature_ventricular_contraction,0.5437423586845398,662,cardiac_arrhythmiapremature_ventricular_contraction662
314,cardiac_arrhythmia,tachycardia,0.6259084939956665,662,cardiac_arrhythmiatachycardia662
315,cardiac_arrhythmia,ventricular_fibrillation,0.6516128182411194,662,cardiac_arrhythmiaventricular_fibrillation662
316,flutter,high_blood_pressure,0.6139842867851257,662,flutterhigh_blood_pressure662
317,high_blood_pressure,essential_hypertension,0.6149243712425232,662,high_blood_pressureessential_hypertension662
318,high_blood_pressure,malignant_hypertension,0.5999197363853455,662,high_blood_pressuremalignant_hypertension662
319,high_blood_pressure,secondary_hypertension,0.5776914954185486,662,high_blood_pressuresecondary_hypertension662
320,high_blood_pressure,white-coat_hypertension,0.6184394359588623,662,high_blood_pressurewhite-coat_hypertension662
321,uropathy,kidney_disease,0.24513483047485352,663,uropathykidney_disease663
322,nephritis,glomerulonephritis,0.600980281829834,663,nephritisglomerulonephritis663
323,kidney_disease,nephritis,0.5894061923027039,663,kidney_diseasenephritis663
324,kidney_disease,nephrosclerosis,0.5086384415626526,663,kidney_diseasenephrosclerosis663
325,kidney_disease,polycystic_kidney_disease,0.5922714471817017,663,kidney_diseasepolycystic_kidney_disease663
326,kidney_disease,polyuria,0.43631115555763245,663,kidney_diseasepolyuria663
327,kidney_disease,renal_failure,0.6113409399986267,663,kidney_diseaserenal_failure663
328,kidney_disease,renal_insufficiency,0.6177048683166504,663,kidney_diseaserenal_insufficiency663
329,renal_failure,acute_renal_failure,0.48174065351486206,663,renal_failureacute_renal_failure663
330,renal_failure,chronic_renal_failure,0.46099838614463806,663,renal_failurechronic_renal_failure663
331,tinea,tinea_barbae,0.41106554865837097,664,tineatinea_barbae664
332,tinea,tinea_capitis,0.4096006453037262,664,tineatinea_capitis664
333,tinea,tinea_corporis,0.37273332476615906,664,tineatinea_corporis664
334,tinea,tinea_cruris,0.3563220500946045,664,tineatinea_cruris664
335,tinea,tinea_pedis,0.34897568821907043,664,tineatinea_pedis664
336,tinea,tinea_unguium,0.3069024980068207,664,tineatinea_unguium664
337,fungal_infection,rhinosporidiosis,0.6081792116165161,664,fungal_infectionrhinosporidiosis664
338,fungal_infection,sporotrichosis,0.7145045399665833,664,fungal_infectionsporotrichosis664
