Unnamed: 0,parent,child,group,type
50,Markov-chain Monte Carlo methods,Metropolis-Hastings algorithm,10002950_2,test
51,Markov-chain Monte Carlo methods,Simulated annealing,10002950_2,test
52,Markov-chain Monte Carlo methods,Markov-chain Monte Carlo convergence measures,10002950_2,test
53,Probabilistic reasoning algorithms,Sequential Monte Carlo methods,10002950_2,test
54,Probabilistic reasoning algorithms,Kalman filters and hidden Markov models,10002950_2,test
55,Probabilistic reasoning algorithms,Resampling methods,10002950_2,test
56,Resampling methods,Bootstrapping,10002950_2,test
57,Resampling methods,Jackknifing,10002950_2,test
58,Probabilistic reasoning algorithms,Random number generation,10002950_2,test
59,Probability and statistics,Probabilistic algorithms,10002950_2,test
60,Probability and statistics,Statistical paradigms,10002950_2,test
61,Statistical paradigms,Queueing theory,10002950_2,test
62,Statistical paradigms,Contingency table analysis,10002950_2,test
63,Statistical paradigms,Regression analysis,10002950_2,test
64,Regression analysis,Robust regression,10002950_2,test
65,Statistical paradigms,Time series analysis,10002950_2,test
66,Statistical paradigms,Survival analysis,10002950_2,test
67,Statistical paradigms,Renewal theory,10002950_2,test
68,Statistical paradigms,Dimensionality reduction,10002950_2,test
69,Statistical paradigms,Cluster analysis,10002950_2,test
70,Statistical paradigms,Statistical graphics,10002950_2,test
71,Statistical paradigms,Exploratory data analysis,10002950_2,test
72,Probability and statistics,Stochastic processes,10002950_2,test
73,Stochastic processes,Markov processes,10002950_2,test
74,Probability and statistics,Nonparametric statistics,10002950_2,test
75,Probability and statistics,Distribution functions,10002950_2,test
76,Probability and statistics,Multivariate statistics,10002950_2,test
77,Mathematical software,Solvers,10002950_3,train
78,Mathematical software,Statistical software,10002950_3,train
79,Mathematical software,Mathematical software performance,10002950_3,train
80,Mathematical analysis,Numerical analysis,10002950_4,train
81,Numerical analysis,Computation of transforms,10002950_4,train
82,Numerical analysis,Computations in finite fields,10002950_4,train
83,Numerical analysis,Computations on matrices,10002950_4,train
84,Numerical analysis,Computations on polynomials,10002950_4,train
85,Computations on polynomials,Gr???bner bases and other special bases,10002950_4,train
86,Numerical analysis,Number-theoretic computations,10002950_4,train
87,Numerical analysis,Interpolation,10002950_4,train
88,Numerical analysis,Numerical differentiation,10002950_4,train
89,Numerical analysis,Interval arithmetic,10002950_4,train
90,Numerical analysis,Arbitrary-precision arithmetic,10002950_4,train
91,Numerical analysis,Automatic differentiation,10002950_4,train
92,Numerical analysis,Mesh generation,10002950_4,train
93,Numerical analysis,Discretization,10002950_4,train
94,Mathematical analysis,Mathematical optimization,10002950_4,train
95,Mathematical analysis,Differential equations,10002950_4,train
96,Differential equations,Ordinary differential equations,10002950_4,train
97,Differential equations,Partial differential equations,10002950_4,train
98,Differential equations,Differential algebraic equations,10002950_4,train
99,Differential equations,Differential variational inequalities,10002950_4,train
100,Mathematical analysis,Calculus,10002950_4,train
101,Mathematical analysis,Functional analysis,10002950_4,train
102,Functional analysis,Approximation,10002950_4,train
103,Mathematical analysis,Integral equations,10002950_4,train
104,Mathematical analysis,Nonlinear equations,10002950_4,train
105,Mathematical analysis,Quadrature,10002950_4,train
106,Continuous mathematics,Calculus,10002950_5,train
107,Continuous mathematics,Topology,10002950_5,train
108,Topology,Point-set topology,10002950_5,train
109,Topology,Algebraic topology,10002950_5,train
110,Topology,Geometric topology,10002950_5,train
111,Continuous mathematics,Continuous functions,10002950_5,train
112,Data management systems,Database design and models,10002951_1,train
113,Database design and models,Relational database model,10002951_1,train
114,Database design and models,Entity relationship models,10002951_1,train
115,Database design and models,Graph-based database models,10002951_1,train
116,Graph-based database models,Hierarchical data models,10002951_1,train
117,Graph-based database models,Network data models,10002951_1,train
118,Database design and models,Physical data models,10002951_1,train
119,Database design and models,Data model extensions,10002951_1,train
120,Data model extensions,Semi-structured data,10002951_1,train
121,Data model extensions,Data streams,10002951_1,train
122,Data model extensions,Data provenance,10002951_1,train
123,Data model extensions,Incomplete data,10002951_1,train
124,Data model extensions,Temporal data,10002951_1,train
125,Data model extensions,Uncertainty,10002951_1,train
126,Data model extensions,Inconsistent data,10002951_1,train
127,Data management systems,Data structures,10002951_1,train
128,Data structures,Data access methods,10002951_1,train
129,Data access methods,Multidimensional range search,10002951_1,train
130,Data access methods,Data scans,10002951_1,train
131,Data access methods,Point lookups,10002951_1,train
132,Data access methods,Unidimensional range search,10002951_1,train
133,Data access methods,Proximity search,10002951_1,train
134,Data structures,Data layout,10002951_1,train
135,Data layout,Data compression,10002951_1,train
136,Data layout,Data encryption,10002951_1,train
137,Data layout,Record and block layout,10002951_1,train
138,Data management systems,Database management system engines,10002951_1,train
139,Database management system engines,DBMS engine architectures,10002951_1,train
140,Database management system engines,Database query processing,10002951_1,train
141,Database query processing,Query optimization,10002951_1,train
142,Database query processing,Query operators,10002951_1,train
143,Database query processing,Query planning,10002951_1,train
144,Database query processing,Join algorithms,10002951_1,train
145,Database management system engines,Database transaction processing,10002951_1,train
146,Database transaction processing,Data locking,10002951_1,train
147,Database transaction processing,Transaction logging,10002951_1,train
148,Database transaction processing,Database recovery,10002951_1,train
149,Database management system engines,Record and buffer management,10002951_1,train
150,Database management system engines,Parallel and distributed DBMSs,10002951_1,train
151,Parallel and distributed DBMSs,Key-value stores,10002951_1,train
152,Parallel and distributed DBMSs,MapReduce-based systems,10002951_1,train
153,Parallel and distributed DBMSs,Relational parallel and distributed DBMSs,10002951_1,train
154,Database management system engines,Triggers and rules,10002951_1,train
155,Database management system engines,Database views,10002951_1,train
156,Database management system engines,Integrity checking,10002951_1,train
157,Database management system engines,Distributed database transactions,10002951_1,train
158,Distributed database transactions,Distributed data locking,10002951_1,train
159,Distributed database transactions,Deadlocks,10002951_1,train
160,Distributed database transactions,Distributed database recovery,10002951_1,train
161,Database management system engines,Main memory engines,10002951_1,train
162,Database management system engines,Online analytical processing engines,10002951_1,train
163,Database management system engines,Stream management,10002951_1,train
164,Data management systems,Query languages,10002951_1,train
165,Query languages,Relational database query languages,10002951_1,train
166,Relational database query languages,Structured Query Language,10002951_1,train
167,Query languages,XML query languages,10002951_1,train
168,XML query languages,XPath,10002951_1,train
169,XML query languages,XQuery,10002951_1,train
170,Query languages,Query languages for non-relational engines,10002951_1,train
171,Query languages for non-relational engines,MapReduce languages,10002951_1,train
172,Query languages,Call level interfaces,10002951_1,train
173,Data management systems,Database administration,10002951_1,train
174,Database administration,Database utilities and tools,10002951_1,train
175,Database administration,Database performance evaluation,10002951_1,train
176,Database administration,Autonomous database administration,10002951_1,train
177,Database administration,Data dictionaries,10002951_1,train
178,Data management systems,Information integration,10002951_1,train
179,Information integration,Deduplication,10002951_1,train
180,Information integration,"Extraction, transformation and loading",10002951_1,train
181,Information integration,Data exchange,10002951_1,train
182,Information integration,Data cleaning,10002951_1,train
183,Information integration,Wrappers (data mining),10002951_1,train
184,Information integration,Mediators and data integration,10002951_1,train
185,Information integration,Entity resolution,10002951_1,train
186,Information integration,Data warehouses,10002951_1,train
187,Information integration,Federated databases,10002951_1,train
188,Data management systems,Middleware for databases,10002951_1,train
189,Middleware for databases,Database web servers,10002951_1,train
190,Middleware for databases,Application servers,10002951_1,train
191,Middleware for databases,Object-relational mapping facilities,10002951_1,train
192,Middleware for databases,Data federation tools,10002951_1,train
193,Middleware for databases,Data replication tools,10002951_1,train
194,Middleware for databases,Distributed transaction monitors,10002951_1,train
195,Middleware for databases,Message queues,10002951_1,train
196,Middleware for databases,Service buses,10002951_1,train
197,Middleware for databases,Enterprise application integration tools,10002951_1,train
198,Middleware for databases,Middleware business process managers,10002951_1,train
199,Information storage systems,Information storage technologies,10002951_2,train
200,Information storage technologies,Magnetic disks,10002951_2,train
201,Information storage technologies,Magnetic tapes,10002951_2,train
202,Information storage technologies,Optical / magneto-optical disks,10002951_2,train
203,Information storage technologies,Storage class memory,10002951_2,train
204,Storage class memory,Flash memory,10002951_2,train
205,Storage class memory,Phase change memory,10002951_2,train
206,Information storage technologies,Disk arrays,10002951_2,train
207,Information storage technologies,Tape libraries,10002951_2,train
208,Information storage systems,Record storage systems,10002951_2,train
209,Record storage systems,Record storage alternatives,10002951_2,train
210,Record storage alternatives,Heap (data structure),10002951_2,train
211,Record storage alternatives,Hashed file organization,10002951_2,train
212,Record storage alternatives,Indexed file organization,10002951_2,train
213,Record storage alternatives,Linked lists,10002951_2,train
214,Record storage systems,Directory structures,10002951_2,train
215,Directory structures,B-trees,10002951_2,train
216,Directory structures,Vnodes,10002951_2,train
217,Directory structures,Inodes,10002951_2,train
218,Directory structures,Extent-based file structures,10002951_2,train
219,Record storage systems,Block / page strategies,10002951_2,train
220,Block / page strategies,Slotted pages,10002951_2,train
221,Block / page strategies,Intrapage space management,10002951_2,train
222,Block / page strategies,Interpage free-space management,10002951_2,train
223,Record storage systems,Record layout alternatives,10002951_2,train
224,Record layout alternatives,Fixed length attributes,10002951_2,train
225,Record layout alternatives,Variable length attributes,10002951_2,train
226,Record layout alternatives,Null values in records,10002951_2,train
227,Record storage systems,Relational storage,10002951_2,train
228,Relational storage,Horizontal partitioning,10002951_2,train
229,Relational storage,Vertical partitioning,10002951_2,train
230,Relational storage,Column based storage,10002951_2,train
231,Relational storage,Hybrid storage layouts,10002951_2,train
232,Relational storage,Compression strategies,10002951_2,train
233,Information storage systems,Storage replication,10002951_2,train
234,Storage replication,Mirroring,10002951_2,train
235,Storage replication,RAID,10002951_2,train
236,Storage replication,Point-in-time copies,10002951_2,train
237,Storage replication,Remote replication,10002951_2,train
238,Storage replication,Storage recovery strategies,10002951_2,train
239,Information storage systems,Storage architectures,10002951_2,train
240,Storage architectures,Cloud based storage,10002951_2,train
241,Storage architectures,Storage network architectures,10002951_2,train
242,Storage network architectures,Storage area networks,10002951_2,train
243,Storage network architectures,Direct attached storage,10002951_2,train
244,Storage network architectures,Network attached storage,10002951_2,train
245,Storage architectures,Distributed storage,10002951_2,train
246,Information storage systems,Storage management,10002951_2,train
247,Storage management,Hierarchical storage management,10002951_2,train
248,Storage management,Storage virtualization,10002951_2,train
249,Storage management,Information lifecycle management,10002951_2,train
250,Storage management,Version management,10002951_2,train
251,Storage management,Storage power management,10002951_2,train
252,Storage management,Thin provisioning,10002951_2,train
253,Information systems applications,Enterprise information systems,10002951_3,val
254,Information systems applications,Collaborative and social computing systems and tools,10002951_3,val
255,Information systems applications,Spatial-temporal systems,10002951_3,val
256,Spatial-temporal systems,Location based services,10002951_3,val
257,Spatial-temporal systems,Geographic information systems,10002951_3,val
258,Spatial-temporal systems,Sensor networks,10002951_3,val
259,Spatial-temporal systems,Data streaming,10002951_3,val
260,Spatial-temporal systems,Global positioning systems,10002951_3,val
261,Information systems applications,Decision support systems,10002951_3,val
262,Decision support systems,Data warehouses,10002951_3,val
263,Decision support systems,Expert systems,10002951_3,val
264,Decision support systems,Data analytics,10002951_3,val
265,Decision support systems,Online analytical processing,10002951_3,val
266,Information systems applications,Mobile information processing systems,10002951_3,val
267,Information systems applications,Process control systems,10002951_3,val
268,Information systems applications,Multimedia information systems,10002951_3,val
269,Multimedia information systems,Multimedia databases,10002951_3,val
270,Multimedia information systems,Multimedia streaming,10002951_3,val
271,Multimedia information systems,Multimedia content creation,10002951_3,val
272,Multimedia information systems,Massively multiplayer online games,10002951_3,val
273,Information systems applications,Data mining,10002951_3,val
274,Data mining,Data cleaning,10002951_3,val
275,Data mining,Collaborative filtering,10002951_3,val
276,Data mining,Association rules,10002951_3,val
277,Data mining,Clustering,10002951_3,val
278,Data mining,Nearest-neighbor search,10002951_3,val
279,Data mining,Data stream mining,10002951_3,val
280,Information systems applications,Digital libraries and archives,10002951_3,val
281,Information systems applications,Computational advertising,10002951_3,val
282,Information systems applications,Computing platforms,10002951_3,val
283,World Wide Web,Web searching and information discovery,10002951_4,test
284,Web searching and information discovery,Web search engines,10002951_4,test
285,Web search engines,Web crawling,10002951_4,test
286,Web search engines,Web indexing,10002951_4,test
287,Web search engines,Page and site ranking,10002951_4,test
288,Web search engines,Spam detection,10002951_4,test
289,Web searching and information discovery,Content ranking,10002951_4,test
290,Web searching and information discovery,Collaborative filtering,10002951_4,test
291,Web searching and information discovery,Social recommendation,10002951_4,test
292,Web searching and information discovery,Personalization,10002951_4,test
293,Web searching and information discovery,Social tagging,10002951_4,test
294,World Wide Web,Online advertising,10002951_4,test
295,Online advertising,Sponsored search advertising,10002951_4,test
296,Online advertising,Content match advertising,10002951_4,test
297,Online advertising,Display advertising,10002951_4,test
298,Online advertising,Social advertising,10002951_4,test
299,World Wide Web,Web mining,10002951_4,test
300,Web mining,Site wrapping,10002951_4,test
301,Web mining,Data extraction and integration,10002951_4,test
302,Data extraction and integration,Deep web,10002951_4,test
303,Data extraction and integration,Surfacing,10002951_4,test
304,Data extraction and integration,Search results deduplication,10002951_4,test
305,Web mining,Web log analysis,10002951_4,test
306,Web mining,Traffic analysis,10002951_4,test
307,World Wide Web,Web applications,10002951_4,test
308,Web applications,Internet communications tools,10002951_4,test
309,Internet communications tools,Email,10002951_4,test
310,Internet communications tools,Blogs,10002951_4,test
311,Internet communications tools,Texting,10002951_4,test
312,Internet communications tools,Chat,10002951_4,test
313,Internet communications tools,Web conferencing,10002951_4,test
314,Web applications,Social networks,10002951_4,test
315,Web applications,Crowdsourcing,10002951_4,test
316,Crowdsourcing,Answer ranking,10002951_4,test
317,Crowdsourcing,Trust,10002951_4,test
318,Crowdsourcing,Incentive schemes,10002951_4,test
319,Crowdsourcing,Reputation systems,10002951_4,test
320,Web applications,Electronic commerce,10002951_4,test
321,World Wide Web,Web interfaces,10002951_4,test
322,Web interfaces,Wikis,10002951_4,test
323,Web interfaces,Browsers,10002951_4,test
324,Web interfaces,Mashups,10002951_4,test
325,World Wide Web,Web services,10002951_4,test
326,Web services,Simple Object Access Protocol (SOAP),10002951_4,test
327,Web services,RESTful web services,10002951_4,test
328,Web services,Web Services Description Language (WSDL),10002951_4,test
329,Web services,Universal Description Discovery and Integration (UDDI),10002951_4,test
330,Web services,Service discovery and interfaces,10002951_4,test
331,World Wide Web,Web data description languages,10002951_4,test
332,Web data description languages,Semantic web description languages,10002951_4,test
333,Semantic web description languages,Resource Description Framework (RDF),10002951_4,test
334,Semantic web description languages,Web Ontology Language (OWL),10002951_4,test
335,Web data description languages,Markup languages,10002951_4,test
336,Information retrieval,Document representation,10002951_5,test
337,Document representation,Document structure,10002951_5,test
338,Document representation,Document topic models,10002951_5,test
339,Document representation,Content analysis and feature selection,10002951_5,test
340,Document representation,Data encoding and canonicalization,10002951_5,test
341,Document representation,Document collection models,10002951_5,test
342,Document representation,Ontologies,10002951_5,test
343,Document representation,Dictionaries,10002951_5,test
344,Document representation,Thesauri,10002951_5,test
345,Information retrieval,Information retrieval query processing,10002951_5,test
346,Information retrieval query processing,Query representation,10002951_5,test
347,Information retrieval query processing,Query intent,10002951_5,test
348,Information retrieval query processing,Query log analysis,10002951_5,test
349,Information retrieval query processing,Query suggestion,10002951_5,test
350,Information retrieval query processing,Query reformulation,10002951_5,test
351,Information retrieval,Users and interactive retrieval,10002951_5,test
352,Users and interactive retrieval,Personalization,10002951_5,test
353,Users and interactive retrieval,Task models,10002951_5,test
354,Users and interactive retrieval,Search interfaces,10002951_5,test
355,Users and interactive retrieval,Collaborative search,10002951_5,test
356,Information retrieval,Retrieval models and ranking,10002951_5,test
357,Retrieval models and ranking,Rank aggregation,10002951_5,test
358,Retrieval models and ranking,Probabilistic retrieval models,10002951_5,test
359,Retrieval models and ranking,Language models,10002951_5,test
360,Retrieval models and ranking,Similarity measures,10002951_5,test
361,Retrieval models and ranking,Learning to rank,10002951_5,test
362,Retrieval models and ranking,"Combination, fusion and federated search",10002951_5,test
363,Retrieval models and ranking,Information retrieval diversity,10002951_5,test
364,Retrieval models and ranking,Top-k retrieval in databases,10002951_5,test
365,Retrieval models and ranking,Novelty in information retrieval,10002951_5,test
366,Information retrieval,Retrieval tasks and goals,10002951_5,test
367,Retrieval tasks and goals,Question answering,10002951_5,test
368,Retrieval tasks and goals,Document filtering,10002951_5,test
369,Retrieval tasks and goals,Recommender systems,10002951_5,test
370,Retrieval tasks and goals,Information extraction,10002951_5,test
371,Retrieval tasks and goals,Sentiment analysis,10002951_5,test
372,Retrieval tasks and goals,Expert search,10002951_5,test
373,Retrieval tasks and goals,Near-duplicate and plagiarism detection,10002951_5,test
374,Retrieval tasks and goals,Clustering and classification,10002951_5,test
375,Retrieval tasks and goals,Summarization,10002951_5,test
376,Retrieval tasks and goals,Business intelligence,10002951_5,test
377,Information retrieval,Evaluation of retrieval results,10002951_5,test
378,Evaluation of retrieval results,Test collections,10002951_5,test
379,Evaluation of retrieval results,Relevance assessment,10002951_5,test
380,Evaluation of retrieval results,Retrieval effectiveness,10002951_5,test
381,Evaluation of retrieval results,Retrieval efficiency,10002951_5,test
382,Evaluation of retrieval results,Presentation of retrieval results,10002951_5,test
383,Information retrieval,Search engine architectures and scalability,10002951_5,test
384,Search engine architectures and scalability,Search engine indexing,10002951_5,test
385,Search engine architectures and scalability,Search index compression,10002951_5,test
386,Search engine architectures and scalability,Distributed retrieval,10002951_5,test
387,Search engine architectures and scalability,Peer-to-peer retrieval,10002951_5,test
388,Search engine architectures and scalability,Retrieval on mobile devices,10002951_5,test
389,Search engine architectures and scalability,Adversarial retrieval,10002951_5,test
390,Search engine architectures and scalability,Link and co-citation analysis,10002951_5,test
391,Search engine architectures and scalability,Searching with auxiliary databases,10002951_5,test
392,Information retrieval,Specialized information retrieval,10002951_5,test
393,Specialized information retrieval,Structure and multilingual text search,10002951_5,test
394,Structure and multilingual text search,Structured text search,10002951_5,test
395,Structure and multilingual text search,Mathematics retrieval,10002951_5,test
396,Structure and multilingual text search,Chemical and biochemical retrieval,10002951_5,test
397,Structure and multilingual text search,Multilingual and cross-lingual retrieval,10002951_5,test
398,Specialized information retrieval,Multimedia and multimodal retrieval,10002951_5,test
399,Multimedia and multimodal retrieval,Image search,10002951_5,test
400,Multimedia and multimodal retrieval,Video search,10002951_5,test
401,Multimedia and multimodal retrieval,Speech / audio search,10002951_5,test
402,Multimedia and multimodal retrieval,Music retrieval,10002951_5,test
403,Specialized information retrieval,Environment-specific retrieval,10002951_5,test
404,Environment-specific retrieval,Enterprise search,10002951_5,test
405,Environment-specific retrieval,Desktop search,10002951_5,test
406,Environment-specific retrieval,Web and social media search,10002951_5,test
407,Cryptography,Key management,10002978_1,train
408,Cryptography,Public key (asymmetric) techniques,10002978_1,train
409,Public key (asymmetric) techniques,Digital signatures,10002978_1,train
410,Public key (asymmetric) techniques,Public key encryption,10002978_1,train
411,Cryptography,Symmetric cryptography and hash functions,10002978_1,train
412,Symmetric cryptography and hash functions,Block and stream ciphers,10002978_1,train
413,Symmetric cryptography and hash functions,Hash functions and message authentication codes,10002978_1,train
414,Cryptography,Cryptanalysis and other attacks,10002978_1,train
415,Cryptography,Information-theoretic techniques,10002978_1,train
416,Cryptography,Mathematical foundations of cryptography,10002978_1,train
417,Formal methods and theory of security,Trust frameworks,10002978_2,train
418,Formal methods and theory of security,Security requirements,10002978_2,train
419,Formal methods and theory of security,Formal security models,10002978_2,train
420,Formal methods and theory of security,Logic and verification,10002978_2,train
421,Security services,Authentication,10002978_3,train
422,Authentication,Biometrics,10002978_3,train
423,Authentication,Graphical / visual passwords,10002978_3,train
424,Authentication,Multi-factor authentication,10002978_3,train
425,Security services,Access control,10002978_3,train
426,Security services,"Pseudonymity, anonymity and untraceability",10002978_3,train
427,Security services,Privacy-preserving protocols,10002978_3,train
428,Security services,Digital rights management,10002978_3,train
429,Security services,Authorization,10002978_3,train
430,Intrusion/anomaly detection and malware mitigation,Malware and its mitigation,10002978_4,train
431,Intrusion/anomaly detection and malware mitigation,Intrusion detection systems,10002978_4,train
432,Intrusion detection systems,Artificial immune systems,10002978_4,train
433,Intrusion/anomaly detection and malware mitigation,Social engineering attacks,10002978_4,train
434,Security in hardware,Tamper-proof and tamper-resistant designs,10002978_5,train
435,Security in hardware,Embedded systems security,10002978_5,train
436,Security in hardware,Hardware security implementation,10002978_5,train
437,Hardware security implementation,Hardware-based security protocols,10002978_5,train
438,Security in hardware,Hardware attacks and countermeasures,10002978_5,train
439,Hardware attacks and countermeasures,Malicious design modifications,10002978_5,train
440,Hardware attacks and countermeasures,Side-channel analysis and countermeasures,10002978_5,train
441,Security in hardware,Hardware reverse engineering,10002978_5,train
442,Systems security,Operating systems security,10002978_6,train
443,Operating systems security,Mobile platform security,10002978_6,train
444,Operating systems security,Trusted computing,10002978_6,train
445,Operating systems security,Virtualization and security,10002978_6,train
446,Systems security,Browser security,10002978_6,train
447,Systems security,Distributed systems security,10002978_6,train
448,Systems security,Information flow control,10002978_6,train
449,Systems security,Denial-of-service attacks,10002978_6,train
450,Systems security,Firewalls,10002978_6,train
451,Systems security,Vulnerability management,10002978_6,train
452,Vulnerability management,Penetration testing,10002978_6,train
453,Vulnerability management,Vulnerability scanners,10002978_6,train
454,Systems security,File system security,10002978_6,train
455,Database and storage security,Data anonymization and sanitization,10002978_8,train
456,Database and storage security,Management and querying of encrypted data,10002978_8,train
457,Database and storage security,Information accountability and usage control,10002978_8,train
458,Database and storage security,Database activity monitoring,10002978_8,train
459,Software and application security,Software security engineering,10002978_9,val
460,Software and application security,Web application security,10002978_9,val
461,Software and application security,Social network security and privacy,10002978_9,val
462,Software and application security,Domain-specific security and privacy architectures,10002978_9,val
463,Software and application security,Software reverse engineering,10002978_9,val
464,Human and societal aspects of security and privacy,Economics of security and privacy,10002978_10,test
465,Human and societal aspects of security and privacy,Social aspects of security and privacy,10002978_10,test
466,Human and societal aspects of security and privacy,Privacy protections,10002978_10,test
467,Human and societal aspects of security and privacy,Usability in security and privacy,10002978_10,test
468,Network architectures,Network design principles,10003033_1,train
469,Network design principles,Layering,10003033_1,train
470,Network design principles,Naming and addressing,10003033_1,train
471,Network architectures,Programming interfaces,10003033_1,train
472,Network protocols,Network protocol design,10003033_2,val
473,Network protocols,Protocol correctness,10003033_2,val
474,Protocol correctness,Protocol testing and verification,10003033_2,val
475,Protocol correctness,Formal specifications,10003033_2,val
476,Network protocols,Link-layer protocols,10003033_2,val
477,Network protocols,Network layer protocols,10003033_2,val
478,Network layer protocols,Routing protocols,10003033_2,val
479,Network layer protocols,Signaling protocols,10003033_2,val
480,Network protocols,Transport protocols,10003033_2,val
481,Network protocols,Session protocols,10003033_2,val
482,Network protocols,Presentation protocols,10003033_2,val
483,Network protocols,Application layer protocols,10003033_2,val
484,Application layer protocols,Peer-to-peer protocols,10003033_2,val
485,Network protocols,OAM protocols,10003033_2,val
486,OAM protocols,Time synchronization protocols,10003033_2,val
487,OAM protocols,Network policy,10003033_2,val
488,Network protocols,Cross-layer protocols,10003033_2,val
489,Network protocols,Network File System (NFS) protocol,10003033_2,val
490,Network components,Intermediate nodes,10003033_3,train
491,Intermediate nodes,Routers,10003033_3,train
492,Intermediate nodes,Bridges and switches,10003033_3,train
493,Network components,Physical links,10003033_3,train
494,Physical links,Repeaters,10003033_3,train
495,Network components,Middle boxes / network appliances,10003033_3,train
496,Network components,End nodes,10003033_3,train
497,End nodes,Network adapters,10003033_3,train
498,End nodes,Network servers,10003033_3,train
499,Network components,"Wireless access points, base stations and infrastructure",10003033_3,train
500,"Wireless access points, base stations and infrastructure",Cognitive radios,10003033_3,train
501,Network components,Logical nodes,10003033_3,train
502,Logical nodes,Network domains,10003033_3,train
503,Network algorithms,Data path algorithms,10003033_4,val
504,Data path algorithms,Packet classification,10003033_4,val
505,Data path algorithms,Deep packet inspection,10003033_4,val
506,Data path algorithms,Packet scheduling,10003033_4,val
507,Network algorithms,Control path algorithms,10003033_4,val
508,Control path algorithms,Network resources allocation,10003033_4,val
509,Control path algorithms,Network control algorithms,10003033_4,val
510,Control path algorithms,Traffic engineering algorithms,10003033_4,val
511,Control path algorithms,Network design and planning algorithms,10003033_4,val
512,Network algorithms,Network economics,10003033_4,val
513,Network performance evaluation,Network performance modeling,10003033_5,train
514,Network performance evaluation,Network simulations,10003033_5,train
515,Network performance evaluation,Network experimentation,10003033_5,train
516,Network performance evaluation,Network performance analysis,10003033_5,train
517,Network performance evaluation,Network measurement,10003033_5,train
518,Network properties,Network security,10003033_6,train
519,Network properties,Network range,10003033_6,train
520,Network range,Short-range networks,10003033_6,train
521,Network range,Local area networks,10003033_6,train
522,Network range,Metropolitan area networks,10003033_6,train
523,Network range,Wide area networks,10003033_6,train
524,Network range,Very long-range networks,10003033_6,train
525,Network properties,Network structure,10003033_6,train
526,Network structure,Topology analysis and generation,10003033_6,train
527,Network structure,Physical topologies,10003033_6,train
528,Network structure,Logical / virtual topologies,10003033_6,train
529,Network structure,Network topology types,10003033_6,train
530,Network topology types,Point-to-point networks,10003033_6,train
531,Network topology types,Bus networks,10003033_6,train
532,Network topology types,Star networks,10003033_6,train
533,Network topology types,Ring networks,10003033_6,train
534,Ring networks,Token ring networks,10003033_6,train
535,Ring networks,Fiber distributed data interface (FDDI),10003033_6,train
536,Network topology types,Mesh networks,10003033_6,train
